cue_id,term,cue_type,priority,required_context,forbidden_context,source_type,source_reference,review_status,notes
increase_001,increase,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_002,increased,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_003,increases,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_004,increasing,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_005,higher,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Higher comparison value
increase_006,significantly higher,increase,75,,,internal_language_policy,POLICY:effect-direction-v1,approved,Statistically higher comparison value
increase_007,greater,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Greater comparison value
increase_008,elevated,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Elevated value
increase_009,rise,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_010,rose,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_011,risen,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_012,gained,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed gain
increase_013,enhanced,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value enhancement
increase_014,enhancement,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value enhancement
increase_015,augmented,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_016,raised,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_017,boosted,increase,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value increase
increase_018,significantly increased,increase,80,,,internal_language_policy,POLICY:effect-direction-v1,approved,Statistically supported increase phrase
decrease_001,decrease,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_002,decreased,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_003,decreases,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_004,decreasing,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_005,reduction,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_006,reduced,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_007,lower,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Lower comparison value
decrease_008,lowered,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_009,significantly lower,decrease,75,,,internal_language_policy,POLICY:effect-direction-v1,approved,Statistically lower comparison value
decrease_010,decline,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_011,declined,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_012,diminished,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_013,attenuated,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed attenuation
decrease_014,suppressed,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed suppression
decrease_015,greater reduction,decrease,80,,,internal_language_policy,POLICY:effect-direction-v1,approved,Composite phrase means a larger decrease
decrease_016,larger reduction,decrease,80,,,internal_language_policy,POLICY:effect-direction-v1,approved,Composite phrase means a larger decrease
decrease_017,greater decrease,decrease,80,,,internal_language_policy,POLICY:effect-direction-v1,approved,Composite phrase means a larger decrease
decrease_018,larger decrease,decrease,80,,,internal_language_policy,POLICY:effect-direction-v1,approved,Composite phrase means a larger decrease
decrease_019,fell,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_020,dropped,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_021,lessened,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_022,mitigated,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed mitigation
decrease_023,subsided,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_024,attenuation,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed attenuation
decrease_025,suppression,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed suppression
decrease_026,reducing,decrease,70,,,internal_language_policy,POLICY:effect-direction-v1,approved,Observed value decrease
decrease_027,significantly reduced,decrease,80,,,internal_language_policy,POLICY:effect-direction-v1,approved,Statistically supported reduction phrase
decrease_028,significantly decreased,decrease,80,,,internal_language_policy,POLICY:effect-direction-v1,approved,Statistically supported decrease phrase
improvement_001,improve,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_002,improved,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_003,improves,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_004,improvement,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_005,ameliorated,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_006,alleviated,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_007,restored,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_008,recovered,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_009,normalized,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit normalization
improvement_010,improving,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_011,alleviation,improvement,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit beneficial interpretation
improvement_012,significantly improved,improvement,90,,,internal_language_policy,POLICY:effect-direction-v1,approved,Statistically supported improvement phrase
worsening_001,worsen,worsening,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit harmful interpretation
worsening_002,worsened,worsening,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit harmful interpretation
worsening_003,worsening,worsening,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit harmful interpretation
worsening_004,aggravated,worsening,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit harmful interpretation
worsening_005,exacerbated,worsening,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit harmful interpretation
worsening_006,deteriorated,worsening,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit harmful interpretation
worsening_008,adverse effect,worsening,85,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit adverse result
null_001,no statistically significant difference,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No supported between-group difference
null_002,no significant difference,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No supported difference
null_003,not significantly different,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No supported difference
null_004,did not differ,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No supported difference
null_005,no statistically significant change,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No supported change
null_006,no significant change,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No supported change
null_007,not statistically significant,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Reported change is statistically null
null_008,did not reach statistical significance,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Reported change is statistically null
null_009,failed to reach statistical significance,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Reported change is statistically null
null_010,without statistical significance,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Reported change is statistically null
null_011,non significant,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Hyphen-normalized nonsignificance phrase
null_012,nonsignificant,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Nonsignificance phrase
null_013,not significantly reduced,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Reduction is statistically null
null_014,not significantly increased,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Increase is statistically null
null_015,not significantly lower,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Lower value is statistically null
null_016,not significantly higher,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Higher value is statistically null
null_017,no significant reduction,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Reduction is statistically null
null_018,no significant increase,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Increase is statistically null
null_019,no significant improvement,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Improvement is statistically null
null_020,difference was not significant,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Difference is statistically null
null_021,change was not significant,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Change is statistically null
null_022,remained unchanged,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicitly unchanged
null_023,unchanged,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicitly unchanged
null_024,no change,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicitly unchanged
null_025,did not change,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicitly unchanged
null_026,no effect,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null effect
null_027,no improvement,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null improvement
null_028,did not improve,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null improvement
null_029,failed to improve,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null improvement
null_030,no reduction,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null reduction
null_031,did not reduce,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null reduction
null_032,was not reduced,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null reduction
null_033,did not decrease,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null decrease
null_034,no increase,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null increase
null_035,did not increase,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null increase
null_036,comparable to placebo,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to placebo
null_037,comparable to vehicle,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to vehicle
null_038,comparable to control,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to control
null_039,similar to placebo,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to placebo
null_040,similar to vehicle,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to vehicle
null_041,similar to control,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to control
null_042,equivalent to placebo,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to placebo
null_043,equivalent to vehicle,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to vehicle
null_044,equivalent to control,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to control
null_045,no between group difference,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated between-group difference
null_046,no difference between groups,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated between-group difference
null_047,did not differ from placebo,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to placebo
null_048,did not differ from vehicle,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to vehicle
null_049,did not differ from control,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to control
null_050,comparable improvement to placebo,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Improvement is not superior to placebo
null_051,comparable improvement to vehicle,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Improvement is not superior to vehicle
