effect_id,outcome_concept_id,term,term_type,positive_direction,required_context,forbidden_context,discovery_use,mapping_use,source_type,source_reference,review_status,notes
effect_brightening,pigmentation,skin pigmentation,outcome,decrease,,,Y,Y,validation_study,PMID:25645051,approved,Direct pigmentation outcome
effect_brightening,pigmentation,hyperpigmentation,outcome,decrease,,,Y,Y,validation_study,PMID:20398960,approved,Direct pigmentation outcome in a result sentence
effect_brightening,pigmentation,cutaneous pigmentation,outcome,decrease,,,Y,Y,validation_study,PMID:12100180,approved,Direct clinical pigmentation outcome
effect_brightening,pigmentation,hyperpigmented spots,outcome,decrease,,,Y,Y,validation_study,PMID:16029679,approved,Direct visible pigmentation outcome
effect_brightening,lightness,skin lightness,outcome,increase,,,Y,Y,validation_study,PMID:12100180,approved,Direct clinical lightening outcome
effect_brightening,yellowing,skin yellowing,outcome,decrease,,,Y,Y,validation_study,PMID:16029679,approved,Direct facial appearance outcome
effect_brightening,yellowing,skin sallowness,outcome,decrease,,,Y,Y,validation_study,PMID:16029679,approved,Direct facial appearance outcome
effect_brightening,melanin_index,melanin index,metric,decrease,,,Y,Y,validation_study,PMID:25645051,approved,Instrument channel must report a result
effect_brightening,lightening,skin lightening,outcome,increase,,,Y,Y,internal_mapping_policy,POLICY:effect-outcome-v1,approved,Internal construct mapping to measured lightness or pigmentation change
effect_brightening,lightening,skin whitening,outcome,increase,,,Y,Y,internal_mapping_policy,POLICY:effect-outcome-v1,approved,Legacy paper wording mapped by internal policy
effect_brightening,lightening,skin brightness,outcome,parameter_specific,,,Y,N,internal_guardrail,POLICY:effect-outcome-v1,ambiguous_review,Marketing wording requires a named color or pigmentation metric
effect_brightening,pigmented_spots,dark spot count,metric,decrease,,,Y,Y,internal_mapping_policy,POLICY:effect-outcome-v1,approved,Counted pigmented lesions mapped by internal policy
effect_brightening,pigmented_spots,pigmented spot count,metric,decrease,,,Y,Y,internal_mapping_policy,POLICY:effect-outcome-v1,approved,Counted pigmented lesions mapped by internal policy
effect_brightening,pigmented_spots,dark spot intensity,metric,decrease,,,Y,Y,internal_mapping_policy,POLICY:effect-outcome-v1,approved,Measured spot intensity mapped by internal policy
effect_brightening,pigmented_spots,hyperpigmented lesion area,metric,decrease,,,Y,Y,validation_study,PMID:20398960,approved,Measured affected area
effect_brightening,masi,melasma area and severity index,scale,decrease,,,Y,Y,validation_study,PMID:20398960,approved,Validated melasma scale
effect_brightening,masi,MASI,abbreviation,decrease,melasma,,Y,Y,validation_study,PMID:20398960,approved,Short form requires melasma context
effect_brightening,masi,modified melasma area and severity index,scale,decrease,,,Y,Y,validation_study,PMID:20398960,approved,Validated modified scale
effect_brightening,masi,mMASI,abbreviation,decrease,melasma,,Y,Y,validation_study,PMID:20398960,approved,Short form requires melasma context
effect_brightening,ita,individual typology angle,metric,increase,,,Y,Y,validation_study,PMID:33038017,approved,Skin color metric
effect_brightening,ita,ITA,abbreviation,increase,skin color|pigmentation|melanin,,Y,Y,validation_study,PMID:33038017,approved,Ambiguous abbreviation requires skin color context
effect_brightening,cielab_lightness,CIELAB lightness,metric,increase,,,Y,Y,validation_study,PMID:25645051,approved,Lightness channel only
effect_brightening,cielab_lightness,CIE L star,metric,increase,,,Y,Y,validation_study,PMID:25645051,approved,ASCII spelling of L star
effect_brightening,cielab_lightness,L star value,metric,increase,skin color|pigmentation|lightness,,Y,Y,validation_study,PMID:25645051,approved,Short metric requires color context
effect_brightening,melasma_context,melasma,context,not_applicable,,,Y,N,internal_guardrail,POLICY:effect-outcome-v1,context_only,Disease name is not a measured improvement alone
effect_brightening,melanin_context,melanin,context,not_applicable,,,Y,N,internal_guardrail,POLICY:effect-outcome-v1,context_only,Analyte name is not a measured improvement alone
effect_brightening,melanogenesis,melanogenesis,mechanism,not_applicable,,,Y,N,internal_guardrail,POLICY:effect-outcome-v1,mechanism_only,Mechanism is not a visible clinical outcome
effect_brightening,tyrosinase,tyrosinase,mechanism,not_applicable,,,Y,N,internal_guardrail,POLICY:effect-outcome-v1,mechanism_only,Mechanism is not a visible clinical outcome
