source_ingredient_id,source_ingredient_name,canonical_id,mapping_type,confidence,source
aha,Lactic Acid,lactic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=5453 alias_basis=standard_name sha256=4a523f990553
aha,락틱애씨드,lactic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=5453 alias_basis=standard_name sha256=4a523f990553
centella_asiatica,Centella Asiatica Extract,centella_asiatica_extract,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=540 alias_basis=standard_name sha256=4a523f990553
centella_asiatica,Centella Asiatica Leaf Extract,centella_asiatica_leaf_extract,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=539 alias_basis=standard_name sha256=4a523f990553
centella_asiatica,병풀잎추출물,centella_asiatica_leaf_extract,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=539 alias_basis=standard_name sha256=4a523f990553
centella_asiatica,병풀추출물,centella_asiatica_extract,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=540 alias_basis=standard_name sha256=4a523f990553
ceramides,Ceramide 3,ceramide_np,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=7186 alias_basis=legacy_name sha256=4a523f990553
ceramides,Ceramide NP,ceramide_np,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=7186 alias_basis=standard_name sha256=4a523f990553
ceramides,세라마이드3,ceramide_np,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=7186 alias_basis=legacy_name sha256=4a523f990553
ceramides,세라마이드엔피,ceramide_np,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=7186 alias_basis=standard_name sha256=4a523f990553
cholesterol_fatty_acids,Cholesterol,cholesterol,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=3087 alias_basis=standard_name sha256=4a523f990553
cholesterol_fatty_acids,Myristic Acid,myristic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=336 alias_basis=standard_name sha256=4a523f990553
cholesterol_fatty_acids,Palmitic Acid,palmitic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=3559 alias_basis=standard_name sha256=4a523f990553
cholesterol_fatty_acids,Stearic Acid,stearic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=1465 alias_basis=standard_name sha256=4a523f990553
cholesterol_fatty_acids,미리스틱애씨드,myristic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=336 alias_basis=standard_name sha256=4a523f990553
cholesterol_fatty_acids,스테아릭애씨드,stearic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=1465 alias_basis=standard_name sha256=4a523f990553
cholesterol_fatty_acids,콜레스테롤,cholesterol,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=3087 alias_basis=standard_name sha256=4a523f990553
cholesterol_fatty_acids,팔미틱애씨드,palmitic_acid,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=3559 alias_basis=standard_name sha256=4a523f990553
green_tea,Camellia Sinensis Leaf Extract,camellia_sinensis_leaf_extract,exact_name_override,high,KCIA 표준화명칭목록 2026-06-30 code=2756 alias_basis=standard_name sha256=4a523f990553
