ingredient_id,effect_id,effect_name,effect_score
ing_pending_22d1b5fd35e0,effect_brightening,미백·톤,70
ing_pending_32c6afad409b,effect_brightening,미백·톤,70
ing_pending_32d4a86ef429,effect_brightening,미백·톤,70
ing_pending_6c83a81380b4,effect_brightening,미백·톤,70
ing_pending_758aeb610bb1,effect_brightening,미백·톤,70
ing_pending_a0032158b960,effect_brightening,미백·톤,70
ing_pending_a4d9de93b053,effect_brightening,미백·톤,70
ing_pending_a5d1b4bd260b,effect_brightening,미백·톤,70
ing_pending_b7f31863d5f0,effect_brightening,미백·톤,70
ing_pending_bd34de4cd96c,effect_brightening,미백·톤,70
ing_pending_c4e162fe65ed,effect_brightening,미백·톤,70
ing_pending_d2655ae2e043,effect_brightening,미백·톤,70
ing_pending_f190f1f32d34,effect_brightening,미백·톤,70
ing_pending_00d2c1d23f56,effect_brightening,미백·톤,60
ing_pending_46f9055cd877,effect_brightening,미백·톤,60
ing_pending_67f5b0f2c438,effect_brightening,미백·톤,60
ing_pending_a3eb5fab4bd4,effect_brightening,미백·톤,60
ing_pending_bd0e2692bbd4,effect_brightening,미백·톤,60
ing_pending_cd43a398726d,effect_brightening,미백·톤,60
ing_pending_cf28198fbc39,effect_brightening,미백·톤,60
ing_pending_cf75d80e3412,effect_brightening,미백·톤,60
ing_pending_d432230e052d,effect_brightening,미백·톤,60
ing_pending_e78eea664745,effect_brightening,미백·톤,60
ing_pending_ec6da355243d,effect_brightening,미백·톤,60
ing_pending_f7a0972e4f26,effect_brightening,미백·톤,60
ing_pending_4bfee86f25dd,effect_brightening,미백·톤,60
ing_pending_53824849c9ba,effect_brightening,미백·톤,60
ing_pending_5791975e7cab,effect_brightening,미백·톤,60
ing_pending_c3021c69757c,effect_brightening,미백·톤,60
ing_pending_d2315aa48f21,effect_brightening,미백·톤,60
ing_pending_fd877f0b3de1,effect_brightening,미백·톤,60
ing_pending_14cc9d61a57a,effect_brightening,미백·톤,72
ing_pending_1f7f7945316d,effect_brightening,미백·톤,72
ing_pending_944a4ef4197a,effect_brightening,미백·톤,72
ing_pending_97d2f6af81cf,effect_brightening,미백·톤,72
ing_pending_ba8d93dbb873,effect_brightening,미백·톤,72
ing_pending_e467dceeb026,effect_brightening,미백·톤,72
ing_pending_19212f510ffe,effect_brightening,미백·톤,45
ing_pending_9d1862c4f8db,effect_brightening,미백·톤,45
ing_pending_2147b1ea062d,effect_brightening,미백·톤,55
ing_pending_34b0287042fc,effect_brightening,미백·톤,55
ing_pending_2088a633b7e9,effect_wrinkle,주름·탄력,55
ing_pending_229446f650dc,effect_wrinkle,주름·탄력,55
ing_pending_4766ba3c3b5e,effect_wrinkle,주름·탄력,55
ing_pending_496500b1347c,effect_wrinkle,주름·탄력,55
ing_pending_80eb0e065838,effect_wrinkle,주름·탄력,55
ing_pending_efb697c9f316,effect_wrinkle,주름·탄력,72
ing_pending_bda58dc3c046,effect_wrinkle,주름·탄력,50
ing_pending_1af9a895ed19,effect_wrinkle,주름·탄력,45
ing_pending_0036a4c14fd7,effect_acne_sebum,여드름·피지,65
ing_pending_0e2b041409e0,effect_acne_sebum,여드름·피지,65
ing_pending_33dfd5258c8f,effect_acne_sebum,여드름·피지,65
ing_pending_80a485b0dacc,effect_acne_sebum,여드름·피지,65
ing_pending_c26770056796,effect_acne_sebum,여드름·피지,65
ing_pending_ac4bf60ce792,effect_acne_sebum,여드름·피지,45
ing_pending_afdb3e983fa9,effect_acne_sebum,여드름·피지,45
ing_pending_c2719421cd0a,effect_acne_sebum,여드름·피지,45
ing_pending_1403d81e744b,effect_acne_sebum,여드름·피지,55
ing_pending_184175f2d30d,effect_acne_sebum,여드름·피지,55
ing_pending_41e6fae68023,effect_acne_sebum,여드름·피지,55
ing_pending_99dc80c4bfd1,effect_acne_sebum,여드름·피지,55
ing_pending_1e416583864f,effect_moisture_barrier,보습·장벽,80
