product_id,ingredient_id,ingredient_name,content_confidence,display_order,concentration_text,concentration_value,concentration_unit,concentration_confidence,normalized_concentration_value,normalized_concentration_unit
ulta_eba7d120c878f7,ing_pending_0ddb4f49c3d8,Boron Nitride,medium,12,,,,unknown,,
ulta_eba7d120c878f7,ing_pending_788d27f561ad,Caprylyl Glycol May Contain (+/-) Titanium Dioxide (Ci 77891),medium,20,,,,unknown,,
ulta_eba7d120c878f7,ing_pending_07681f645a9c,Iron Oxides (CI 77492),medium,21,,,,unknown,,
ulta_eba7d120c878f7,ing_pending_fa0d90bf1821,Iron Oxides (Ci 77491),medium,22,,,,unknown,,
ulta_eba7d120c878f7,ing_pending_f7c56e5c13d5,Red 40 Lake (Ci 16035),medium,23,,,,unknown,,
ulta_eba7d120c878f7,ing_pending_a5ff456bf42e,Iron Oxides (CI 77499),medium,24,,,,unknown,,
ulta_eba7d120c878f7,ing_pending_3f3fbfb2d8c6,Ultramarines (Ci 77007),medium,25,,,,unknown,,
ulta_eba7d120c878f7,ing_pending_395eba99526f,Blue 1 Lake (Ci 42090),medium,26,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_52efcb6c3e9a,Alcohol,medium,1,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_092eb27a5a70,Carica Papaya (Papaya) Fruit,medium,2,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_5e28c462ab49,Ceteareth-20,medium,3,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_b9867ecde2b3,Cetyl Alcohol,medium,4,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_5c02a423e663,Phe1xyetha1l,medium,5,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_30c83bcd9872,Dehydroxanthan Gum,medium,6,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_2eaa7c3b310f,Glyceryl Stearate,medium,7,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_950b94ea15fb,PEG-100 Stearate,medium,8,,,,unknown,,
ulta_ebaa010034fafd,salicylic_acid_bha,살리실산/BHA,medium,9,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_bc7f12d9157b,Lactobacillus/Pumpkin Ferment Extract,medium,10,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_cd3f20ed441f,Alcohol Denat,medium,11,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_33186dc437a5,Sorbic Acid,medium,12,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_fb53805dc072,Cinnamal,medium,13,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_e55053ab3d61,Mel/Honey/Miel,medium,14,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_f49f463b8a90,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,medium,15,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_df94da9d0449,Euge1l,medium,16,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_753814bb31b0,Potassium Sorbate,medium,17,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_9a3ee9934aea,Limonene,medium,18,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_b6891f803fb7,Linalool,medium,19,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_d22ecd51168f,Lavandula Angustifolia (Lavender) Oil,medium,20,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_8daa5e7da0b8,Beta-Carotene,medium,21,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_938baee7853e,Aloe Barbadensis Leaf Juice Powder,medium,22,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_e34f7ee2837f,Bromelain,medium,23,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_81d04f58154c,Papain,medium,24,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_9970bf60c27a,Retinyl Palmitate,medium,25,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_6645dccd48c0,Tocopheryl Acetate,medium,26,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_a1eabfcb1d69,Cinnamomum Cassia Leaf Oil,medium,27,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_3c3a588e9a13,Acetic Acid,medium,28,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_401c0c4f67c6,Pogostemon Cablin Oil,medium,29,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_a94fd2f425ab,Pelargonium Graveolens Flower Oil,medium,30,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_e2bf0a137ca3,Aniba Rosaeodora (Rosewood) Wood Extract,medium,31,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_a42a5d4372e5,Citrus Aurantium Dulcis (Orange) Peel Oil,medium,32,,,,unknown,,
ulta_ebaa010034fafd,ing_pending_6aa0575597bf,CI 75810 (Chlorophyllin-Copper Complex),medium,33,,,,unknown,,
ulta_ebae6bad9b30e9,glycerin,글리세린,medium,1,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_1f21d9b0502f,AMP-Acrylates/Allyl Methacrylate Copolymer,medium,2,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_be3496867040,PVP,medium,3,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_241cbfacb97c,Xylitylglucoside,medium,4,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_59490e417d3d,Propanediol,medium,5,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_356a192b7913,1,medium,6,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_226664e29d99,2-Hexanediol,medium,7,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_c791822d0623,Polyglyceryl-2 Oleate,medium,8,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_fc3e58c4235b,Anhydroxyli- Tol,medium,9,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_dc0a05dd5dc3,Polysorbate 20,medium,10,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_f95a5236bdfe,Butylene Glycol,medium,11,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_b2ef0a4bbed1,Xylitol,medium,12,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_c3cff171f78e,Ppg-26-Buteth-26,medium,13,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_b2640c4d2718,PEG-40 Hydrogenated Castor Oil,medium,14,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_c8f02adcb887,Caprylhydroxamic Acid,medium,15,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_086e4edf3e9e,Phenoxyethanol,medium,16,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_d5e44e413bca,Barosma Betulina Leaf Extract,medium,17,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_36108db278d7,Glyceryl Oleate Citrate,medium,18,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_1a5bb7b82246,Citric Acid,medium,19,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_1061c5b75d0d,Tocopherol,medium,20,,,,unknown,,
ulta_ebae6bad9b30e9,ing_pending_a6f4b532cad6,Oryza Sativa (Rice) Bran Oil,medium,21,,,,unknown,,
ulta_ebb066e1fd20f6,glycerin,글리세린,medium,1,,,,unknown,,
ulta_ebb066e1fd20f6,ing_pending_2b7f0f64981c,Caprylyl Glycol,medium,2,,,,unknown,,
ulta_ebb066e1fd20f6,ing_pending_ed235c916c3d,Hydrogenated Lecithin,medium,3,,,,unknown,,
ulta_ebb066e1fd20f6,ing_pending_f87cb3a7039b,Ethylhexylglycerin,medium,4,,,,unknown,,
ulta_ebb066e1fd20f6,ing_pending_2392019ac6cb,Polysorbate 80,medium,5,,,,unknown,,
ulta_ebb066e1fd20f6,ing_pending_a929caa931f8,Chondrus Crispus Powder,medium,6,,,,unknown,,
