product_id,review_count,average_rating,sales_count,sales_rank,recent_view_count,wishlist_count,cart_add_count,source,updated_at
prod_oy_a000000237493,2400,4.86,1450,,4200,520,210,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000231120,1457,4.83,905,,2713,347,143,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000163734,1088,4.79,686,,2102,274,114,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000188004,884,4.75,564,,1753,232,97,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000237954,753,4.72,485,,1523,204,86,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000258298,660,4.69,428,,1358,183,78,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000199405,591,4.65,386,,1232,168,72,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000187243,537,4.62,352,,1133,155,66,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000250476,493,4.58,325,,1052,145,62,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000163761,457,4.54,302,,984,136,59,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000163735,426,4.86,283,,927,129,56,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000199889,401,4.83,267,,877,123,53,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000198166,378,4.79,253,,834,117,51,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000202537,358,4.75,240,,796,112,49,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000244812,341,4.72,229,,762,108,47,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000228804,326,4.69,220,,732,104,45,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000189248,312,4.65,211,,704,100,44,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000200353,299,4.58,203,,679,97,42,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000248587,288,4.55,195,,657,94,41,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000164211,277,4.51,189,,636,91,40,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000210415,268,4.83,182,,616,88,39,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000243499,259,4.79,177,,599,86,38,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000248426,251,4.76,171,,582,84,37,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000183713,243,4.72,167,,567,82,36,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000237951,236,4.69,162,,552,80,35,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000256153,229,4.66,158,,539,78,34,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000246194,223,4.62,154,,526,76,34,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000255852,217,4.58,150,,514,75,33,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000253401,212,4.55,146,,503,73,32,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000249582,207,4.51,143,,492,72,32,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000189837,202,4.83,140,,482,70,31,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000248051,197,4.79,137,,473,69,31,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000255499,193,4.76,134,,464,68,30,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000204171,189,4.72,131,,455,67,30,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000247112,185,4.69,,1,447,66,29,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000209588,181,4.63,,2,439,65,29,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000223427,178,4.59,,3,431,64,28,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000011086,174,4.56,,4,424,63,28,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000237367,171,4.52,,5,417,62,27,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000203792,168,4.49,,6,411,61,27,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000259164,165,4.80,,7,404,60,27,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000204169,162,4.77,,8,398,59,26,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000226201,159,4.73,,9,392,58,26,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_b000000187882,157,4.70,,10,387,57,26,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000200039,154,4.66,,11,381,57,25,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000203855,152,4.63,,12,376,56,25,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000242631,150,4.59,,13,371,55,25,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000218586,147,4.56,,14,366,55,24,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000240991,145,4.52,,15,361,54,24,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000188048,143,4.49,,16,357,53,24,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000207054,141,4.80,,17,352,53,24,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000198321,139,4.77,,18,348,52,23,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000229456,137,4.73,,19,344,51,23,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000216924,135,4.67,,20,340,51,23,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000189768,134,4.63,,21,336,50,23,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000247186,132,4.60,,22,332,50,22,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000170039,130,4.56,,23,328,49,22,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000150818,128,4.53,,24,325,49,22,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000247713,127,4.49,,25,321,48,22,mock_p2_home,2026-07-04T00:00:00+09:00
prod_oy_a000000219716,125,4.46,,26,318,48,22,mock_p2_home,2026-07-04T00:00:00+09:00
