product_id,brand,product_name,category,review_count,avg_rating,repurchase_rate,photo_review_rate,profile_review_rate,review_confidence,review_signal_score,rating_signal_score,repurchase_signal_score,confidence_signal_score,review_signal_reason
prod_oy_a000000219717,파티온,[트러블1등/단독기획] 파티온 노스카나인 트러블 세럼 50ml 기획(+15ml+마스크 1매),serum,25000,4.843,0.3882,0.1172,0.3400,high,71.32,92.15,38.82,100.00,"평균별점 4.843, 리뷰 25000건, 재구매율 0.3882, 프로필라벨율 0.3400"
prod_oy_a000000240423,에스네이처,에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 기획 (+아쿠아겔 마스크 1매),cream,23550,4.789,0.1000,0.1258,0.3048,high,63.98,89.45,10.00,100.00,"평균별점 4.789, 리뷰 23550건, 재구매율 0.1000, 프로필라벨율 0.3048"
prod_oy_a000000240088,VT,[2025 어워즈] VT 리들샷100 50ml 어워즈 기획 (+리들샷300스틱파우치 5개+PDRN에센스100 15ml),serum,16583,4.795,0.1759,0.1224,0.3599,high,65.90,89.75,17.59,100.00,"평균별점 4.795, 리뷰 16583건, 재구매율 0.1759, 프로필라벨율 0.3599"
prod_oy_a000000252917,라로슈포제,[온라인단독/한정수량]라로슈포제 시카플라스트 밤B5+& 멀티리페어 크림 B5 100ml 기획 (+시카에센스 50%용량),cream,13933,4.782,0.0466,0.1386,0.2746,high,62.70,89.10,4.66,100.00,"평균별점 4.782, 리뷰 13933건, 재구매율 0.0466, 프로필라벨율 0.2746"
prod_oy_a000000189181,브링그린,[수부지토너]브링그린 티트리 시카 수딩 토너 (500ml/250ml),toner,12347,4.777,0.1114,0.1234,0.2445,high,63.55,88.85,11.14,100.00,"평균별점 4.777, 리뷰 12347건, 재구매율 0.1114, 프로필라벨율 0.2445"
prod_oy_a000000188990,브링그린,[온라인단독|진정SET] 브링그린 티트리 시카 수딩 토너&크림 세트,toner,11785,4.801,0.0810,0.1128,0.2983,high,63.77,90.05,8.10,100.00,"평균별점 4.801, 리뷰 11785건, 재구매율 0.0810, 프로필라벨율 0.2983"
prod_oy_a000000255620,메디큐브,[1등미백앰플]메디큐브 PDRN 핑크 펩타이드 앰플 30ml 리필기획(+리필팩50ml+거울키링),serum,9142,4.738,0.1585,0.1023,0.2031,high,63.00,86.90,15.85,100.00,"평균별점 4.738, 리뷰 9142건, 재구매율 0.1585, 프로필라벨율 0.2031"
prod_oy_a000000246781,라운드랩,[더블기획/트러블쏙] 라운드랩 소나무 진정 시카 앰플 30ml 리필기획 (+30ml 리필+마스크+스티커 모음),serum,9085,4.770,0.1102,0.1059,0.2908,high,63.39,88.50,11.02,100.00,"평균별점 4.770, 리뷰 9085건, 재구매율 0.1102, 프로필라벨율 0.2908"
prod_oy_a000000243435,메디큐브,[연어PDRN/미백천재앰플] 메디큐브 PDRN 핑크 펩타이드 앰플 30ml 기획(앰플10ml+수분크림 10ml),serum,9046,4.736,0.1601,0.1016,0.2023,high,62.97,86.80,16.01,100.00,"평균별점 4.736, 리뷰 9046건, 재구매율 0.1601, 프로필라벨율 0.2023"
prod_oy_a000000188065,디오디너리,[대용량]디오디너리 나이아신아마이드 10% + 징크 1% 120ml,serum,8913,4.623,0.1390,0.1297,0.3106,high,60.26,81.15,13.90,100.00,"평균별점 4.623, 리뷰 8913건, 재구매율 0.1390, 프로필라벨율 0.3106"
prod_oy_a000000247770,아누아,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블 기획,serum,8478,4.775,0.2175,0.1244,0.2813,high,65.81,88.75,21.75,100.00,"평균별점 4.775, 리뷰 8478건, 재구매율 0.2175, 프로필라벨율 0.2813"
prod_oy_a000000183731,VT,[모공에센스] VT 리들샷 100 에센스 50ml (+리들샷 300 1ml*3ea기획 / 단품),serum,8408,4.729,0.1274,0.1127,0.3246,high,62.85,86.45,12.74,100.00,"평균별점 4.729, 리뷰 8408건, 재구매율 0.1274, 프로필라벨율 0.3246"
