product_id,brand,product_name,category,is_recommendable,review_count,avg_rating,month_review_count,month_review_rate,repurchase_count,repurchase_rate,photo_review_count,photo_review_rate,profile_review_count,profile_review_rate,avg_helpful_count,top_skin_types,top_skin_tones,top_skin_troubles,review_confidence
lookfantastic_bfff74eb72e380,RapidLash,UKLASH Eyelash Serum 3ml (3 Month Supply),serum,true,29767,4.749,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.001,,,,high
lookfantastic_ba0885a7716e19,COSRX,COSRX The 6 Peptide Skin Booster Serum 150ml,serum,true,26298,4.636,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
prod_oy_a000000219717,파티온,[트러블1등/단독기획] 파티온 노스카나인 트러블 세럼 50ml 기획(+15ml+마스크 1매),serum,true,25000,4.843,25000,1.0000,9705,0.3882,2931,0.1172,8500,0.3400,4.787,복합성:3157;건성:1660;지성:1498;민감성:1089;트러블성:739,쿨톤:2064;웜톤:1916;여름쿨톤:1486;봄웜톤:1104;가을웜톤:761,잡티:3871;트러블:3013;미백:2257;블랙헤드:1253;각질:1109,high
prod_oy_a000000240423,에스네이처,에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 기획 (+아쿠아겔 마스크 1매),cream,true,23550,4.789,23550,1.0000,2354,0.1000,2962,0.1258,7179,0.3048,1.985,복합성:3094;건성:1571;지성:1045;민감성:716;트러블성:373,쿨톤:1427;여름쿨톤:1421;웜톤:1323;봄웜톤:1161;가을웜톤:710,잡티:2788;트러블:2324;미백:1969;블랙헤드:1144;각질:1077,high
lookfantastic_940447ba53ec0c,Lancôme,Lancôme Advanced Génifique Youth Activating Serum 100ml,serum,true,18521,4.745,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
prod_oy_a000000240088,VT,[2025 어워즈] VT 리들샷100 50ml 어워즈 기획 (+리들샷300스틱파우치 5개+PDRN에센스100 15ml),serum,true,16583,4.795,16583,1.0000,2917,0.1759,2030,0.1224,5968,0.3599,6.742,복합성:2447;건성:1434;지성:927;민감성:553;트러블성:329,웜톤:1240;쿨톤:1216;여름쿨톤:1165;봄웜톤:941;가을웜톤:598,잡티:2597;미백:1814;트러블:1675;블랙헤드:846;각질:828,high
prod_oy_a000000252917,라로슈포제,[온라인단독/한정수량]라로슈포제 시카플라스트 밤B5+& 멀티리페어 크림 B5 100ml 기획 (+시카에센스 50%용량),cream,true,13933,4.782,13933,1.0000,649,0.0466,1931,0.1386,3826,0.2746,5.281,복합성:1435;건성:913;지성:613;민감성:430;트러블성:280,여름쿨톤:805;쿨톤:771;웜톤:734;봄웜톤:574;가을웜톤:328,잡티:1609;트러블:1215;미백:1007;블랙헤드:528;각질:527,high
prod_oy_a000000189181,브링그린,[수부지토너]브링그린 티트리 시카 수딩 토너 (500ml/250ml),toner,true,12347,4.777,12347,1.0000,1376,0.1114,1524,0.1234,3019,0.2445,2.923,복합성:1232;지성:695;건성:491;트러블성:225;민감성:205,웜톤:745;여름쿨톤:559;쿨톤:524;봄웜톤:382;가을웜톤:276,트러블:1277;잡티:1156;미백:691;블랙헤드:547;각질:507,high
prod_oy_a000000188990,브링그린,[온라인단독|진정SET] 브링그린 티트리 시카 수딩 토너&크림 세트,toner,true,11785,4.801,11785,1.0000,955,0.0810,1329,0.1128,3515,0.2983,2.483,복합성:1370;지성:775;건성:539;민감성:324;트러블성:324,여름쿨톤:793;웜톤:635;쿨톤:575;봄웜톤:552;가을웜톤:393,트러블:1487;잡티:1346;미백:781;블랙헤드:621;각질:563,high
lookfantastic_c6ab9155bf32e6,IT Cosmetics,IT Cosmetics Confidence in a Cream Hydrating Moisturiser 60ml,cream,true,10573,4.625,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
