product_id,dry_fit,oily_fit,combination_fit,normal_fit,dehydrated_oily_fit,sensitive_fit,sensitivity_tag,confidence,reason
dermstore_70f66432c018e9,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_9354aeb0921a1c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_67c0c1ee8b688b,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_26f4bb78d48a99,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_3ab388a118ba80,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_8fdde5ccc14423,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_f031576372d04c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_b03f2d244f8df0,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_b2370fc107dc03,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_998cb4b1c3a091,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_390c040eea8811,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_d0d4933b6e1ed1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_b79cbd9e56e254,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_1a0d325798f9ed,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
dermstore_b14a481e521d25,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_591330fd1d35be,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_467f23d1c22871,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_185bd6ef2c3bbf,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_b0d90b3269ebb6,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_17855d5353991f,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_829a636f00f4f1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_c0e6075f52ee73,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
dermstore_abcfccfd4a36f6,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_0ad07ffedd1d87,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_643d5e1842ede4,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_aaac29f00d5848,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_c53750c489ab3e,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_772e69f84f6b38,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_732f6be9e9da25,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_998aa2317446e7,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_ccb4703e3717f8,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_2ae4f8b3fdacf7,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_827de860779931,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_b2d246583608f9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_9ce921c0980fe4,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_0aae98fc49a7c7,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_3150ce15ff0e79,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_91a3099b28c9ca,0.64,0.58,0.60,0.62,0.66,0.77,민감가능,low,진정/민감 키워드
dermstore_0d806daaf4ed82,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_86889801e4cbf9,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_6a3e1cfbb9bcf0,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드; 기본추천 제외 상품
dermstore_66453828bea3e6,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_f99bae61c22ddf,0.78,0.66,0.70,0.70,0.92,0.55,정보없음,low,보습/장벽 컨셉; 가벼운 수분 제형; 기본추천 제외 상품
dermstore_921ed6cb18ccac,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_54f2c9f9ecc916,0.74,0.56,0.65,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 오일/밤 제형; 기본추천 제외 상품
dermstore_89b82cb35446df,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_2331fc9de77dfb,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_6f6fb903f1010c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_803ce1260b62a7,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
dermstore_bb68a0a2f56286,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_ef6c4ac9306f43,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_05b06c871ccc9f,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_0159ebfcf05661,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_7d60b8163ff5e1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_f9154f8543b875,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_6cde88f86ddbcb,0.74,0.56,0.65,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 오일/밤 제형; 기본추천 제외 상품
dermstore_7ce417c75c9ed2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_07481427e832ba,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_eddd37a5521838,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_30f4250ac7a737,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_aedf4bc4c98664,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_b1972eae80c956,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_f6a005ca42b63c,0.84,0.58,0.60,0.70,0.88,0.77,정보없음,low,보습/장벽 컨셉; 진정/민감 키워드; 기본추천 제외 상품
dermstore_c80bbfd25ac58c,0.74,0.48,0.55,0.62,0.58,0.55,정보없음,low,오일/밤 제형; 기본추천 제외 상품
dermstore_7c4d02cd2689a3,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_bdc0069675b838,0.84,0.66,0.70,0.70,1.00,0.77,민감가능,low,보습/장벽 컨셉; 가벼운 수분 제형; 진정/민감 키워드
dermstore_8baa19a5672629,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드
dermstore_b6dfaf8ba8e57a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_9866d28db17aed,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_1b7374a630b642,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_e9ced41af57801,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_7cea2b391af20f,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_a918999500ac1b,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_e108770ffce69f,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_20704957e8a3af,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_bbd5ba535a1bf4,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_32bbdffc872bd5,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_233a0aadca524c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_c2418f566dcad2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_9bb07f0dd7668c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_039598b4453aa3,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_31dd8bee28bdc6,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_7efa58421b6262,0.78,0.66,0.70,0.70,0.92,0.55,정보없음,low,보습/장벽 컨셉; 가벼운 수분 제형; 기본추천 제외 상품
dermstore_fb54623a5a344e,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_c814ff007b9246,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형; 기본추천 제외 상품
dermstore_b55a6125b78f99,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_aa21dfda70b2bf,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_7df3bb95430444,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_862bd35d066df8,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_141754c8ba49fe,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_53224e89c4141d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_4906c5b49bb1d9,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
dermstore_22c8d82dcface2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_56089eb476d657,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_b8df843f685ef9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
