product_id,brand,name,category,is_recommendable,recommend_exclude_reason,skin_type_tags,thumbnail_url,image_urls,functional_review_text,functional_cosmetic_status,functional_cosmetic_claims,functional_claim_confidence,functional_claim_basis
ulta_e34856c81e264d,Revlon,Super Lustrous Lipstick - Blushed,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/1743763?w=500&h=500,https://media.ultainc.com/i/ulta/1743763?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_3d50b01dfe31f1,Revlon,Super Lustrous Lipstick - Primrose,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2224022?w=500&h=500,https://media.ultainc.com/i/ulta/2224022?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_877ec214f6f633,Revlon,Super Lustrous Lipstick - Vampire Love,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2565700?w=500&h=500,https://media.ultainc.com/i/ulta/2565700?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_ebee2ad9dce638,Revlon,Super Lustrous Lipstick - Whiskey Business,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2618913?w=500&h=500,https://media.ultainc.com/i/ulta/2618913?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_558067d9fd3ca0,Maybelline,Define-A-Line Eyeliner - Brownish Black,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2147517?w=500&h=500,https://media.ultainc.com/i/ulta/2147517?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_200e33b251c2bb,Maybelline,Fit Me Natural Finish Concealer - 055 Hazelnut,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2529628?w=500&h=500,https://media.ultainc.com/i/ulta/2529628?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_e59b2f273697f3,Maybelline,Fit Me Natural Finish Concealer - 035 Deep,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2225219?w=500&h=500,https://media.ultainc.com/i/ulta/2225219?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_da604858a8f9ab,Maybelline,Fit Me Dewy + Smooth Foundation - Pure Beige,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2225231?w=500&h=500,https://media.ultainc.com/i/ulta/2225231?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_f0f7a960934400,Maybelline,Fit Me Dewy + Smooth Foundation - Light Beige,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2537809?w=500&h=500,https://media.ultainc.com/i/ulta/2537809?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_4ca5c50f4c2a48,NYX Professional Makeup,Soft Matte Lip Cream Lightweight Liquid Lipstick - London,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2226186?w=500&h=500,https://media.ultainc.com/i/ulta/2226186?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_272320a6b62c7d,NYX Professional Makeup,Soft Matte Lip Cream Lightweight Liquid Lipstick - Athens,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2268522?w=500&h=500,https://media.ultainc.com/i/ulta/2268522?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_527ff4167ed499,NYX Professional Makeup,Soft Matte Lip Cream Lightweight Liquid Lipstick - Madrid,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2297513?w=500&h=500,https://media.ultainc.com/i/ulta/2297513?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_83e162cc6a3889,Hempz,Age Defying Body Moisturizer with Caffeine + Peptides - 17.0 oz,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/2124668?w=500&h=500,https://media.ultainc.com/i/ulta/2124668?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_2ba9ee76cb94f3,Not Your Mother's,She's A Tease Volumizing Hairspray - 8.0 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2227622?w=500&h=500,https://media.ultainc.com/i/ulta/2227622?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_bd3b334bf0db5d,Ahava,Mineral Body Lotion Hydrating & Softening - 17.0 oz,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/2297980?w=500&h=500,https://media.ultainc.com/i/ulta/2297980?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_af732c9c8c32ff,Ahava,Mineral Hand Cream Hydrating & Softening - 3.4 oz,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/2230699?w=500&h=500,https://media.ultainc.com/i/ulta/2230699?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_3869fe6f9dc063,Ahava,Natural Dead Sea Bath Salts,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/2230670?w=500&h=500,https://media.ultainc.com/i/ulta/2230670?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_d5eb3c824cfcca,Urban Decay Cosmetics,Original Eyeshadow Primer Potion - 0.16 oz,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2287763?w=500&h=500,https://media.ultainc.com/i/ulta/2287763?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_4857cb6900d349,Maybelline,Instant Age Rewind Eraser Dark Circle Treatment Concealer - 146,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2529634?w=500&h=500,https://media.ultainc.com/i/ulta/2529634?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_672840a47bb895,Maybelline,Instant Age Rewind Eraser Dark Circle Treatment Concealer - 150,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2232668?w=500&h=500,https://media.ultainc.com/i/ulta/2232668?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_69242540b96076,Maybelline,Instant Age Rewind Eraser Dark Circle Treatment Concealer - 141,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2590598?w=500&h=500,https://media.ultainc.com/i/ulta/2590598?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_a0ab68436e6125,Maybelline,Instant Age Rewind Eraser Dark Circle Treatment Concealer - 190,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2633518?w=500&h=500,https://media.ultainc.com/i/ulta/2633518?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_b9fc6343c3c078,CeraVe,Moisturizing Cream Body and Face Moisturizer - 12.0 oz,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/2541604?w=500&h=500,https://media.ultainc.com/i/ulta/2541604?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_c60d43ff47668f,LORAC,POREfection Baked Perfecting Powder - PF1,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2232635?w=500&h=500,https://media.ultainc.com/i/ulta/2232635?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_7bfc9ed271f2dd,Not Your Mother's,Clean Freak Refreshing Dry Shampoo - 1.6 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2265752?w=500&h=500,https://media.ultainc.com/i/ulta/2265752?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_69c078fecba8d8,Lancôme,Hypnôse Buildable Volume Waterproof Mascara - Black,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2235639?w=500&h=500,https://media.ultainc.com/i/ulta/2235639?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_0f1e724599518c,Lancôme,Artliner Precision Felt Tip Liquid Eyeliner - Blue Metallic,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2542654?w=500&h=500,https://media.ultainc.com/i/ulta/2542654?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_fa457ff110bb18,Lancôme,Blush Subtil Oil-Free Powder Blush - 351 Blushing Trésor,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2542624?w=500&h=500,https://media.ultainc.com/i/ulta/2542624?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_8b10b185673e75,Lancôme,Blush Subtil Oil-Free Powder Blush - 1000 Berry Bisou,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2634815?w=500&h=500,https://media.ultainc.com/i/ulta/2634815?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_c73e1ebfbc3d57,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation - 205 Versatile Neutrale II (W),makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2235361?w=500&h=500,https://media.ultainc.com/i/ulta/2235361?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_1f793721d296d7,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation - 315 Versatile Wheat II (W),makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2235367?w=500&h=500,https://media.ultainc.com/i/ulta/2235367?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_c01e4091198a78,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation - 460 Suede (C),makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2259017?w=500&h=500,https://media.ultainc.com/i/ulta/2259017?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_93e80f84457d27,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation - 140 Ivoire (W),makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2290994?w=500&h=500,https://media.ultainc.com/i/ulta/2290994?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_11012156947a3e,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27 - 095 Ivoire W,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2561672?w=500&h=500,https://media.ultainc.com/i/ulta/2561672?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_045987f5b0975a,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27 - 220 Buff C,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2561679?w=500&h=500,https://media.ultainc.com/i/ulta/2561679?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_1b0645f5dc5769,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27 - 310 Clair 30 C,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2561700?w=500&h=500,https://media.ultainc.com/i/ulta/2561700?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_f771d8558b2710,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27 - 410 Bisque W,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2561708?w=500&h=500,https://media.ultainc.com/i/ulta/2561708?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_e197f394e88263,Jack Black,"All-Over Wash for Face, Hair & Body - 10.0 oz",haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2289315?w=500&h=500,https://media.ultainc.com/i/ulta/2289315?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_44d755177e3969,Ouidad,Moisture Lock Leave-In Conditioner - 8.5 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2238659?w=500&h=500,https://media.ultainc.com/i/ulta/2238659?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_f7acffea42c68e,PÜR Minerals,4-in-1 Pressed Mineral Makeup Broad Spectrum SPF 15 - Blush Medium MP3,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2236105?w=500&h=500,https://media.ultainc.com/i/ulta/2236105?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_ad4ba55df7a7d4,PÜR Minerals,4-in-1 Pressed Mineral Makeup Broad Spectrum SPF 15 - Deep DP6,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2236116?w=500&h=500,https://media.ultainc.com/i/ulta/2236116?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_3a2e6342e09dcd,PÜR Minerals,4-in-1 Pressed Mineral Makeup Broad Spectrum SPF 15 - Ivory LP5,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2550920?w=500&h=500,https://media.ultainc.com/i/ulta/2550920?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_4b9bc027eba6fe,PÜR Minerals,4-in-1 Pressed Mineral Makeup Broad Spectrum SPF 15 - Bisque MG3,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2550944?w=500&h=500,https://media.ultainc.com/i/ulta/2550944?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_e825309e5eda1b,Maybelline,Baby Lips Moisturizing Lip Balm - My Pink,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2304859?w=500&h=500,https://media.ultainc.com/i/ulta/2304859?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_0836b32738aba4,Physicians Formula,Mineral Wear Talc-Free Mineral Airbrushing Pressed Powder SPF 30 - Creamy Natural,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2241354?w=500&h=500,https://media.ultainc.com/i/ulta/2241354?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_064739761ae210,NYX Professional Makeup,Retractable Long-Lasting Mechanical Lip Liner - Sienna,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2242516?w=500&h=500,https://media.ultainc.com/i/ulta/2242516?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_359d4c3f87369f,NYX Professional Makeup,Retractable Long-Lasting Mechanical Lip Liner - Dark Red,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2242523?w=500&h=500,https://media.ultainc.com/i/ulta/2242523?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_b5c9a7bb828ae7,NYX Professional Makeup,Retractable Long-Lasting Mechanical Lip Liner - Pinky Beige,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2268543?w=500&h=500,https://media.ultainc.com/i/ulta/2268543?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_2d74d3474a6ba8,Sexy Hair,Big Sexy Hair Spray & Play Volumizing Hairspray - 10.0 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2558477?w=500&h=500,https://media.ultainc.com/i/ulta/2558477?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_235b53bc06f849,Sexy Hair,Big Sexy Hair Root Pump Plus Humidity Resistant Volumizing Spray Mousse - 1.6 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2558784?w=500&h=500,https://media.ultainc.com/i/ulta/2558784?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_0566edc0cd8a39,Sexy Hair,Big Sexy Hair Powder Play Volumizing & Texturizing Powder,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2215478?w=500&h=500,https://media.ultainc.com/i/ulta/2215478?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_45c8b6246c73c2,L'Oréal,Carbon Black Telescopic Precision Liquid Eyeliner - Carbon Black,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2151452?w=500&h=500,https://media.ultainc.com/i/ulta/2151452?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_f53b9f0037e385,Philosophy,Amazing Grace Whipped Body Creme,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/2251703?w=500&h=500,https://media.ultainc.com/i/ulta/2251703?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_47548ecb921dc1,CHI,Infra Therma Protective Treatment - 12.0 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2113777?w=500&h=500,https://media.ultainc.com/i/ulta/2113777?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_e19cb58ba7bbe7,Bed Head,Ego Boost Split End Mender & Leave-In Conditioner,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2052572?w=500&h=500,https://media.ultainc.com/i/ulta/2052572?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_b964f9f7c6cd55,CoverGirl,Lash Blast Volume Mascara - Black 805,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2155968?w=500&h=500,https://media.ultainc.com/i/ulta/2155968?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_0afd4d28ea6e2e,Stila,Stay All Day Liquid Lipstick - DaVita,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2584762?w=500&h=500,https://media.ultainc.com/i/ulta/2584762?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_00683e37129479,Stila,Stay All Day Liquid Lipstick - Sheer Fragola,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2603671?w=500&h=500,https://media.ultainc.com/i/ulta/2603671?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_f3216651dc2b8a,Too Faced,Lip Injection Extreme Hydrating Lip Plumper Gloss - Bubblegum,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2557712?w=500&h=500,https://media.ultainc.com/i/ulta/2557712?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_8c7d08c55f2960,NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss - Éclair,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2254801?w=500&h=500,https://media.ultainc.com/i/ulta/2254801?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_c80f440d9f3c18,NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss - Bit Of Honey,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2557183?w=500&h=500,https://media.ultainc.com/i/ulta/2557183?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_83a06bd96e5195,NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss - Cranberry Pie,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2557192?w=500&h=500,https://media.ultainc.com/i/ulta/2557192?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_8d8563fd6737b2,NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss - Ginger Snap,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2268534?w=500&h=500,https://media.ultainc.com/i/ulta/2268534?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_87d8e2bb86726b,NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss - Caramel,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2583768?w=500&h=500,https://media.ultainc.com/i/ulta/2583768?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_07b1dc2a69555f,NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss - Clear,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2596593?w=500&h=500,https://media.ultainc.com/i/ulta/2596593?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_9bc3329b228337,Essence,All About Matt! Fixing Compact Powder,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2255011?w=500&h=500,https://media.ultainc.com/i/ulta/2255011?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_00d107c47ad9f2,Batiste,Travel Size Dry Shampoo - Bare - Freesia & Lemon,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2577099?w=500&h=500,https://media.ultainc.com/i/ulta/2577099?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_b705f0db0b8461,CHI,Keratin Silk Infusion Keratin and Silk Reconstructing Complex,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2257651?w=500&h=500,https://media.ultainc.com/i/ulta/2257651?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_98c6eeac7f3838,Color Wow,Color Security Shampoo - 2.5 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2259594?w=500&h=500,https://media.ultainc.com/i/ulta/2259594?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_5f54347606b05e,Color Wow,Color Security Conditioner for Normal-to-Thick Hair - 32.0 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2647825?w=500&h=500,https://media.ultainc.com/i/ulta/2647825?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_894dbc655d693f,Alterna,Caviar Anti-Aging Replenishing Moisture Conditioner - 16.5 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/2290009?w=500&h=500,https://media.ultainc.com/i/ulta/2290009?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_de13a239760f3b,CoverGirl,Clump Crusher Extensions Mascara - Very Black,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/2261805?w=500&h=500,https://media.ultainc.com/i/ulta/2261805?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
