product_id,canonical_id,kept_ingredient_name,kept_display_order,source_row_count,source_ingredient_ids,source_ingredient_names,source_display_orders,source_concentration_texts,source_normalized_concentrations,concentration_policy
prod_oy_a000000254908,cholesterol_fatty_acids,스테아릭애씨드,14,2,ing_pending_8e5e6501448c; ing_pending_bf86770f3c63,스테아릭애씨드; 콜레스테롤,14; 23,,,none
prod_oy_a000000184790,hyaluronic_acid,하이알루로닉애씨드,6,3,ing_pending_2a70c7167edc; ing_pending_d5a75e7d8737; ing_pending_dc86714c6b9b,하이알루로닉애씨드; 하이드롤라이즈드하이알루로닉애씨드; 소듐하이알루로네이트,6; 7; 8,,,none
prod_oy_a000000249581,aha,글라이콜릭애씨드,6,2,ing_pending_41d4bbd36996; ing_pending_7b5bd3517e82,글라이콜릭애씨드; 락틱애씨드,6; 7,,,none
prod_oy_a000000252696,hyaluronic_acid,소듐하이알루로네이트,18,8,ing_pending_dc86714c6b9b; ing_pending_ebe20aa739f4; ing_pending_91a214fb54fa; ing_pending_699a72e62403; ing_pending_d5a75e7d8737; ing_pending_2a70c7167edc; ing_pending_1e416583864f; ing_pending_5830c0d1d488,소듐하이알루로네이트; 하이드롤라이즈드소듐하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트; 소듐아세틸레이티드하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 하이알루로닉애씨드; 소듐하이알루로네이트크로스폴리머; 포타슘하이알루로네이트,18; 20; 22; 24; 25; 28; 29; 30,소듐하이알루로네이트 1.1ppm; 하이드롤라이즈드소듐하이알루로네이트 100.1ppb; 하이드록시프로필트라이모늄하이알루로네이트 100ppb; 소듐아세틸레이티드하이알루로네이트 10ppb; 하이드롤라이즈드하이알루로닉애씨드 10ppb; 하이알루로닉애씨드 2.5ppb; 소듐하이알루로네이트크로스폴리머 1ppb; 포타슘하이알루로네이트 0.2ppb,0.00011 %; 0.00001001 %; 0.00001 %; 0.000001 %; 0.00000025 %; 0.0000001 %; 0.00000002 %,ambiguous_numeric_blank
prod_oy_a000000200039,peptides,아세틸헥사펩타이드-8,30,4,ing_pending_2326ae2ec645; ing_pending_1af9a895ed19; ing_pending_bd76dfd9f575; ing_pending_f186dee4b53f,아세틸헥사펩타이드-8; 팔미토일펜타펩타이드-4; 팔미토일트라이펩타이드-1; 팔미토일테트라펩타이드-7,30; 33; 34; 35,,,none
prod_oy_a000000203207,peptides,아세틸헥사펩타이드-8,22,6,ing_pending_2326ae2ec645; ing_pending_2923850fc2fa; ing_pending_709f4e72c2ae; ing_pending_f186dee4b53f; ing_pending_bd76dfd9f575; ing_pending_1af9a895ed19,아세틸헥사펩타이드-8; 카퍼트라이펩타이드-1; 트라이펩타이드-1; 팔미토일테트라펩타이드-7; 팔미토일트라이펩타이드-1; 팔미토일펜타펩타이드-4,22; 25; 26; 27; 28; 30,,,none
prod_oy_a000000224040,hyaluronic_acid,소듐하이알루로네이트,24,3,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737; ing_pending_2a70c7167edc,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 하이알루로닉애씨드,24; 25; 26,,,none
prod_oy_a000000224040,ceramides,세라마이드엔피,30,3,ing_pending_3db8a4dedc4c; ing_pending_742cd15ac3e7; ing_pending_f1de7c712f85,세라마이드엔피; 세라마이드에이피; 세라마이드이오피,30; 35; 38,,,none
prod_oy_a000000257195,hyaluronic_acid,하이드롤라이즈드하이알루로닉애씨드,2,6,ing_pending_d5a75e7d8737; ing_pending_dc86714c6b9b; ing_pending_2a70c7167edc; ing_pending_ebe20aa739f4; ing_pending_91a214fb54fa; ing_pending_699a72e62403,하이드롤라이즈드하이알루로닉애씨드; 소듐하이알루로네이트; 하이알루로닉애씨드; 하이드롤라이즈드소듐하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트; 소듐아세틸레이티드하이알루로네이트,2; 18; 23; 24; 25; 27,하이드롤라이즈드하이알루로닉애씨드 10.0207%; 소듐하이알루로네이트 3.01 ppm; 하이알루로닉애씨드 0.1ppm; 하이드롤라이즈드소듐하이알루로네이트 0.1ppm; 하이드록시프로필트라이모늄하이알루로네이트 0.1ppm; 소듐아세틸레이티드하이알루로네이트 0.1ppm,10.0207 %; 0.000301 %; 0.00001 %,ambiguous_numeric_blank
prod_oy_a000000258292,hyaluronic_acid,소듐하이알루로네이트크로스폴리머,9,5,ing_pending_1e416583864f; ing_pending_dc86714c6b9b; ing_pending_699a72e62403; ing_pending_ebe20aa739f4; ing_pending_d5a75e7d8737,소듐하이알루로네이트크로스폴리머; 소듐하이알루로네이트; 소듐아세틸레이티드하이알루로네이트; 하이드롤라이즈드소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드,9; 10; 11; 12; 13,하이드롤라이즈드하이알루로닉애씨드 200ppm,0.02 %,single_numeric_preserved
