product_code,source_prefix,current_brand,suspected_brand,product_name,duplicate_group_size,duplicate_brand_count,duplicate_brands,confidence,note
ulta_06b9b3f9d2dfff,ulta,FARMACY,,1% Vitamin A Retinol Serum,2,2,FARMACY; Farmacy,0.55,same product_name appears under multiple brands; brands=FARMACY; Farmacy
sephora_0d708ca5038f19,sephora,Farmacy,,1% Vitamin A Retinol Serum,2,2,FARMACY; Farmacy,0.55,same product_name appears under multiple brands; brands=FARMACY; Farmacy
ulta_f7333792699098,ulta,FARMACY,,10% Waterless Vitamin C Serum,2,2,FARMACY; Farmacy,0.55,same product_name appears under multiple brands; brands=FARMACY; Farmacy
sephora_8121e82bbc0456,sephora,Farmacy,,10% Waterless Vitamin C Serum,2,2,FARMACY; Farmacy,0.55,same product_name appears under multiple brands; brands=FARMACY; Farmacy
cultbeauty_f851b7e507922b,cultbeauty,Hourglass,,AMELIORATE Clarifying Facial Cream 100ml,2,2,Hourglass; The Ordinary,0.55,same product_name appears under multiple brands; brands=Hourglass; The Ordinary
lookfantastic_f71decaf035785,lookfantastic,The Ordinary,,AMELIORATE Clarifying Facial Cream 100ml,2,2,Hourglass; The Ordinary,0.55,same product_name appears under multiple brands; brands=Hourglass; The Ordinary
lookfantastic_9db55530148d1c,lookfantastic,La Roche-Posay,,AMELIORATE Clarifying Facial Toner 200ml,2,2,La Roche-Posay; Paula's Choice,0.55,same product_name appears under multiple brands; brands=La Roche-Posay; Paula's Choice
cultbeauty_7580229c257811,cultbeauty,Paula's Choice,,AMELIORATE Clarifying Facial Toner 200ml,2,2,La Roche-Posay; Paula's Choice,0.55,same product_name appears under multiple brands; brands=La Roche-Posay; Paula's Choice
cultbeauty_66b1323fcf4d1d,cultbeauty,Paula's Choice,,AMELIORATE Transforming Facial Concentrate Toner 200ml,2,2,Paula's Choice; The Ordinary,0.55,same product_name appears under multiple brands; brands=Paula's Choice; The Ordinary
lookfantastic_97ad889d835948,lookfantastic,The Ordinary,,AMELIORATE Transforming Facial Concentrate Toner 200ml,2,2,Paula's Choice; The Ordinary,0.55,same product_name appears under multiple brands; brands=Paula's Choice; The Ordinary
cultbeauty_e0a37f53a9e9ed,cultbeauty,LANEIGE,,AMELIORATE Transforming Facial Cream 100ml,2,2,LANEIGE; La Roche-Posay,0.55,same product_name appears under multiple brands; brands=LANEIGE; La Roche-Posay
lookfantastic_c61f0b47ff00bb,lookfantastic,La Roche-Posay,,AMELIORATE Transforming Facial Cream 100ml,2,2,LANEIGE; La Roche-Posay,0.55,same product_name appears under multiple brands; brands=LANEIGE; La Roche-Posay
ulta_db4ffd8fd5b954,ulta,SUNDAY RILEY,,B3 Nice 10% Niacinamide Serum,2,2,SUNDAY RILEY; Sunday Riley,0.55,same product_name appears under multiple brands; brands=SUNDAY RILEY; Sunday Riley
sephora_b4a256d839f40a,sephora,Sunday Riley,,B3 Nice 10% Niacinamide Serum,2,2,SUNDAY RILEY; Sunday Riley,0.55,same product_name appears under multiple brands; brands=SUNDAY RILEY; Sunday Riley
ulta_14fc2000dc4997,ulta,Madeca Derma,,Brightening Serum,2,2,Madeca Derma; Veea Face,0.55,same product_name appears under multiple brands; brands=Madeca Derma; Veea Face
ulta_396783441ea81e,ulta,Veea Face,,Brightening Serum,2,2,Madeca Derma; Veea Face,0.55,same product_name appears under multiple brands; brands=Madeca Derma; Veea Face
ulta_f8b4bc466ff8f7,ulta,American Crew,,Cream Pomade,2,2,American Crew; Baxter of California,0.55,same product_name appears under multiple brands; brands=American Crew; Baxter of California
ulta_34911e6c75f179,ulta,Baxter of California,,Cream Pomade,2,2,American Crew; Baxter of California,0.55,same product_name appears under multiple brands; brands=American Crew; Baxter of California
lookfantastic_524d85b15fc032,lookfantastic,Garnier,,FaceGym Active Collagen Wonder Serum with Phyto-Retinol and Hyaluronic Acid 30ml,2,2,Garnier; HUDA BEAUTY,0.55,same product_name appears under multiple brands; brands=Garnier; HUDA BEAUTY
cultbeauty_65ea0458fc82de,cultbeauty,HUDA BEAUTY,,FaceGym Active Collagen Wonder Serum with Phyto-Retinol and Hyaluronic Acid 30ml,2,2,Garnier; HUDA BEAUTY,0.55,same product_name appears under multiple brands; brands=Garnier; HUDA BEAUTY
