product_code,source_prefix,current_brand,product_name,suspected_brand,issue_type,recommended_action,confidence,note
cultbeauty_135a82a68f0488,cultbeauty,CeraVe,111SKIN Repair Day Cream - Light 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_88eeec98506f0e,cultbeauty,Color Wow,111SKIN Rose Gold Radiance Body Oil 100ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_a744cdfb7c9084,cultbeauty,Elemis,111SKIN Enzyme Exfoliating Cleanser 40g,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_bc110c6d9c739f,cultbeauty,La Roche-Posay,111SKIN Black Diamond Contour Gel 15ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_ea4283fc121ccc,cultbeauty,Laura Mercier,111SKIN Antioxidant Essence 100ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_f490dbc201d412,cultbeauty,Medik8,111SKIN Antioxidant Energising Essence 100ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_fa38f6f3431c9e,cultbeauty,Medik8,111SKIN Repair Night Cream 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_a78e79857cb964,cultbeauty,Murad,111SKIN Cryo Revitalising Moisturiser 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_5050462d53ffe4,cultbeauty,NARS,111SKIN Celestial Black Diamond Body Cream 160ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_e1a5484105869a,cultbeauty,Oribe,111SKIN Celestial Black Diamond Eye Cream 15ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_4e58205a50f6e0,cultbeauty,PATRICK TA,111SKIN Black Diamond Vitamin C Brightening Cleanser 55ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_7045eb8d68efa0,cultbeauty,PATRICK TA,111SKIN Deep Cleansing Oil 100ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_d210d007a8f952,cultbeauty,PATRICK TA,111SKIN Hyaluronic Acid Aqua Booster 20ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_074258894cce48,cultbeauty,PATRICK TA,111SKIN Repair + Renew Routine,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_2fabdd3de41921,cultbeauty,PATRICK TA,111SKIN Repair Serum NAC Y2 30ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_6667a45063012d,cultbeauty,PATRICK TA,111SKIN Repair Sunscreen SPF 50+ 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
