target_brand,product_id,brand,name,category,issue_type,status
Numbuzin,prod_oy_a000000257096,넘버즈인,넘버즈인 3번 보들보들 모공결 세럼 30ml,serum,name_prefix_candidate_check,pass
Numbuzin,prod_oy_a000000227239,넘버즈인,넘버즈인 2번 로즈 PDRN 콜라겐 플럼핑 세럼 소용량 듀오 10ml (마일드 1ml*5개+인텐시브 1ml*5개),serum,name_prefix_candidate_check,pass
Numbuzin,prod_oy_a000000230934,넘버즈인,넘버즈인 2번 로즈 PDRN 콜라겐 플럼핑 세럼 투엑스 30ml,serum,name_prefix_candidate_check,pass
Numbuzin,prod_oy_a000000210600,넘버즈인,넘버즈인 5번 글루타치온씨 흔적 토닝 레이저 크림 50ml,cream,name_prefix_candidate_check,pass
Numbuzin,cultbeauty_c469411b123995,Numbuzin,Numbuzin No.1 Pantothenic B5 Active Soothing Serum 50ml,serum,name_prefix_candidate_check,pass
Numbuzin,cultbeauty_a0bac82eac275a,Numbuzin,Numbuzin No.3 Super Glowing Essence Toner 200ml,serum,name_prefix_candidate_check,pass
Numbuzin,cultbeauty_316e725e3da6a3,Numbuzin,Numbuzin No.5 Vitamin Serum 30ml,serum,name_prefix_candidate_check,pass
Numbuzin,cultbeauty_c871dbf7baab84,Numbuzin,Numbuzin No.9 NAD PDRN Glow Boosting Toner 150ml,toner,name_prefix_candidate_check,pass
Numbuzin,cultbeauty_aa30dcd148cfa5,Numbuzin,Numbuzin No.1 Clear Filter Sun Essence SPF50+ PA++++ 50ml,serum,name_prefix_candidate_check,pass
Numbuzin,cultbeauty_8398bd702c92ee,Numbuzin,Numbuzin No.9 NAD Essence 50ml,serum,name_prefix_candidate_check,pass
111SKIN,dermstore_44ab691ff82b1d,111SKIN,111SKIN Repair Serum NAC Y2 30ml,serum,name_prefix_candidate_check,pass
111SKIN,dermstore_1e8412891644d5,111SKIN,111SKIN Repair Day Cream NAC Y2 50ml,cream,name_prefix_candidate_check,pass
111SKIN,dermstore_6d85da547e21ba,111SKIN,111SKIN Repair Serum NAC Y2 15ml,serum,name_prefix_candidate_check,pass
111SKIN,dermstore_b6d30cd69cbb68,111SKIN,111SKIN Rose Gold Radiance Booster Serum 20ml,serum,name_prefix_candidate_check,pass
111SKIN,dermstore_4d099b5934a18b,111SKIN,111SKIN Cryo Revitalising Moisturiser 50ml,cream,name_prefix_candidate_check,pass
111SKIN,cultbeauty_45935e8a0a7328,111SKIN,111SKIN Y Theorem Repair Light Serum NAC Y2 (30ml),serum,name_prefix_candidate_check,pass
111SKIN,cultbeauty_d210d007a8f952,111SKIN,111SKIN Hyaluronic Acid Aqua Booster 20ml,serum,name_prefix_candidate_check,pass
111SKIN,cultbeauty_7d7415a584834e,111SKIN,111SKIN Vitamin C Brightening Booster 20ml,serum,name_prefix_candidate_check,pass
111SKIN,cultbeauty_2fabdd3de41921,111SKIN,111SKIN Repair Serum NAC Y2 30ml,serum,name_prefix_candidate_check,pass
111SKIN,cultbeauty_a18a930706ca79,111SKIN,111SKIN Repair Day Cream NAC Y2 50ml,cream,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_2dfcee47b968ac,Dr Dennis Gross,Dr Dennis Gross Alpha Beta Pore Perfecting Refining Serum (1 fl. oz.),serum,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_928f4825890e33,Dr Dennis Gross,Dr Dennis Gross Hyaluronic Marine Hydration Booster (1 fl. oz.),serum,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_c12358a8321dc0,Dr Dennis Gross,Dr Dennis Gross Skincare Advanced Retinol + Ferulic Texture Renewal Serum,serum,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_7e619d91fb9761,Dr Dennis Gross,Dr Dennis Gross Advanced Retinol and Ferulic Intense Wrinkle Cream 60ml,cream,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_68dcf9c1210cb5,Dr Dennis Gross,Dr Dennis Gross Skincare Vitamin C Lactic 15% Vitamin C Firm and Bright Serum 1 fl oz,serum,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_cb2f65cafe4a3a,Dr Dennis Gross,Dr Dennis Gross Skincare Vitamin C Lactic Oil-Free Radiant Moisturizer 1.7 fl oz,cream,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_a3ba7a41e507f8,Dr Dennis Gross,Dr Dennis Gross Skincare Vitamin C Lactic Dewy Deep Cream 2 fl oz,cream,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_0ed56a4821c00a,Dr Dennis Gross,Dr Dennis Gross DermInfusions Fill + Repair Serum 30ml,serum,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_f43564b6bf7764,Dr Dennis Gross,Dr Dennis Gross Skincare DermInfusions​ Blur and Repair Cream​ 1.69 fl oz,cream,name_prefix_candidate_check,pass
Dr Dennis Gross,dermstore_d105824b5eef69,Dr Dennis Gross,Dr Dennis Gross Alpha Beta® pH Balance Replenishing Cream (1.7 fl. Oz),cream,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_d75911e6f09d3c,Clé de Peau Beauté,Clé de Peau Beauté Correcting Cream Veil 37ml,cream,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_7abe168edf2102,Clé de Peau Beauté,Clé de Peau Beauté Brightening Serum Supreme 40ml,serum,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_69be1d5ee4d7d1,Clé de Peau Beauté,Clé de Peau Beauté Concentrated Brightening Serum 40ml,serum,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_fb46e9ca3d2e9a,Clé de Peau Beauté,Clé de Peau Beauté Precious Gold Vitality Serum 119ml,serum,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_8e64528e03a93e,Clé de Peau Beauté,Clé de Peau Beauté Le Sérum (Various Sizes),serum,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_7910bb93ac92ac,Clé de Peau Beauté,Clé de Peau Beauté Advanced Protective Cream - 50ml Refill,cream,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_9aa5511913e030,Clé de Peau Beauté,Clé de Peau Beauté Protective Day Emulsion 125ml,lotion,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_de32a59cb7e74f,Clé de Peau Beauté,Clé de Peau Beauté Advanced Intensive Night Cream - Refill,cream,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_6bd0337ff78bbf,Clé de Peau Beauté,Clé de Peau Beauté Hydro-Softening Essence Lotion,serum,name_prefix_candidate_check,pass
Clé de Peau Beauté,cultbeauty_eaa2f6bcb9aee3,Clé de Peau Beauté,Clé de Peau Beauté Intensive Night Emulsion 125ml,lotion,name_prefix_candidate_check,pass
La Roche-Posay,prod_oy_a000000250143,라로슈포제,라로슈포제 에빠끌라 K(+) 토너 200ml 기획(+에빠끌라 폼 50ml),toner,name_prefix_candidate_check,pass
