alias,normalized_alias,previous_canonical_id,new_canonical_id,action,note
"2,3-Butanediol","2,3-butanediol",,2_3_butanediol,added,공식 exact identity alias
"2,3-부탄다이올","2,3-부탄다이올",,2_3_butanediol,added,공식 exact identity alias
Acacia Seyal Gum Extract,acaciaseyalgumextract,,acacia_seyal_gum_extract,added,공식 exact identity alias
Acanthopanax Senticosus (Eleuthero) Root Extract,acanthopanaxsenticosus(eleuthero)rootextract,,acanthopanax_senticosus_eleuthero_root_extract,added,공식 exact identity alias
Acetamide MEA,acetamidemea,,acetamide_mea,added,공식 exact identity alias
Acetamidoethoxyethanol,acetamidoethoxyethanol,,acetamidoethoxyethanol,added,공식 exact identity alias
Acetyl Heptapeptide-4,acetylheptapeptide-4,,acetyl_heptapeptide_4,added,공식 exact identity alias
Acetyl Octapeptide-3,acetyloctapeptide-3,,acetyl_octapeptide_3,added,공식 exact identity alias
Acetyl Tetrapeptide-5,acetyltetrapeptide-5,,acetyl_tetrapeptide_5,added,공식 exact identity alias
Achillea Millefolium Extract,achilleamillefoliumextract,,achillea_millefolium_extract,added,공식 exact identity alias
Achillea Millefolium Flower Extract,achilleamillefoliumflowerextract,,achillea_millefolium_flower_extract,added,공식 exact identity alias
Acorus Gramineus Extract,acorusgramineusextract,,acorus_gramineus_extract,added,공식 exact identity alias
Actaea Heracleifolia Root Extract,actaeaheracleifoliarootextract,,cimicifuga_racemosa_root_extract,added,공식 exact identity alias
Adansonia Digitata Pulp Extract,adansoniadigitatapulpextract,,adansonia_digitata_pulp_extract,added,공식 exact identity alias
Alanyl Glutamine,alanylglutamine,,alanyl_glutamine,added,공식 exact identity alias
Albatrellus Confluens (Mushroom) Extract,albatrellusconfluens(mushroom)extract,,albatrellus_confluens_mushroom_extract,added,공식 exact identity alias
Alcaligenes Polysaccharides,alcaligenespolysaccharides,,alcaligenes_polysaccharides,added,공식 exact identity alias
Algae Oligosaccharides,algaeoligosaccharides,,algae_oligosaccharides,added,공식 exact identity alias
Aloe Barbadensis Leaf Polysaccharides,aloebarbadensisleafpolysaccharides,,aloe_barbadensis_leaf_polysaccharides,added,공식 exact identity alias
Alpha-Arbutin,alpha-arbutin,,alpha_arbutin,added,공식 exact identity alias
Alpha-Glucan,alpha-glucan,,alpha_glucan,added,공식 exact identity alias
Althaea Rosea Root Extract,althaearosearootextract,,althaea_rosea_root_extract,added,공식 exact identity alias
Ammonium Lactate,ammoniumlactate,,ammonium_lactate,added,공식 exact identity alias
Amorphophallus Konjac Root Extract,amorphophalluskonjacrootextract,,amorphophallus_konjac_root_extract,added,공식 exact identity alias
Amylose,amylose,,amylose,added,공식 exact identity alias
Arginine PCA,argininepca,,arginine_pca,added,공식 exact identity alias
Avena Sativa (Oat) Meal Extract,avenasativa(oat)mealextract,,avena_sativa_oat_meal_extract,added,공식 exact identity alias
Averrhoa Carambola Leaf Extract,averrhoacarambolaleafextract,,averrhoa_carambola_leaf_extract,added,공식 exact identity alias
Azulene,azulene,,azulene,added,공식 exact identity alias
Bacillus/Folic Acid Ferment Filtrate Extract,bacillus/folicacidfermentfiltrateextract,,bacillus_folic_acid_ferment_filtrate_extract,added,공식 exact identity alias
Bambusa Vulgaris Leaf/Stem Extract,bambusavulgarisleaf/stemextract,,bambusa_vulgaris_leaf_stem_extract,added,공식 exact identity alias
Bambusa Vulgaris Shoot Extract,bambusavulgarisshootextract,,bambusa_vulgaris_shoot_extract,added,공식 exact identity alias
Betaine Salicylate,betainesalicylate,,betaine_salicylate,added,공식 exact identity alias
Betaphycus Gelatinum Extract,betaphycusgelatinumextract,,betaphycus_gelatinum_extract,added,공식 exact identity alias
Betula Alba Leaf Extract,betulaalbaleafextract,,betula_alba_leaf_extract,added,공식 exact identity alias
Bidens Pilosa Extract,bidenspilosaextract,,bidens_pilosa_extract,added,공식 exact identity alias
Bifida Ferment Extract,bifidafermentextract,,bifida_ferment_extract,added,공식 exact identity alias
Bioflavonoids,bioflavonoids,,bioflavonoids,added,공식 exact identity alias
Biota Orientalis Leaf Extract,biotaorientalisleafextract,,biota_orientalis_leaf_extract,added,공식 exact identity alias
"Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate","bis-ethoxydiglycolcyclohexane1,4-dicarboxylate",,bis_ethoxydiglycol_cyclohexane_1_4_dicarboxylate,added,공식 exact identity alias
Bis-PEG-18 Methyl Ether Dimethyl Silane,bis-peg-18methyletherdimethylsilane,,bis_peg_18_methyl_ether_dimethyl_silane,added,공식 exact identity alias
Bixa Orellana Seed Oil,bixaorellanaseedoil,,bixa_orellana_seed_oil,added,공식 exact identity alias
Brassica Oleracea Acephala Leaf Extract,brassicaoleraceaacephalaleafextract,,brassica_oleracea_acephala_leaf_extract,added,공식 exact identity alias
Bromelain,bromelain,,bromelain,added,공식 exact identity alias
Butyloctanol,butyloctanol,,butyloctanol,added,공식 exact identity alias
Calcium Lactate,calciumlactate,,calcium_lactate,added,공식 exact identity alias
Calcium PCA,calciumpca,,calcium_pca,added,공식 exact identity alias
Camellia Sinensis Extract,camelliasinensisextract,,camellia_sinensis_extract,added,공식 exact identity alias
Camellia Sinensis Seed Extract,camelliasinensisseedextract,,camellia_sinensis_seed_extract,added,공식 exact identity alias
Camellia Sinensis Seed Oil,camelliasinensisseedoil,,camellia_sinensis_seed_oil,added,공식 exact identity alias
Capryloyl Glycine,capryloylglycine,,capryloyl_glycine,added,공식 exact identity alias
Capsicum Annuum Fruit Extract,capsicumannuumfruitextract,,capsicum_annuum_fruit_extract,added,공식 exact identity alias
Capsicum Annuum Fruit Extract|Capsicum Frutescens Fruit Extract,capsicumannuumfruitextract|capsicumfrutescensfruitextract,,capsicum_annuum_fruit_extract_capsicum_frutescens_fruit_extract,added,공식 exact identity alias
Capsicum Frutescens Fruit Extract,capsicumfrutescensfruitextract,,capsicum_annuum_fruit_extract_capsicum_frutescens_fruit_extract,added,공식 exact identity alias
Carica Papaya (Papaya) Seed Oil,caricapapaya(papaya)seedoil,,carica_papaya_papaya_seed_oil,added,공식 exact identity alias
Carica Papaya Seed Oil,caricapapayaseedoil,,carica_papaya_papaya_seed_oil,added,공식 exact identity alias
Carnitine HCl,carnitinehcl,,carnitine_hcl,added,공식 exact identity alias
Ceramide AG,ceramideag,,ceramide_ag,added,공식 exact identity alias
Cetraria Islandica Extract,cetrariaislandicaextract,,cetraria_islandica_extract,added,공식 exact identity alias
Cetraria Islandica Thallus Extract,cetrariaislandicathallusextract,,cetraria_islandica_thallus_extract,added,공식 exact identity alias
Chaenomeles Sinensis Fruit Extract,chaenomelessinensisfruitextract,,chaenomeles_sinensis_fruit_extract,added,공식 exact identity alias
Chlamydomonas Reinhardtii Extract,chlamydomonasreinhardtiiextract,,chlamydomonas_reinhardtii_extract,added,공식 exact identity alias
Cimicifuga Dahurica Root Extract,cimicifugadahuricarootextract,,cimicifuga_racemosa_root_extract,added,공식 exact identity alias
Cimicifuga Racemosa Root Extract,cimicifugaracemosarootextract,,cimicifuga_racemosa_root_extract,added,공식 exact identity alias
Cimicifuga Simplex Root Extract,cimicifugasimplexrootextract,,cimicifuga_racemosa_root_extract,added,공식 exact identity alias
Cinnamomum Cassia Bark Extract,cinnamomumcassiabarkextract,,cinnamomum_zeylanicum_bark_extract,added,공식 exact identity alias
Cinnamomum Zeylanicum Bark Extract,cinnamomumzeylanicumbarkextract,,cinnamomum_zeylanicum_bark_extract,added,공식 exact identity alias
Citrullus Lanatus (Watermelon) Fruit Juice,citrulluslanatus(watermelon)fruitjuice,,citrullus_lanatus_watermelon_fruit_juice,added,공식 exact identity alias
Citrus Aurantium Tachibana Peel Extract,citrusaurantiumtachibanapeelextract,,citrus_aurantium_tachibana_peel_extract,added,공식 exact identity alias
Citrus Australasica Fruit Extract,citrusaustralasicafruitextract,,citrus_australasica_fruit_extract,added,공식 exact identity alias
Citrus Depressa Peel Extract,citrusdepressapeelextract,,citrus_depressa_peel_extract,added,공식 exact identity alias
Citrus Glauca Fruit Extract,citrusglaucafruitextract,,citrus_glauca_fruit_extract,added,공식 exact identity alias
Climbazole,climbazole,,climbazole,added,공식 exact identity alias
Cnidium Monnieri Fruit Extract,cnidiummonnierifruitextract,,cnidium_monnieri_fruit_extract,added,공식 exact identity alias
Cocos Nucifera (Coconut) Fruit Juice,cocosnucifera(coconut)fruitjuice,,cocos_nucifera_coconut_fruit_juice,added,공식 exact identity alias
Coix Lacryma-Jobi Ma-yuen Seed Powder,coixlacryma-jobima-yuenseedpowder,,coix_lacryma_jobi_ma_yuen_seed_powder,added,공식 exact identity alias
Coleus Forskohlii Root Extract,coleusforskohliirootextract,,coleus_forskohlii_root_extract,added,공식 exact identity alias
Collagen,collagen,,collagen,added,공식 exact identity alias
Collagen Water,collagenwater,,collagen_water,added,공식 exact identity alias
Copper PCA,copperpca,,copper_pca,added,공식 exact identity alias
Coptis Japonica Extract,coptisjaponicaextract,,coptis_japonica_extract,added,공식 exact identity alias
Cordyceps Sinensis Extract,cordycepssinensisextract,,cordyceps_sinensis_extract,added,공식 exact identity alias
Cryptomeria Japonica Leaf Extract,cryptomeriajaponicaleafextract,,cryptomeria_japonica_leaf_extract,added,공식 exact identity alias
Cutaneous Lysate,cutaneouslysate,,cutaneous_lysate,added,공식 exact identity alias
Cyclohexylglycerin,cyclohexylglycerin,,cyclohexylglycerin,added,공식 exact identity alias
Cymbopogon Schoenanthus Extract,cymbopogonschoenanthusextract,,cymbopogon_schoenanthus_extract,added,공식 exact identity alias
Davidsonia Jerseyana Fruit Extract,davidsoniajerseyanafruitextract,,davidsonia_jerseyana_fruit_extract,added,공식 exact identity alias
Diglycerin,diglycerin,,diglycerin,added,공식 exact identity alias
Dihydroxyisopropyl Palmoylpalmamide,dihydroxyisopropylpalmoylpalmamide,,dihydroxyisopropyl_palmoylpalmamide,added,공식 exact identity alias
Dihydroxypropyl Arginine HCl,dihydroxypropylargininehcl,,dihydroxypropyl_arginine_hcl,added,공식 exact identity alias
Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer,dimethicone/divinyldimethicone/silsesquioxanecrosspolymer,,dimethicone_divinyldimethicone_silsesquioxane_crosspolymer,added,공식 exact identity alias
Dimethylsilanol Hyaluronate,dimethylsilanolhyaluronate,,dimethylsilanol_hyaluronate,added,공식 exact identity alias
Echinacea Angustifolia Extract,echinaceaangustifoliaextract,,echinacea_angustifolia_extract,added,공식 exact identity alias
Echinacea Purpurea Extract,echinaceapurpureaextract,,echinacea_purpurea_extract,added,공식 exact identity alias
Equisetum Arvense Extract,equisetumarvenseextract,,equisetum_arvense_extract,added,공식 exact identity alias
Equisetum Arvense Leaf Extract,equisetumarvenseleafextract,,equisetum_arvense_leaf_extract,added,공식 exact identity alias
Erythritol,erythritol,,erythritol,added,공식 exact identity alias
Ethoxydiglycol,ethoxydiglycol,,ethoxydiglycol,added,공식 exact identity alias
Ethyl Glucoside,ethylglucoside,,ethyl_glucoside,added,공식 exact identity alias
Ethyl Lauroyl Arginate HCl,ethyllauroylarginatehcl,,ethyl_lauroyl_arginate_hcl,added,공식 exact identity alias
Ethyl Vanillin,ethylvanillin,,ethyl_vanillin,added,공식 exact identity alias
Euphrasia Officinalis Extract,euphrasiaofficinalisextract,,euphrasia_officinalis_extract,added,공식 exact identity alias
Ficus Carica (Fig) Fruit Extract,ficuscarica(fig)fruitextract,,ficus_carica_fig_fruit_extract,added,공식 exact identity alias
Foeniculum Vulgare (Fennel) Fruit Extract,foeniculumvulgare(fennel)fruitextract,,foeniculum_vulgare_fennel_fruit_extract,added,공식 exact identity alias
