rank,source_ingredient_id,dominant_name,row_count,product_count,kcia_ingredient_code,kcia_standard_name_ko,kcia_standard_name_en,kcia_old_names_ko,kcia_old_names_en,official_match_status,official_matched_row_count,official_match_ratio,official_conflict_codes,proposed_action,proposed_canonical_id,related_scoring_family_ids,selected_for_target,proposal_confidence,review_status,proposal_note,source_document_date,source_document_sha256,baseline_effect_candidate_count,target_effect_candidate_count,cosing_match_status,cosing_inci_name,cosing_functions,effect_signal_ids,effect_signal_basis,effect_candidate_rank,effect_candidate_selection_reason
78,ing_pending_afb30d01ff7b,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,459,459,1257,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,Glyceryl Acrylate/Acrylic Acid Copolymer,,,official_exact,458,0.997821,,create_canonical,glyceryl_acrylate_acrylic_acid_copolymer,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,exact_name,GLYCERYL ACRYLATE/ACRYLIC ACID COPOLYMER,HUMECTANT|VISCOSITY CONTROLLING,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT,1,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
112,ing_pending_aefce68fa7a5,Glyceryl Acrylate/Acrylic Acid Copolymer,430,430,1257,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,Glyceryl Acrylate/Acrylic Acid Copolymer,,,official_exact,427,0.993023,,create_canonical,glyceryl_acrylate_acrylic_acid_copolymer,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,exact_name,GLYCERYL ACRYLATE/ACRYLIC ACID COPOLYMER,HUMECTANT|VISCOSITY CONTROLLING,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT,1,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
110,ing_pending_6be87382ec81,Salix Alba (Willow) Bark Extract,430,430,4957,흰버드나무껍질추출물,Salix Alba (Willow) Bark Extract,화이트윌로우껍질추출물,Salix Alba (Willow) Bark Extract,official_exact,426,0.990698,,create_canonical,salix_alba_willow_bark_extract,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,official_name_variant,SALIX ALBA BARK EXTRACT,ASTRINGENT|HAIR CONDITIONING|SKIN CONDITIONING|SOOTHING|TONIC,effect_calming,effect_calming:high:SOOTHING,2,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
179,ing_pending_f189456951de,흰버드나무껍질추출물,379,379,4957,흰버드나무껍질추출물,Salix Alba (Willow) Bark Extract,화이트윌로우껍질추출물,Salix Alba (Willow) Bark Extract,official_exact,379,1.000000,,create_canonical,salix_alba_willow_bark_extract,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,official_name_variant,SALIX ALBA BARK EXTRACT,ASTRINGENT|HAIR CONDITIONING|SKIN CONDITIONING|SOOTHING|TONIC,effect_calming,effect_calming:high:SOOTHING,2,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
7364,ing_pending_beac488c4c9d,화이트윌로우껍질추출물,12,12,4957,흰버드나무껍질추출물,Salix Alba (Willow) Bark Extract,화이트윌로우껍질추출물,Salix Alba (Willow) Bark Extract,official_exact,12,1.000000,,create_canonical,salix_alba_willow_bark_extract,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,official_name_variant,SALIX ALBA BARK EXTRACT,ASTRINGENT|HAIR CONDITIONING|SKIN CONDITIONING|SOOTHING|TONIC,effect_calming,effect_calming:high:SOOTHING,2,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
142,ing_pending_510e23043d32,하이드롤라이즈드글라이코사미노글리칸,398,398,4723,하이드롤라이즈드글라이코사미노글리칸,Hydrolyzed Glycosaminoglycans,,,official_exact,398,1.000000,,create_canonical,hydrolyzed_glycosaminoglycans,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,exact_name,HYDROLYZED GLYCOSAMINOGLYCANS,HAIR CONDITIONING|HUMECTANT|SKIN CONDITIONING,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT,3,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
275,ing_pending_998a43c0a2d6,Hydrolyzed Glycosaminoglycans,338,338,4723,하이드롤라이즈드글라이코사미노글리칸,Hydrolyzed Glycosaminoglycans,,,official_exact,336,0.994083,,create_canonical,hydrolyzed_glycosaminoglycans,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,exact_name,HYDROLYZED GLYCOSAMINOGLYCANS,HAIR CONDITIONING|HUMECTANT|SKIN CONDITIONING,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT,3,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
263,ing_pending_8db6a0cdd6ca,에리스리톨,342,342,2016,에리스리톨,Erythritol,,,official_exact,342,1.000000,,create_canonical,erythritol,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,exact_name,ERYTHRITOL,HUMECTANT|MOISTURISING|SKIN CONDITIONING,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT+MOISTURISING,4,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
272,ing_pending_759dea4508dc,Erythritol,339,339,2016,에리스리톨,Erythritol,,,official_exact,339,1.000000,,create_canonical,erythritol,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,exact_name,ERYTHRITOL,HUMECTANT|MOISTURISING|SKIN CONDITIONING,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT+MOISTURISING,4,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
181,ing_pending_84e44fea2f27,Methyl Gluceth-20,378,378,168,메틸글루세스-20,Methyl Gluceth-20,메칠글루세스-20,Methyl Gluceth-20,official_exact,377,0.997354,,create_canonical,methyl_gluceth_20,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178,163,500,exact_name,METHYL GLUCETH-20,HUMECTANT|MOISTURISING,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT+MOISTURISING,5,KCIA exact canonical + CosIng 6축 기능 신호; 논문 검토 후보일 뿐 점수 아님
