alias,normalized_alias,previous_canonical_id,new_canonical_id,action,note
"1,2-Hexanediol","1,2-hexanediol",,1_2_hexanediol,added,공식 exact identity alias
"1,2-헥산다이올","1,2-헥산다이올",,1_2_hexanediol,added,공식 exact identity alias
"1,2-헥산디올","1,2-헥산디올",,1_2_hexanediol,added,공식 exact identity alias
3-O-Ethyl Ascorbic Acid,3-o-ethylascorbicacid,,3_o_ethyl_ascorbic_acid,added,공식 exact identity alias
3-O-에틸아스코빅애씨드,3-o-에틸아스코빅애씨드,,3_o_ethyl_ascorbic_acid,added,공식 exact identity alias
Acacia Senegal Gum,acaciasenegalgum,,acacia_senegal_gum,added,공식 exact identity alias
Acetic Acid,aceticacid,,acetic_acid,added,공식 exact identity alias
Acetyl Glucosamine,acetylglucosamine,,acetyl_glucosamine,added,공식 exact identity alias
Acetyl Hexapeptide-8,acetylhexapeptide-8,peptides,acetyl_hexapeptide_8,reassigned_exact_identity,공식 exact identity alias
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylates/c10-30alkylacrylatecrosspolymer,,acrylates_c10_30_alkyl_acrylate_crosspolymer,added,공식 exact identity alias
Acrylates Copolymer,acrylatescopolymer,,acrylates_copolymer,added,공식 exact identity alias
Alanine,alanine,,alanine,added,공식 exact identity alias
Alcohol,alcohol,,alcohol,added,공식 exact identity alias
Alcohol Denat.,alcoholdenat.,,alcohol_denat,added,공식 exact identity alias
Algae Extract,algaeextract,,algae_extract,added,공식 exact identity alias
Algin,algin,,algin,added,공식 exact identity alias
Aloe Barbadensis Leaf Extract,aloebarbadensisleafextract,,aloe_barbadensis_leaf_extract,added,공식 exact identity alias
Aloe Barbadensis Leaf Juice,aloebarbadensisleafjuice,,aloe_barbadensis_leaf_juice,added,공식 exact identity alias
Aloe Barbadensis Leaf Juice Powder,aloebarbadensisleafjuicepowder,,aloe_barbadensis_leaf_juice_powder,added,공식 exact identity alias
Alpha-Isomethyl Ionone,alpha-isomethylionone,,alpha_isomethyl_ionone,added,공식 exact identity alias
Alumina,alumina,,alumina,added,공식 exact identity alias
Aluminum Hydroxide,aluminumhydroxide,,aluminum_hydroxide,added,공식 exact identity alias
Aluminum Starch Octenylsuccinate,aluminumstarchoctenylsuccinate,,aluminum_starch_octenylsuccinate,added,공식 exact identity alias
Aminomethyl Propanol,aminomethylpropanol,,aminomethyl_propanol,added,공식 exact identity alias
Ammonium Acryloyldimethyltaurate/VP Copolymer,ammoniumacryloyldimethyltaurate/vpcopolymer,,ammonium_acryloyldimethyltaurate_vp_copolymer,added,공식 exact identity alias
Ammonium Polyacryloyldimethyl Taurate,ammoniumpolyacryloyldimethyltaurate,,ammonium_polyacryloyldimethyl_taurate,added,공식 exact identity alias
Amodimethicone,amodimethicone,,amodimethicone,added,공식 exact identity alias
Amyl Cinnamal,amylcinnamal,,amyl_cinnamal,added,공식 exact identity alias
Anhydroxylitol,anhydroxylitol,,anhydroxylitol,added,공식 exact identity alias
Anthemis Nobilis Flower Extract,anthemisnobilisflowerextract,,chamomilla_recutita_matricaria_flower_extract,added,공식 exact identity alias
Argania Spinosa Kernel Oil,arganiaspinosakerneloil,,argania_spinosa_kernel_oil,added,공식 exact identity alias
Arginine,arginine,,arginine,added,공식 exact identity alias
Ascorbyl Glucoside,ascorbylglucoside,,ascorbyl_glucoside,added,공식 exact identity alias
Ascorbyl Palmitate,ascorbylpalmitate,,ascorbyl_palmitate,added,공식 exact identity alias
Asiatic Acid,asiaticacid,,asiatic_acid,added,공식 exact identity alias
Aspartic Acid,asparticacid,,aspartic_acid,added,공식 exact identity alias
Auricula/Vitis Labrusca Fruit/Helianthus Tuberosus Tuber Ferment Extract Isoamyl Laurate,auricula/vitislabruscafruit/helianthustuberosustuberfermentextractisoamyllaurate,,auricula_vitis_labrusca_fruit_helianthus_tuberosus_tub_kcia_6682,added,공식 exact identity alias
Avena Sativa (Oat) Kernel Extract,avenasativa(oat)kernelextract,,avena_sativa_oat_kernel_extract,added,공식 exact identity alias
Bakuchiol,bakuchiol,,bakuchiol,added,공식 exact identity alias
Barium Sulfate,bariumsulfate,,barium_sulfate,added,공식 exact identity alias
Behentrimonium Chloride,behentrimoniumchloride,,behentrimonium_chloride,added,공식 exact identity alias
Behentrimonium Methosulfate,behentrimoniummethosulfate,,behentrimonium_methosulfate,added,공식 exact identity alias
Behenyl Alcohol,behenylalcohol,,behenyl_alcohol,added,공식 exact identity alias
Benzoic Acid,benzoicacid,,benzoic_acid,added,공식 exact identity alias
Benzophenone-4,benzophenone-4,,benzophenone_4,added,공식 exact identity alias
Benzyl Alcohol,benzylalcohol,,benzyl_alcohol,added,공식 exact identity alias
Benzyl Benzoate,benzylbenzoate,,benzyl_benzoate,added,공식 exact identity alias
Benzyl Salicylate,benzylsalicylate,,benzyl_salicylate,added,공식 exact identity alias
Betaine,betaine,,betaine,added,공식 exact identity alias
BHT,bht,,bht,added,공식 exact identity alias
