alias,normalized_alias,previous_canonical_id,new_canonical_id,action,note
(-)-alpha-bisabolol,(-)-alpha-bisabolol,,alpha_bisabolol,added,공식 exact identity alias
2-Methylresorcinol,2-methylresorcinol,,2_methylresorcinol,added,공식 exact identity alias
2-메칠레조시놀,2-메칠레조시놀,,2_methylresorcinol,added,공식 exact identity alias
2-메틸레조시놀,2-메틸레조시놀,,2_methylresorcinol,added,공식 exact identity alias
4-Amino-2-Hydroxytoluene,4-amino-2-hydroxytoluene,,4_amino_2_hydroxytoluene,added,공식 exact identity alias
4-Chlororesorcinol,4-chlororesorcinol,,4_chlororesorcinol,added,공식 exact identity alias
4-t-Butylcyclohexanol,4-t-butylcyclohexanol,,4_t_butylcyclohexanol,added,공식 exact identity alias
4-t-부틸사이클로헥산올,4-t-부틸사이클로헥산올,,4_t_butylcyclohexanol,added,공식 exact identity alias
4-Terpineol,4-terpineol,,4_terpineol,added,공식 exact identity alias
4-아미노-2-하이드록시톨루엔,4-아미노-2-하이드록시톨루엔,,4_amino_2_hydroxytoluene,added,공식 exact identity alias
4-클로로레조시놀,4-클로로레조시놀,,4_chlororesorcinol,added,공식 exact identity alias
4-터피네올,4-터피네올,,4_terpineol,added,공식 exact identity alias
7-Dehydrocholesterol,7-dehydrocholesterol,,7_dehydrocholesterol,added,공식 exact identity alias
7-데하이드로콜레스테롤,7-데하이드로콜레스테롤,,7_dehydrocholesterol,added,공식 exact identity alias
Abies Sibirica Oil,abiessibiricaoil,,abies_sibirica_oil,added,공식 exact identity alias
Acer Saccharum (Sugar Maple) Extract,acersaccharum(sugarmaple)extract,,acer_saccharum_sugar_maple_extract,added,공식 exact identity alias
Acetylated Glycol Stearate,acetylatedglycolstearate,,acetylated_glycol_stearate,added,공식 exact identity alias
Acetyl Cedrene,acetylcedrene,,acetyl_cedrene,added,공식 exact identity alias
Acetyl Cysteine,acetylcysteine,,acetyl_cysteine,added,공식 exact identity alias
Acetyl Dipeptide-1 Cetyl Ester,acetyldipeptide-1cetylester,,acetyl_dipeptide_1_cetyl_ester,added,공식 exact identity alias
Acetyl Glutamine,acetylglutamine,,acetyl_glutamine,added,공식 exact identity alias
Acetyl Hexapeptide-1,acetylhexapeptide-1,,acetyl_hexapeptide_1,added,공식 exact identity alias
Acetyl Tetrapeptide-11,acetyltetrapeptide-11,,acetyl_tetrapeptide_11,added,공식 exact identity alias
Acetyl Tetrapeptide-2,acetyltetrapeptide-2,,acetyl_tetrapeptide_2,added,공식 exact identity alias
Acetyl Tetrapeptide-3,acetyltetrapeptide-3,,acetyl_tetrapeptide_3,added,공식 exact identity alias
Acetyl Tetrapeptide-9,acetyltetrapeptide-9,,acetyl_tetrapeptide_9,added,공식 exact identity alias
Acetyl Tyrosine,acetyltyrosine,,acetyl_tyrosine,added,공식 exact identity alias
Acmella Oleracea Extract,acmellaoleraceaextract,,acmella_oleracea_extract,added,공식 exact identity alias
Acorus Calamus Root Extract,acoruscalamusrootextract,,acorus_calamus_root_extract,added,공식 exact identity alias
Acrylamide/Sodium Acryloyldimethyltaurate Copolymer,acrylamide/sodiumacryloyldimethyltauratecopolymer,,acrylamide_sodium_acryloyldimethyltaurate_copolymer,added,공식 exact identity alias
Acrylates/Beheneth-25 Methacrylate Copolymer,acrylates/beheneth-25methacrylatecopolymer,,acrylates_beheneth_25_methacrylate_copolymer,added,공식 exact identity alias
Acrylates/Dimethicone Copolymer,acrylates/dimethiconecopolymer,,acrylates_dimethicone_copolymer,added,공식 exact identity alias
Acrylates/Ethylhexyl Acrylate Copolymer,acrylates/ethylhexylacrylatecopolymer,,acrylates_ethylhexyl_acrylate_copolymer,added,공식 exact identity alias
Acrylates/Octylacrylamide Copolymer,acrylates/octylacrylamidecopolymer,,acrylates_octylacrylamide_copolymer,added,공식 exact identity alias
Acrylates/Polytrimethylsiloxymethacrylate Copolymer,acrylates/polytrimethylsiloxymethacrylatecopolymer,,acrylates_polytrimethylsiloxymethacrylate_copolymer,added,공식 exact identity alias
Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer,acrylates/stearylacrylate/dimethiconemethacrylatecopolymer,,acrylates_stearyl_acrylate_dimethicone_methacrylate_copolymer,added,공식 exact identity alias
Acrylates/Stearyl Methacrylate Copolymer,acrylates/stearylmethacrylatecopolymer,,acrylates_stearyl_methacrylate_copolymer,added,공식 exact identity alias
Acrylates Crosspolymer-4,acrylatescrosspolymer-4,,acrylates_crosspolymer_4,added,공식 exact identity alias
Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,acrylonitrile/methylmethacrylate/vinylidenechloridecopolymer,,acrylonitrile_methyl_methacrylate_vinylidene_chloride_copolymer,added,공식 exact identity alias
Actinidia Chinensis (Kiwi) Fruit Extract,actinidiachinensis(kiwi)fruitextract,,actinidia_chinensis_kiwi_fruit_extract,added,공식 exact identity alias
Acyl Coenzyme A Desaturase,acylcoenzymeadesaturase,,acyl_coenzyme_a_desaturase,added,공식 exact identity alias
Adansonia Digitata Fruit Extract,adansoniadigitatafruitextract,,adansonia_digitata_fruit_extract,added,공식 exact identity alias
Adansonia Digitata Seed Extract,adansoniadigitataseedextract,,adansonia_digitata_seed_extract,added,공식 exact identity alias
Adansonia Digitata Seed Oil,adansoniadigitataseedoil,,adansonia_digitata_seed_oil,added,공식 exact identity alias
Aesculus Hippocastanum (Horse Chestnut) Extract,aesculushippocastanum(horsechestnut)extract,,aesculus_hippocastanum_horse_chestnut_extract,added,공식 exact identity alias
Aesculus Hippocastanum (Horse Chestnut) Seed Extract,aesculushippocastanum(horsechestnut)seedextract,,aesculus_hippocastanum_horse_chestnut_seed_extract,added,공식 exact identity alias
Agar,agar,,agar,added,공식 exact identity alias
Agave Tequilana Leaf Extract,agavetequilanaleafextract,,agave_tequilana_leaf_extract,added,공식 exact identity alias
Alaria Esculenta Extract,alariaesculentaextract,,alaria_esculenta_extract,added,공식 exact identity alias
Albizia Julibrissin Bark Extract,albiziajulibrissinbarkextract,,albizia_julibrissin_bark_extract,added,공식 exact identity alias
Aleurites Moluccana Seed Oil,aleuritesmoluccanaseedoil,,aleurites_moluccanus_seed_oil,added,공식 exact identity alias
Aleurites Moluccanus Seed Oil,aleuritesmoluccanusseedoil,,aleurites_moluccanus_seed_oil,added,공식 exact identity alias
Alizurol Purple,alizurolpurple,,alizurol_purple,added,공식 exact identity alias
Allium Cepa (Onion) Bulb Extract,alliumcepa(onion)bulbextract,,allium_cepa_onion_bulb_extract,added,공식 exact identity alias
