rank,source_ingredient_id,dominant_name,row_count,product_count,kcia_ingredient_code,kcia_standard_name_ko,kcia_standard_name_en,kcia_old_names_ko,kcia_old_names_en,official_match_status,official_matched_row_count,official_match_ratio,official_conflict_codes,proposed_action,proposed_canonical_id,related_scoring_family_ids,selected_for_target,proposal_confidence,review_status,proposal_note,source_document_date,source_document_sha256
1,ing_pending_086e4edf3e9e,Phenoxyethanol,26124,26124,3579,페녹시에탄올,Phenoxyethanol,,,official_exact,26108,0.999388,,create_canonical,phenoxyethanol,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
2,ing_pending_1061c5b75d0d,Tocopherol,20615,20615,3288,토코페롤,Tocopherol,,,official_exact,20609,0.999709,,create_canonical,tocopherol,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
3,ing_pending_1a5bb7b82246,Citric Acid,18285,18285,1532,시트릭애씨드,Citric Acid,,,official_exact,18272,0.999289,,create_canonical,citric_acid,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
4,ing_pending_f87cb3a7039b,Ethylhexylglycerin,17438,17438,2075,에틸헥실글리세린,Ethylhexylglycerin,에칠헥실글리세린,Ethylhexylglycerin,official_exact,17422,0.999082,,create_canonical,ethylhexylglycerin,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
5,ing_pending_f95a5236bdfe,Butylene Glycol,17297,17297,586,부틸렌글라이콜,Butylene Glycol,,,official_exact,17294,0.999827,,create_canonical,butylene_glycol,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
6,ing_pending_2b7f0f64981c,Caprylyl Glycol,16593,16593,2924,카프릴릴글라이콜,Caprylyl Glycol,,,official_exact,16589,0.999759,,create_canonical,caprylyl_glycol,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
7,ing_pending_753814bb31b0,Potassium Sorbate,13464,13464,3679,포타슘솔베이트,Potassium Sorbate,포타슘소르베이트,Potassium Sorbate,official_exact,13451,0.999034,,create_canonical,potassium_sorbate,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
8,ing_pending_87478d382fd9,Sodium Benzoate,13173,13173,1116,소듐벤조에이트,Sodium Benzoate,,,official_exact,13163,0.999241,,create_canonical,sodium_benzoate,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
9,ing_pending_9a3ee9934aea,Limonene,12824,12824,20,리모넨,Limonene,,,official_exact,12786,0.997037,,create_canonical,limonene,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
10,ing_pending_b6891f803fb7,Linalool,12522,12522,9,리날룰,Linalool,,,official_exact,12481,0.996726,,create_canonical,linalool,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
11,ing_pending_6645dccd48c0,Tocopheryl Acetate,11709,11709,3293,토코페릴아세테이트,Tocopheryl Acetate,,,official_exact,11701,0.999317,,create_canonical,tocopheryl_acetate,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
12,ing_pending_ec1b8d3ad836,Xanthan Gum,10584,10584,2639,잔탄검,Xanthan Gum,,,official_exact,10573,0.998961,,create_canonical,xanthan_gum,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
13,ing_pending_e0192a791a3a,silica,10288,10288,1548,실리카,Silica,,,official_exact,10287,0.999903,,create_canonical,silica,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
14,ing_pending_7a7fd7a17067,Sodium Hydroxide,10109,10109,1263,소듐하이드록사이드,Sodium Hydroxide,,,official_exact,10102,0.999308,,create_canonical,sodium_hydroxide,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
15,ing_pending_f2af9086549b,Caprylic/Capric Triglyceride,9495,9495,2922,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,카프릴릭/카프릭트리글리세라이드,Caprylic/Capric Triglyceride,official_exact,9467,0.997051,,create_canonical,caprylic_capric_triglyceride,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
16,ing_pending_1bae26cfac86,Sodium Chloride,9405,9405,1223,소듐클로라이드,Sodium Chloride,,,official_exact,9404,0.999894,,create_canonical,sodium_chloride,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
17,ing_pending_7afe49475353,Parfum (Fragrance),9258,9258,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
18,ing_pending_c78a9a696fee,Disodium EDTA,9102,9102,5120,다이소듐이디티에이,Disodium EDTA,디소듐이디티에이,Disodium EDTA,official_exact,9097,0.999451,,create_canonical,disodium_edta,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
19,ing_pending_de1d207b336e,CI 77492,8899,8899,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
20,ing_pending_9c737e76bc63,정제수,8865,8865,2700,정제수,Water,,,official_exact,8865,1.000000,,create_canonical,water,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
21,ing_pending_59490e417d3d,Propanediol,8737,8737,3986,프로판다이올,Propanediol,프로판디올,Propanediol,official_exact,8726,0.998741,,create_canonical,propanediol,,Y,high,accepted_auto_exact,dominant_name이 KCIA 표준명·영문명·구명칭 중 하나와 exact 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
22,ing_pending_fa0d90bf1821,Iron Oxides (Ci 77491),8041,8041,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
