rank,source_ingredient_id,dominant_name,row_count,product_count,cumulative_all_rows_pct,observed_name_count,top_observed_names,observed_names_json,existing_canonical_id,triage_status,triage_note
1,ing_pending_7afe49475353,Parfum (Fragrance),9258,9258,0.4497,24,Parfum (Fragrance) (7955) | Parfum/Fragrance (869) | Parfum / Fragrance (304) | Parfum/fragrance (22) | PARFUM/FRAGRANCE (18),"[{""name"":""Parfum (Fragrance)"",""count"":7955},{""name"":""Parfum/Fragrance"",""count"":869},{""name"":""Parfum / Fragrance"",""count"":304},{""name"":""Parfum/fragrance"",""count"":22},{""name"":""PARFUM/FRAGRANCE"",""count"":18},{""name"":""Parfum (fragrance)"",""count"":17},{""name"":""Parfum/ Fragrance"",""count"":16},{""name"":""Parfum [Fragrance]"",""count"":13},{""name"":""PARFUM (FRAGRANCE)"",""count"":9},{""name"":""Parfum /Fragrance"",""count"":6},{""name"":""Parfum(Fragrance)"",""count"":5},{""name"":""Parfum (Fragrance)\\"",""count"":5},{""name"":""Parfum/Fragrance\\"",""count"":4},{""name"":""Parfum Fragrance"",""count"":3},{""name"":""parfum (fragrance)"",""count"":2},{""name"":""Parfum ( Fragrance)"",""count"":2},{""name"":""parfum/fragrance"",""count"":1},{""name"":""parfum (fragrance).​"",""count"":1},{""name"":""Parfum Fragrance)"",""count"":1},{""name"":""Parfum / fragrance"",""count"":1},{""name"":""Parfum/Fragrance?"",""count"":1},{""name"":""parfum(fragrance)"",""count"":1},{""name"":""Parfum/Fra- Grance"",""count"":1},{""name"":""Parfum (Fragrance)^^"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2,ing_pending_de1d207b336e,CI 77492,8899,8899,0.8820,8,CI 77492 (8674) | Ci 77492 (149) | Ci77492 (43) | Ci 77492) (13) | CI 77492) (12),"[{""name"":""CI 77492"",""count"":8674},{""name"":""Ci 77492"",""count"":149},{""name"":""Ci77492"",""count"":43},{""name"":""Ci 77492)"",""count"":13},{""name"":""CI 77492)"",""count"":12},{""name"":""CI77492"",""count"":6},{""name"":""ci 77492"",""count"":1},{""name"":""ci 77492)"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
3,ing_pending_fa0d90bf1821,Iron Oxides (Ci 77491),8041,8041,1.2726,33,Iron Oxides (Ci 77491) (7072) | Iron Oxides (CI 77491) (417) | Iron Oxides (CI 77491 (307) | Iron Oxides (Ci 77491 (96) | Iron Oxides(CI77491) (65),"[{""name"":""Iron Oxides (Ci 77491)"",""count"":7072},{""name"":""Iron Oxides (CI 77491)"",""count"":417},{""name"":""Iron Oxides (CI 77491"",""count"":307},{""name"":""Iron Oxides (Ci 77491"",""count"":96},{""name"":""Iron Oxides(CI77491)"",""count"":65},{""name"":""Iron Oxides/CI 77491"",""count"":17},{""name"":""IRON OXIDES (CI 77491"",""count"":15},{""name"":""Iron Oxides CI 77491"",""count"":7},{""name"":""Iron Oxides* (CI 77491"",""count"":4},{""name"":""Ironoxides (Ci 77491)"",""count"":4},{""name"":""Iron Oxides / CI 77491"",""count"":4},{""name"":""iron Oxides (Ci 77491)"",""count"":3},{""name"":""Iron Oxides(CI 77491)"",""count"":2},{""name"":""/- Iron Oxides (CI 77491)"",""count"":2},{""name"":""Iron Oxides/Ci 77491"",""count"":2},{""name"":""Iron Oxides (CI77491"",""count"":2},{""name"":""iron oxides (CI 77491"",""count"":2},{""name"":""[+/- Iron Oxides (Ci 77491)"",""count"":2},{""name"":""IRON OXIDES (CI 77491)"",""count"":2},{""name"":""Iron Oxides (Ci77491)"",""count"":2},{""name"":""Iron Oxides (CI77491)"",""count"":2},{""name"":""iron oxides (CI 77491)"",""count"":1},{""name"":""Iron Oxides (C.I. 77491"",""count"":1},{""name"":""Iron Oxides (ci 77491"",""count"":1},{""name"":""IRON OXIDES (CI 77491)]"",""count"":1},{""name"":""Iron Oxides (Ci77491"",""count"":1},{""name"":""Iron Oxides (ci 77491)"",""count"":1},{""name"":""Iron Oxides ( CI 77491)"",""count"":1},{""name"":""Iron Oxides ( CI 77491"",""count"":1},{""name"":""iron oxides (ci 77491"",""count"":1},{""name"":""Iron Oxides(Ci 77491)"",""count"":1},{""name"":""Iron Oxides(ci 77491)"",""count"":1},{""name"":""Iron Oxides /CI 77491"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
4,ing_pending_91c576a970c4,Fragrance (Parfum),7681,7681,1.6457,33,Fragrance (Parfum) (7013) | Fragrance/Parfum (320) | Fragrance / Parfum (118) | Fragrance* (Parfum) (99) | Fragrance(Parfum) (45),"[{""name"":""Fragrance (Parfum)"",""count"":7013},{""name"":""Fragrance/Parfum"",""count"":320},{""name"":""Fragrance / Parfum"",""count"":118},{""name"":""Fragrance* (Parfum)"",""count"":99},{""name"":""Fragrance(Parfum)"",""count"":45},{""name"":""Fragrance (parfum)"",""count"":20},{""name"":""FRAGRANCE (PARFUM)"",""count"":10},{""name"":""Fragrance/parfum"",""count"":6},{""name"":""fragrance (parfum)"",""count"":5},{""name"":""Fragrance Parfum)"",""count"":5},{""name"":""Fragrance/ Parfum"",""count"":4},{""name"":""fragrance (Parfum)"",""count"":3},{""name"":""FragranceParfum"",""count"":3},{""name"":""Fragrance / Parfum\\"",""count"":3},{""name"":""Fragrance/Parfum\\*\\"",""count"":3},{""name"":""Fragrance [Parfum]"",""count"":2},{""name"":""Fragrance * (Parfum)"",""count"":2},{""name"":""Fragrance Parfum"",""count"":2},{""name"":""Fragrance/Parfum\\"",""count"":2},{""name"":""Fragrance (Parfum)\\"",""count"":2},{""name"":""< Fragrance (Parfum)"",""count"":2},{""name"":""Fragrance(parfum)"",""count"":1},{""name"":""fragrance/parfum"",""count"":1},{""name"":""Fragrance[Parfum]"",""count"":1},{""name"":""Fragrance (Parfum) ̊"",""count"":1},{""name"":""Fragrance/Parfum†"",""count"":1},{""name"":""Fragrance (Parfum"",""count"":1},{""name"":""FRAGRANCE / PARFUM"",""count"":1},{""name"":""Fragrance \\[Parfum\\]"",""count"":1},{""name"":""Fragrance (parfum"",""count"":1},{""name"":""fragrance/Parfum"",""count"":1},{""name"":""fragrance(parfum)"",""count"":1},{""name"":""Fragrance\\* (Parfum)"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
5,ing_pending_2caa3e79b7f0,Titanium Dioxide (CI 77891),7492,7492,2.0096,33,Titanium Dioxide (CI 77891) (6911) | Titanium Dioxide (Ci 77891) (376) | Titanium Dioxide (CI77891) (55) | Titanium Dioxide (CI 77891)] (26) | Titanium Dioxide/CI 77891 (20),"[{""name"":""Titanium Dioxide (CI 77891)"",""count"":6911},{""name"":""Titanium Dioxide (Ci 77891)"",""count"":376},{""name"":""Titanium Dioxide (CI77891)"",""count"":55},{""name"":""Titanium Dioxide (CI 77891)]"",""count"":26},{""name"":""Titanium Dioxide/CI 77891"",""count"":20},{""name"":""TITANIUM DIOXIDE (CI 77891)"",""count"":17},{""name"":""Titanium Dioxide (CI 77891)\\]"",""count"":9},{""name"":""titanium dioxide (CI 77891)"",""count"":8},{""name"":""TitaniumDioxideCI77891"",""count"":8},{""name"":""Titanium Dioxide (C.I.77891)"",""count"":5},{""name"":""Titanium Dioxide CI 77891"",""count"":5},{""name"":""Titanium Dioxide (Ci77891)"",""count"":5},{""name"":""[+/- Titanium Dioxide (Ci 77891)"",""count"":4},{""name"":""Titanium Dioxide (Ci 77891)]"",""count"":4},{""name"":""TitaniumDioxide (Ci 77891)"",""count"":4},{""name"":""Titanium Dioxide / CI 77891"",""count"":4},{""name"":""Titanium Dioxide (ci 77891)"",""count"":4},{""name"":""Titanium Dioxide ( Ci 77891)"",""count"":4},{""name"":""Titanium Dioxide / Ci 77891"",""count"":3},{""name"":""Titanium Dioxide(Ci 77891)"",""count"":3},{""name"":""/- Titanium Dioxide (CI 77891)"",""count"":2},{""name"":""Titanium Dioxide/Ci 77891"",""count"":2},{""name"":""Titanium Dioxide(CI 77891)"",""count"":2},{""name"":""Titanium Dioxide - CI 77891"",""count"":2},{""name"":""Titanium Dioxide Ci 77891"",""count"":1},{""name"":""titanium dioxide (ci 77891)"",""count"":1},{""name"":""Titanium dioxide (CI 77891)"",""count"":1},{""name"":""[+/-]Titanium Dioxide (CI 77891)"",""count"":1},{""name"":""\\[+/-: Titanium Dioxide (CI 77891)"",""count"":1},{""name"":""\\[+/- Titanium Dioxide (Ci 77891)"",""count"":1},{""name"":""Titaniumdioxide (Ci 77891)"",""count"":1},{""name"":""Titanium Dioxide(ci 77891)"",""count"":1},{""name"":""\\[+/- Titanium Dioxide/Ci 77891\\]"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
6,ing_pending_9d3a797ebc33,CI 77499),6155,6155,2.3086,17,CI 77499) (5895) | Ci 77499) (102) | CI77499) (61) | CI 77499 (53) | Ci 77499 (10),"[{""name"":""CI 77499)"",""count"":5895},{""name"":""Ci 77499)"",""count"":102},{""name"":""CI77499)"",""count"":61},{""name"":""CI 77499"",""count"":53},{""name"":""Ci 77499"",""count"":10},{""name"":""CI77499"",""count"":6},{""name"":""Ci 77499]"",""count"":6},{""name"":""CI 77499\\]"",""count"":5},{""name"":""(CI 77499)"",""count"":4},{""name"":""Ci 77499)]"",""count"":3},{""name"":""C.I. 77499)"",""count"":3},{""name"":""Ci77499)"",""count"":2},{""name"":""CI 77499)]"",""count"":1},{""name"":""CI 77499]"",""count"":1},{""name"":""ci 77499)"",""count"":1},{""name"":""CI 77499)\\]"",""count"":1},{""name"":""/-: CI 77499"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
7,ing_pending_356a192b7913,1,4175,4175,2.5114,3,1 (4172) | 1) (2) | \* 1 (1),"[{""name"":""1"",""count"":4172},{""name"":""1)"",""count"":2},{""name"":""\\* 1"",""count"":1}]",,reject_noise_candidate,숫자·기호 중심의 비성분 원문 후보
8,ing_pending_226664e29d99,2-Hexanediol,4089,4089,2.7100,10,2-Hexanediol (3793) | 2-hexanediol (187) | 2- Hexanediol (59) | 2 Hexanediol (27) | 2-HEXANEDIOL (15),"[{""name"":""2-Hexanediol"",""count"":3793},{""name"":""2-hexanediol"",""count"":187},{""name"":""2- Hexanediol"",""count"":59},{""name"":""2 Hexanediol"",""count"":27},{""name"":""2-HEXANEDIOL"",""count"":15},{""name"":""2 -- Hexanediol"",""count"":4},{""name"":""2:Hexanediol"",""count"":1},{""name"":""2‑Hexanediol"",""count"":1},{""name"":""2-Hexanediol\\"",""count"":1},{""name"":""2--Hexanediol"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
9,ing_pending_c4165f6b3f9c,Ci 77499/Iron Oxides,3951,3951,2.9019,13,Ci 77499/Iron Oxides (3708) | CI 77499 (Iron Oxides) (117) | Ci 77499 (Iron Oxides) (41) | CI 77499/Iron Oxides (22) | Ci 77499 / Iron Oxides (21),"[{""name"":""Ci 77499/Iron Oxides"",""count"":3708},{""name"":""CI 77499 (Iron Oxides)"",""count"":117},{""name"":""Ci 77499 (Iron Oxides)"",""count"":41},{""name"":""CI 77499/Iron Oxides"",""count"":22},{""name"":""Ci 77499 / Iron Oxides"",""count"":21},{""name"":""CI 77499 / Iron Oxides\\]"",""count"":15},{""name"":""Ci77499 / Iron Oxides"",""count"":10},{""name"":""ci 77499 (Iron Oxides)"",""count"":6},{""name"":""Ci 77499 (Iron Oxides)]"",""count"":5},{""name"":""Ci 77499 / Iron Oxides]"",""count"":2},{""name"":""Ci77499 (Iron Oxides)"",""count"":2},{""name"":""[+/- Ci 77499 (Iron Oxides)"",""count"":1},{""name"":""CI 77499 / Iron Oxides"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
10,ing_pending_80e77b1b8324,CI 77891 (Titanium Dioxide),3310,3310,3.0627,29,CI 77891 (Titanium Dioxide) (2878) | Ci 77891 (Titanium Dioxide) (138) | Ci 77891 / Titanium Dioxide (91) | Ci 77891/Titanium Dioxide (60) | CI 77891/Titanium Dioxide (37),"[{""name"":""CI 77891 (Titanium Dioxide)"",""count"":2878},{""name"":""Ci 77891 (Titanium Dioxide)"",""count"":138},{""name"":""Ci 77891 / Titanium Dioxide"",""count"":91},{""name"":""Ci 77891/Titanium Dioxide"",""count"":60},{""name"":""CI 77891/Titanium Dioxide"",""count"":37},{""name"":""CI 77891 / Titanium Dioxide"",""count"":35},{""name"":""Ci77891/Titanium Dioxide"",""count"":15},{""name"":""CI 77891/Titanium dioxide"",""count"":7},{""name"":""Ci 77891/ Titanium Dioxide"",""count"":6},{""name"":""ci 77891(Titanium Dioxide)"",""count"":6},{""name"":""Ci 77891 / Titaniumdioxide"",""count"":6},{""name"":""[+/- Ci 77891 (Titanium Dioxide)"",""count"":5},{""name"":""(Ci 77891) Titanium Dioxide"",""count"":4},{""name"":""CI 77891(Titanium Dioxide)"",""count"":2},{""name"":""CI 77891 (Titanium Dioxide).​"",""count"":2},{""name"":""CI 77891 (Titanium DIoxide)"",""count"":2},{""name"":""Ci77891/Titaniumdioxide"",""count"":2},{""name"":""Ci 77891 /Titanium Dioxide"",""count"":2},{""name"":""CI 77891 (TITANIUM DIOXIDE)"",""count"":2},{""name"":""Ci 77891 (titanium Dioxide)"",""count"":1},{""name"":""[+/ Ci77891 (Titanium Dioxide)"",""count"":1},{""name"":""CI 77891(titanium dioxide)"",""count"":1},{""name"":""Ci 77891 / Titanium Dioxide]"",""count"":1},{""name"":""[+/-: Ci 77891 (Titanium Dioxide)"",""count"":1},{""name"":""Ci 77891 Titanium Dioxide"",""count"":1},{""name"":""Ci 77891 (Titaniumdioxide)"",""count"":1},{""name"":""CI77891/Titanium Dioxide"",""count"":1},{""name"":""CI 77891 /Titanium Dioxide"",""count"":1},{""name"":""CI 77891 (titanium Dioxide)"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
