fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,"1,2-HEXANEDIOL","[""SKIN CONDITIONING"", ""SOLVENT""]",[],[],"[""54170""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,"2,3-BUTANEDIOL","[""FRAGRANCE"", ""HUMECTANT"", ""SKIN CONDITIONING"", ""SOLVENT""]",[],[],"[""54180""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2-METHYLRESORCINOL,"[""HAIR DYEING""]","[""III/243""]",[],"[""31503""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,3-O-ETHYL ASCORBIC ACID,"[""SKIN CONDITIONING""]",[],[],"[""89718""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,4-AMINO-2-HYDROXYTOLUENE,"[""HAIR DYEING""]","[""III/241""]",[],"[""31522""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,4-CHLORORESORCINOL,"[""HAIR DYEING""]","[""Annex III/199""]","[""Opinion on 4-Chlororesorcinol""]","[""31526""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,4-T-BUTYLCYCLOHEXANOL,"[""FRAGRANCE"", ""PERFUMING""]",[],[],"[""54220""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,4-TERPINEOL,"[""FRAGRANCE""]",[],[],"[""74121""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,7-DEHYDROCHOLESTEROL,"[""EMULSION STABILISING"", ""SKIN CONDITIONING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74131""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ABIES SIBIRICA OIL,"[""FRAGRANCE"", ""PERFUMING"", ""TONIC""]","[""III/106""]",[],"[""31550""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACACIA SENEGAL GUM,"[""FILM FORMING"", ""FRAGRANCE""]",[],[],"[""54244""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACACIA SEYAL GUM EXTRACT,"[""HUMECTANT""]",[],[],"[""82839""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACANTHOPANAX SENTICOSUS ROOT EXTRACT,"[""SKIN CONDITIONING"", ""SOOTHING""]",[],[],"[""54246""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACER SACCHARUM EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""54249""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETAMIDE MEA,"[""HAIR CONDITIONING"", ""HUMECTANT"", ""SKIN CONDITIONING"", ""SURFACTANT - CLEANSING"", ""SURFACTANT - FOAM BOOSTING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74145""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETAMIDOETHOXYETHANOL,"[""HUMECTANT""]",[],[],"[""94862""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETIC ACID,"[""BUFFERING"", ""FRAGRANCE""]",[],[],"[""31572""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL CEDRENE,"[""FRAGRANCE""]",[],[],"[""100214""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL CYSTEINE,"[""ANTIOXIDANT"", ""SKIN CONDITIONING""]",[],[],"[""73979""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL DIPEPTIDE-1 CETYL ESTER,"[""HAIR CONDITIONING"", ""SKIN CONDITIONING""]",[],[],"[""54130""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL GLUCOSAMINE,"[""SKIN CONDITIONING""]",[],[],"[""31576""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL GLUTAMINE,"[""SKIN CONDITIONING""]",[],[],"[""73982""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL HEPTAPEPTIDE-4,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""82187""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL HEXAPEPTIDE-1,"[""SKIN CONDITIONING""]",[],[],"[""54133""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL HEXAPEPTIDE-8,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""54135""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL OCTAPEPTIDE-3,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""82188""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TETRAPEPTIDE-11,"[""SKIN CONDITIONING""]",[],[],"[""84103""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TETRAPEPTIDE-2,"[""SKIN CONDITIONING""]",[],[],"[""54140""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TETRAPEPTIDE-3,"[""SKIN PROTECTING""]",[],[],"[""54141""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TETRAPEPTIDE-5,"[""HUMECTANT""]",[],[],"[""54142""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TETRAPEPTIDE-9,"[""SKIN CONDITIONING""]",[],[],"[""82737""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL TYROSINE,"[""SKIN CONDITIONING"", ""TANNING""]",[],[],"[""73992""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYLATED GLYCOL STEARATE,"[""EMULSION STABILISING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""73995""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACHILLEA MILLEFOLIUM EXTRACT,"[""ANTI-SEBORRHEIC"", ""CLEANSING"", ""FRAGRANCE"", ""REFRESHING"", ""SKIN CONDITIONING"", ""SOOTHING"", ""TONIC""]",[],[],"[""74009""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACHILLEA MILLEFOLIUM FLOWER EXTRACT,"[""ANTIOXIDANT"", ""HUMECTANT""]",[],[],"[""82268""]"
