fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,"1,2-HEXANEDIOL","[""SKIN CONDITIONING"", ""SOLVENT""]",[],[],"[""54170""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,3-O-ETHYL ASCORBIC ACID,"[""SKIN CONDITIONING""]",[],[],"[""89718""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACACIA SENEGAL GUM,"[""FILM FORMING"", ""FRAGRANCE""]",[],[],"[""54244""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETIC ACID,"[""BUFFERING"", ""FRAGRANCE""]",[],[],"[""31572""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL GLUCOSAMINE,"[""SKIN CONDITIONING""]",[],[],"[""31576""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACETYL HEXAPEPTIDE-8,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""54135""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES COPOLYMER,"[""ANTISTATIC"", ""BINDING"", ""FILM FORMING""]",[],[],"[""31648""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,"[""EMULSION STABILISING"", ""FILM FORMING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74162""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ADENOSINE,"[""SKIN CONDITIONING""]",[],[],"[""31367""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALANINE,"[""ANTISTATIC"", ""FRAGRANCE"", ""HAIR CONDITIONING"", ""SKIN CONDITIONING""]",[],[],"[""31395""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALCOHOL,"[""ANTIFOAMING"", ""ANTIMICROBIAL"", ""ASTRINGENT"", ""FRAGRANCE"", ""SOLVENT"", ""VISCOSITY CONTROLLING""]",[],[],"[""31401""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALCOHOL DENAT.,"[""ANTIFOAMING"", ""ANTIMICROBIAL"", ""ASTRINGENT"", ""FRAGRANCE"", ""SOLVENT"", ""VISCOSITY CONTROLLING""]",[],[],"[""74174""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALGAE EXTRACT,"[""FRAGRANCE"", ""HUMECTANT"", ""ORAL CARE"", ""SKIN CONDITIONING - EMOLLIENT"", ""SKIN CONDITIONING - MISCELLANEOUS""]",[],[],"[""54290""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALGIN,"[""BINDING"", ""FRAGRANCE"", ""VISCOSITY CONTROLLING""]",[],[],"[""74179""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALLANTOIN,"[""SKIN CONDITIONING"", ""SKIN PROTECTING"", ""SOOTHING""]",[],[],"[""31411""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS LEAF EXTRACT,"[""HUMECTANT"", ""ORAL CARE"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""54346""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS LEAF JUICE,"[""SKIN CONDITIONING""]",[],[],"[""54347""]"
