portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,current_runtime,current_effect_score,best_evidence_tier,best_relation_scope,best_applicability,best_pmid,signal_strength,score_basis,proposed_effect_score,scientific_evidence_score,runtime_score_eligible,counterfactual_score_eligible_after_review,score_exclusion_reason,review_status,activation_status
1,bisabolol,비사보롤,Bisabolol,effect_brightening,미백·톤,Y,58,,,,,current,existing_runtime_unchanged,58.00,,Y,N,,existing_runtime,active_existing
1,bisabolol,비사보롤,Bisabolol,effect_calming,진정,N,,2,abstract_exact,human_topical,19537379,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
2,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,effect_calming,진정,Y,52,,,,,current,existing_runtime_unchanged,52.00,,Y,N,,existing_runtime,active_existing
2,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,combination_or_formulation,28915283,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
3,glycerin,글리세린,Glycerin,effect_calming,진정,Y,40,,,,,current,existing_runtime_unchanged,40.00,,Y,N,,existing_runtime,active_existing
3,glycerin,글리세린,Glycerin,effect_exfoliation,각질,Y,30,,,,,current,existing_runtime_unchanged,30.00,,Y,N,,existing_runtime,active_existing
3,glycerin,글리세린,Glycerin,effect_moisture_barrier,보습·장벽,Y,72,,,,,current,existing_runtime_unchanged,72.00,,Y,N,,existing_runtime,active_existing
4,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_calming,진정,Y,38,,,,,current,existing_runtime_unchanged,38.00,,Y,N,,existing_runtime,active_existing
4,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_moisture_barrier,보습·장벽,Y,68,,,,,current,existing_runtime_unchanged,68.00,,Y,N,,existing_runtime,active_existing
4,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_wrinkle,주름·탄력,Y,42,,,,,current,existing_runtime_unchanged,42.00,,Y,N,,existing_runtime,active_existing
5,dimethicone,디메치콘,Dimethicone,effect_calming,진정,Y,33,,,,,current,existing_runtime_unchanged,33.00,,Y,N,,existing_runtime,active_existing
5,dimethicone,디메치콘,Dimethicone,effect_moisture_barrier,보습·장벽,Y,52,,,,,current,existing_runtime_unchanged,52.00,,Y,N,,existing_runtime,active_existing
6,panthenol,판테놀,Panthenol,effect_calming,진정,Y,55,,,,,current,existing_runtime_unchanged,55.00,,Y,N,,existing_runtime,active_existing
