ingredient_id,name_ko,name_en,effect_id,effect_name,search_query,raw_hit_count,matched_paper_count,best_paper_key,best_source,best_source_id,best_doi,best_title,best_evidence_tier,best_evidence_kind,best_relation_scope,best_effect_match_scope,best_applicability,best_signal_score,candidate_papers_json,search_status,review_status,score_change,search_version
2_3_butanediol,"2,3-부탄다이올","2,3-Butanediol",effect_moisture_barrier,보습·장벽,"(TITLE_ABS:""2,3-Butanediol"" OR TITLE_ABS:""2 3 butanediol"") AND (TITLE_ABS:""barrier function"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""dry skin"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""humectant"" OR TITLE_ABS:""hydration"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""moisture"" OR TITLE_ABS:""moisturising"" OR TITLE_ABS:""moisturizing"" OR TITLE_ABS:""occlusive"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""skin barrier"" OR TITLE_ABS:""skin water content"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""transepidermal water loss"" OR TITLE_ABS:""water loss"" OR TITLE_ABS:""xerosis"") AND NOT SRC:MED AND NOT SRC:PAT",11,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
acacia_seyal_gum_extract,시팀우드검추출물,Acacia Seyal Gum Extract,effect_moisture_barrier,보습·장벽,"(TITLE_ABS:""Acacia Seyal Gum Extract"") AND (TITLE_ABS:""barrier function"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""dry skin"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""humectant"" OR TITLE_ABS:""hydration"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""moisture"" OR TITLE_ABS:""moisturising"" OR TITLE_ABS:""moisturizing"" OR TITLE_ABS:""occlusive"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""skin barrier"" OR TITLE_ABS:""skin water content"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""transepidermal water loss"" OR TITLE_ABS:""water loss"" OR TITLE_ABS:""xerosis"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
acanthopanax_senticosus_eleuthero_root_extract,가시오갈피뿌리추출물,Acanthopanax Senticosus (Eleuthero) Root Extract,effect_calming,진정,"(TITLE_ABS:""Acanthopanax Senticosus (Eleuthero) Root Extract"" OR TITLE_ABS:""acanthopanax senticosus eleuthero root extract"") AND (TITLE_ABS:""anti-inflammatory"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""erythema"" OR TITLE_ABS:""inflammation"" OR TITLE_ABS:""irritation"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""pruritus"" OR TITLE_ABS:""redness"" OR TITLE_ABS:""sensitive skin"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""wound healing"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
acetamide_mea,아세타마이드엠이에이,Acetamide MEA,effect_moisture_barrier,보습·장벽,"(TITLE_ABS:""Acetamide MEA"") AND (TITLE_ABS:""barrier function"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""dry skin"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""humectant"" OR TITLE_ABS:""hydration"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""moisture"" OR TITLE_ABS:""moisturising"" OR TITLE_ABS:""moisturizing"" OR TITLE_ABS:""occlusive"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""skin barrier"" OR TITLE_ABS:""skin water content"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""transepidermal water loss"" OR TITLE_ABS:""water loss"" OR TITLE_ABS:""xerosis"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
acetamidoethoxyethanol,아세타미도에톡시에탄올,Acetamidoethoxyethanol,effect_moisture_barrier,보습·장벽,"(TITLE_ABS:""Acetamidoethoxyethanol"") AND (TITLE_ABS:""barrier function"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""dry skin"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""humectant"" OR TITLE_ABS:""hydration"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""moisture"" OR TITLE_ABS:""moisturising"" OR TITLE_ABS:""moisturizing"" OR TITLE_ABS:""occlusive"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""skin barrier"" OR TITLE_ABS:""skin water content"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""transepidermal water loss"" OR TITLE_ABS:""water loss"" OR TITLE_ABS:""xerosis"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
acetyl_heptapeptide_4,아세틸헵타펩타이드-4,Acetyl Heptapeptide-4,effect_moisture_barrier,보습·장벽,"(TITLE_ABS:""Acetyl Heptapeptide-4"" OR TITLE_ABS:""acetyl heptapeptide 4"") AND (TITLE_ABS:""barrier function"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""dry skin"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""humectant"" OR TITLE_ABS:""hydration"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""moisture"" OR TITLE_ABS:""moisturising"" OR TITLE_ABS:""moisturizing"" OR TITLE_ABS:""occlusive"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""skin barrier"" OR TITLE_ABS:""skin water content"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""transepidermal water loss"" OR TITLE_ABS:""water loss"" OR TITLE_ABS:""xerosis"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
acetyl_octapeptide_3,아세틸옥타펩타이드-3,Acetyl Octapeptide-3,effect_moisture_barrier,보습·장벽,"(TITLE_ABS:""Acetyl Octapeptide-3"" OR TITLE_ABS:""acetyl octapeptide 3"") AND (TITLE_ABS:""barrier function"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""dry skin"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""humectant"" OR TITLE_ABS:""hydration"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""moisture"" OR TITLE_ABS:""moisturising"" OR TITLE_ABS:""moisturizing"" OR TITLE_ABS:""occlusive"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""skin barrier"" OR TITLE_ABS:""skin water content"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""transepidermal water loss"" OR TITLE_ABS:""water loss"" OR TITLE_ABS:""xerosis"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
acetyl_tetrapeptide_5,아세틸테트라펩타이드-5,Acetyl Tetrapeptide-5,effect_moisture_barrier,보습·장벽,"(TITLE_ABS:""Acetyl Tetrapeptide-5"" OR TITLE_ABS:""acetyl tetrapeptide 5"") AND (TITLE_ABS:""barrier function"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""dry skin"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""humectant"" OR TITLE_ABS:""hydration"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""moisture"" OR TITLE_ABS:""moisturising"" OR TITLE_ABS:""moisturizing"" OR TITLE_ABS:""occlusive"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""skin barrier"" OR TITLE_ABS:""skin water content"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""transepidermal water loss"" OR TITLE_ABS:""water loss"" OR TITLE_ABS:""xerosis"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
achillea_millefolium_extract,서양톱풀추출물,Achillea Millefolium Extract,effect_acne_sebum,여드름·피지,"(TITLE_ABS:""Achillea Millefolium Extract"") AND (TITLE_ABS:""acne"" OR TITLE_ABS:""anti-inflammatory"" OR TITLE_ABS:""comedogenic"" OR TITLE_ABS:""comedone"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""cutibacterium acnes"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""erythema"" OR TITLE_ABS:""inflammation"" OR TITLE_ABS:""irritation"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""propionibacterium acnes"" OR TITLE_ABS:""pruritus"" OR TITLE_ABS:""redness"" OR TITLE_ABS:""sebaceous"" OR TITLE_ABS:""sebum"" OR TITLE_ABS:""sensitive skin"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""wound healing"") AND NOT SRC:MED AND NOT SRC:PAT",1,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
achillea_millefolium_extract,서양톱풀추출물,Achillea Millefolium Extract,effect_calming,진정,"(TITLE_ABS:""Achillea Millefolium Extract"") AND (TITLE_ABS:""acne"" OR TITLE_ABS:""anti-inflammatory"" OR TITLE_ABS:""comedogenic"" OR TITLE_ABS:""comedone"" OR TITLE_ABS:""corneocyte"" OR TITLE_ABS:""cosmetic"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""cutibacterium acnes"" OR TITLE_ABS:""dermal"" OR TITLE_ABS:""dermatitis"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""epidermal"" OR TITLE_ABS:""epidermis"" OR TITLE_ABS:""erythema"" OR TITLE_ABS:""inflammation"" OR TITLE_ABS:""irritation"" OR TITLE_ABS:""keratinocyte"" OR TITLE_ABS:""propionibacterium acnes"" OR TITLE_ABS:""pruritus"" OR TITLE_ABS:""redness"" OR TITLE_ABS:""sebaceous"" OR TITLE_ABS:""sebum"" OR TITLE_ABS:""sensitive skin"" OR TITLE_ABS:""skin"" OR TITLE_ABS:""stratum corneum"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""wound healing"") AND NOT SRC:MED AND NOT SRC:PAT",1,0,,,,,,,,,,,0,[],not_found,not_found,none,mwbl-missing-effect-europe-pmc-v1
