paper_key,pmid,doi,source,source_id,title,journal,publication_types,authors,abstract,source_url,retrieved_on
DOI:10.20944/preprints202106.0580.v1,,10.20944/preprints202106.0580.v1,EuropePMC:PPR,PPR360583,"A Face Serum Containing Bakuchiol, Palmitoyl Tripeptide-38, Hydrolyzed Hyaluronic Acid and a Polyherbal and Vitamin Blend Improves Skin Quality in Human Volunteers and Protects Skin Structure In vitro",,Preprint,,"A face serum composed of a combination of biologically active compounds was evaluated for safety and efficacy in vitro, in a repeat insult patch test and in a human clinical efficacy trial. The serum inhibited tyrosinase activity modestly, decreased collagenase activity and exhibited notable free radical scavenging activity in vitro. It is gentle to the skin, as the serum did not irritate the skin or produce symptoms of allergic contact dermatitis in the 55 healthy adults that participated in the repeat insult patch test. In the efficacy trial, daily application of the face serum for 30 days significantly increased skin hydration, with all 35 volunteers experiencing improvement. Substantial improvements in skin elasticity, roughness (fine lines and wrinkles), and brightness also occurred during the trial. Dermatological examination also revealed a trend for reduced comedone count with use of the serum. Self-assessment responses revealed that all volunteers experienced improvements in multiple skin quality parameters and that participant perceptions are consistent with the results of the instrumental analyses. These findings indicated that the measured improvements in skin quality are not only statistically significant but are also clinically relevant as they were great enough for users of the face serum to feel and recognize.",https://doi.org/10.20944/preprints202106.0580.v1,2026-07-12
PMID:10528074,10528074,10.1016/s0168-3659(99)00168-6,PubMed,10528074,Elasticity of vesicles affects hairless mouse skin structure and permeability.,Journal of controlled release : official journal of the Controlled Release Society,Comparative Study; Journal Article,B A van den Bergh; J A Bouwstra; H E Junginger; P W Wertz,"One of the possibilities for increasing the penetration rate of drugs through the skin is the use of vesicular systems. Currently, special attention is paid to the elastic properties of liquid-state vesicles, which are supposed to have superior properties compared to gel-state vesicles with respect to skin interactions. In this study, the effects of vesicles on hairless mouse skin, both in vivo and in vitro, were studied in relation to the composition of vesicles. The interactions of elastic vesicles containing the single chain surfactant octaoxyethylene laurate-ester (PEG-8-L) and sucrose laurate-ester (L-595) with hairless mouse skin were studied, in vivo, after non-occlusive application for 1, 3 and 6 h. The skin ultrastructure was examined by ruthenium tetroxide electron microscopy (TEM) and histology. The extent, to which vesicle constituents penetrated into the stratum corneum, was quantified by thin layer chromatography (TLC). The interactions of the elastic vesicles containing PEG-8-L and L-595 surfactants were compared with those observed after treatment with rigid vesicles containing the surfactant sucrose stearate-ester (Wasag-7). Furthermore, skin permeability experiments were carried out to investigate the effect of treatment with PEG-8-L micelles, elastic vesicles (containing PEG-8-L and L-595 surfactants) or rigid Wasag-7 vesicles on the 3H(2)O transport through hairless mouse skin, in vitro, after non-occlusive application. Treatment of hairless mouse skin with the elastic vesicles affected the ultrastructure of the stratum corneum: distinct regions with lamellar stacks derived from the vesicles were observed in intercellular spaces of the stratum corneum. These stacks disrupted the organization of skin bilayers leading to an increased skin permeability, whereas no changes in the ultrastructure of the underlying viable epidermis were observed. Treatment with rigid Wasag-7 vesicles did not affect the skin ultrastructure or skin permeability. TLC measurements showed that after 1 h of non-occlusive application of elastic or rigid vesicles, a six-fold increased amount of elastic vesicle material was present within the stratum corneum compared to rigid vesicle material. After 3 and 6 h of application the amount of PEG-8-L vesicle material in SC decreased to approximately three- and two-fold, respectively, compared to Wasag-7 vesicle material. Pretreatment of the hairless mouse skin with the elastic vesicles containing 70 mol% PEG-8-L increased the diffusion of 3H(2)O with an optimum application dose of 2.5 mg lipids/cm(2) compared to PBS pretreatment. No significant difference in the enhancement of the 3H(2)O-diffusion was observed between PEG-8-L micelles or elastic vesicles containing 30 or 70 mol% PEG-8-L. Pretreatment with the rigid Wasag-7 vesicles decreased the diffusion rate of 3H(2)O, most probably by the formation of a lipid layer on the skin surface. The effect of the elastic vesicles on the skin permeability is supported by the ultrastructural changes observed by TEM in the intercellular lipid domains. The elastic vesicles containing 70 mol% PEG-8-L disorganize the lipid bilayers thereby creating or modifying pathways for possible drug penetration.",https://pubmed.ncbi.nlm.nih.gov/10528074/,2026-07-12
PMID:11766132,11766132,10.1080/10915810152630738,PubMed,11766132,Final report on the safety assessment of Octyidodecyl Stearoyl Stearate.,International journal of toxicology,Journal Article; Review,R S Lanigan,"Octyldodecyl Stearoyl Stearate functions as an occlusive skin-conditioning agent and as a nonaqueous viscosity-increasing agent in many cosmetic formulations. Current concentrations of use are between 0.7% and 23%, although historically higher concentrations were used. The chemical is formed by a high-temperature, acid-catalyzed esterification reaction of long-chain alcohols (primarily C-20) and a mixture of primarily C-18 fatty acids. Levels of stearic acid, octyldodecanol, and octylydocecyl hydroxystearate in the final product are 5% or less--no other residual compounds are reported. Only limited safety test data were available on Octyldodecyl Stearoyl Stearate, but previous safety assessments of long-chain alcohols and fatty acids found these precursors to be safe for use in cosmetic formulations. Octyldodecyl Stearoyl Stearate produced no adverse effects in acute exposures in rats. The chemical was mostly nonirritating to animal skin at concentrations ranging from 7.5% to 10%; one study did find moderate irritation in rabbit skin at a concentration of 7.5%. Clinical tests at a concentration of 10.4% confirmed the absence of significant irritation in humans. An ocular toxicity study in rabbits found no toxicity. No evidence of genotoxicity was found in either a mammalian test system or in the Ames test system, with or without metabolic activation. The available data on Octyldodecyl Stearoyl Stearate and the previously considered data on long-chain alcohols and fatty acids, however, did not provide a sufficient basis to make a determination of safety. Additional data needs include (1) chemical properties, including the octanol/water partition coefficient; and (2) if there is significant dermal absorption or if significant quantities of the ingredient may contact mucous membranes or be ingested, then reproductive and developmental toxicity data may be needed. Until such time as these data are received, the available data do not support the safety of Octyldodecyl Stearoyl Stearate as used in cosmetic formulations.",https://pubmed.ncbi.nlm.nih.gov/11766132/,2026-07-12
PMID:11800049,11800049,10.1080/10915810152902556,PubMed,11800049,"Final report on the safety assessment of PEG-25 propylene glycol stearate, PEG-75 propylene glycol stearate, PEG-120 propylene glycol stearate, PEG-10 propylene glycol, PEG-8 propylene glycol cocoate, and PEG-55 propylene glycol oleate.",International journal of toxicology,Journal Article; Review,W Johnson; Cosmetic Ingredient Review Expert Panel,"The ingredients considered in this safety assessment are polyethylene glycol ethers of either propylene glycol itself, propylene glycol stearate, propylene glycol oleate, or propylene glycol cocoate. They function in cosmetic formulations as surfactant--cleansing agents; surfactant-solubilizing agents; surfactant--emulsifying agents; skin conditioning agents--humectant; skin-conditioning agents--emollient; and solvents. Those in current use are used in only a small number of cosmetic formulations. Some are not currently used. Polyethylene Glycol (PEG) Propylene Glycol Cocoates and PEG Propylene Glycol Oleates are produced by the esterification of polyoxyalkyl alcohols with lauric acid and oleic acid, respectively. Although there is no information available on the method of manufacture of the other polymers, information was available describing impurities, including ethylene oxide (maximum 1 ppm), 1,4-dioxane (maximum 5 ppm), polycyclic aromatic compounds (maximum 1 ppm), and heavy metals-lead, iron, cobalt, nickel, cadmium, and arsenic included (maximum 10 ppm combined). In an acute oral toxicity study, PEG-25 Propylene Glycol Stearate was not toxic. An antiperspirant product containing 2.0% PEG-25 Propylene Glycol Stearate was nonirritating to mildly irritating to the eyes of rabbits. This product was also practically nonirritating to the skin of rabbits in single-insult occlusive patch tests. In a guinea pig sensitization test, PEG-25 Propylene Glycol Stearate was classified as nonallergenic at challenge concentrations of 25% and 50% in petrolatum. PEG-25 Propylene Glycol Stearate and PEG-55 Propylene Glycol Oleate were negative in clinical patch tests. Based on the available data, it was concluded that these ingredients are safe as used (concentrations no greater than 10%) in cosmetic formulations. Based on evidence of sensitization and nephrotoxicity in burn patients treated with a PEG-based antimicrobial preparation, the ingredients included in this review should not be used on damaged skin.",https://pubmed.ncbi.nlm.nih.gov/11800049/,2026-07-12
PMID:11800053,11800053,,PubMed,11800053,"Final report on the safety assessment of trilaurin, triarachidin, tribehenin, tricaprin, tricaprylin, trierucin, triheptanoin, triheptylundecanoin, triisononanoin, triisopalmitin, triisostearin, trilinolein, trimyristin, trioctanoin, triolein, tripalmitin, tripalmitolein, triricinolein, tristearin, triundecanoin, glyceryl triacetyl hydroxystearate, glyceryl triacetyl ricinoleate, and glyceryl stearate diacetate.",International journal of toxicology,Journal Article; Review,W Johnson; Cosmetic Ingredient Review Expert Panel,"Triesters of glycerin and aliphatic acids, known generically as glyceryl triesters and specifically as Trilaurin, etc., are used in cosmetic products as occlusive skin-conditioning agents and/or nonaqueous viscosity-increasing agents. Hundreds of glyceryl triesters are used in a wide variety of cosmetic products at concentrations ranging from a few tenths of a percent to 46%. Glyceryl triesters are also known as triglycerides; ingested triglycerides are metabolized to monoglycerides, free fatty acids, and glycerol, all of which are absorbed in the intestinal mucosa and undergo further metabolism. Dermal absorption of Triolein in mice was nil; the oil remained at the application site. Only slight absorption was seen in guinea pig skin. Tricaprylin and other glyceryl triesters have been shown to increase the skin penetration of drugs. Little or no acute, subchronic, or chronic oral toxicity was seen in animal studies unless levels approached a significant percentage of caloric intake. Subcutaneous injections of Tricaprylin in rats over a period of 5 weeks caused a granulomatous reaction characterized by oil deposits surrounded by macrophages. Dermal application was not associated with significant irritation in rabbit skin. Ocular exposures were, at most, mildly irritating to rabbit eyes. No evidence of sensitization or photosensitization was seen in a guinea pig maximization test. Most of the genotoxicity test systems were negative. Tricaprylin, Trioctanoin, and Triolein have historically been used as vehicles in carcinogenicity testing of other chemicals. In one study, subcutaneous injection of Tricaprylin in newborn mice produced more tumors in lymphoid tissue than were seen in untreated animals, whereas neither subcutaneous or intraperitoneal injection in 4- to 6-week-old female mice produced any tumors in another study. Trioctanoin injected subcutaneously in hamsters produced no tumors. Trioctanoin injected intraperitoneally in pregnant rats was associated with an increase in mammary tumors in the offspring compared to that seen in offspring of untreated animals, but similar studies in pregnant hamsters and rabbits showed no tumors in the offspring. One study of Triolein injected subcutaneously in rats showed no tumors at the injection site. As part of an effort to evaluate vehicles used in carcinogenicity studies, the National Toxicology Program conducted a 2-year carcinogenicity study in rats given Tricaprylin by gavage. This treatment was associated with a statistically significant dose-related increase in pancreatic acinar cell hyperplasia and adenoma, but there were no acinar carcinomas, the incidence of mononuclear leukemia was less, and nephropathy findings were reduced, all compared to corn oil controls. Overall, the study concluded that Tricaprylin did not offer significant advantages over corn oil as vehicles in carcinogenicity studies. Trilaurin was found to inhibit the formation of neoplasms initiated by dimethylbenzanthracene (DMBA) and promoted by croton oil. Tricaprylin was not teratogenic in mice or rats, but some reproductive effects were seen in rabbits. A low level of fetal eye abnormalities and a small percentage of abnormal sperm were reported in mice injected with Trioctanoin as a vehicle control. Clinical tests of Trilaurin at 36.3% in a commercial product applied to the skin produced no irritation reactions. Trilaurin, Tristearin, and Tribehenin at 40%, 1.68%, and 0.38%, respectively, in commercial products were also negative in repeated-insult patch tests. Tristearin at 0.32% in a commercial product induced transient, mild to moderate, ocular irritation after instillation into the eyes of human subjects. Based on the enhancement of penetration of other chemicals by skin treatment with glyceryl triesters, it is recommended that care be exercised in using them in cosmetic products. On the basis of the available data, the following 23 glyceryl triesters are considered safe as used in cosmetics: Trilaurin, Triarachidin, Tribehenin, Tricaprin, Tricaprylin, Trierucin, Triheptanoin, Triheptylundecanoin, Triisononanoin, Triisopalmitin, Triisostearin, Trilinolein, Trimyristin, Trioctanoin, Triolein, Tripalmitin, Tripalmitolein, Triricinolein, Tristearin, Triundecanoin, Glyceryl Triacetyl Hydroxystearate, Glyceryl Triacetyl Ricinoleate, and Glyceryl Stearate Diacetate. Some of these are not currently in use, but would be considered safe if used at concentrations similar to those glyceryl triesters that are in use as cosmetic ingredients.",https://pubmed.ncbi.nlm.nih.gov/11800053/,2026-07-12
PMID:17090481,17090481,10.1080/10915810600964642,PubMed,17090481,Final report on the safety assessment of Triethylene Glycol and PEG-4.,International journal of toxicology,Journal Article; Review,,"Triethylene Glycol and PEG-4 (polyethylene glycol) are polymers of ethylene oxide alcohol. Triethylene Glycol is a specific three-unit chain, whereas PEG-4 is a polymer with an average of four units, but may contain polymers ranging from two to eight ethylene oxide units. In the same manner, other PEG compounds, e.g., PEG-6, are mixtures and likely contain some Triethylene Glycol and PEG-4. Triethylene Glycol is a fragrance ingredient and viscosity decreasing agent in cosmetic formulations, with a maximum concentration of use of 0.08% in skin-cleansing products. Following oral doses, Triethylene Glycol and its metabolites are excreted primarily in urine, with small amounts released in feces and expired air. With oral LD50 values in rodents from 15 to 22 g/kg, this compound has little acute toxicity. Rats given short term oral doses of 3% in water showed no signs of toxicity, whereas all rats given 10% died by the 12th day of exposure. At levels up to 1 g/m3, rats exposed to aerosolized Triethylene Glycol for 6 h per day for 9 days showed no signs of toxicity. Rats fed a diet containing 4% Triethylene Glycol for 2 years showed no signs of toxicity. There were no treatment-related effects on rats exposed to supersaturated Triethylene Glycol vapor for 13 months nor in rats that consumed 0.533 cc Triethylene Glycol per day in drinking water for 13 months. Triethylene Glycol was not irritating to the skin of rabbits and produced only minimal injury to the eye. In reproductive and developmental toxicity studies in rats and mice, Triethylene Glycol did not produce biologically significant embryotoxicity or teratogenicity. However, some maternal toxicity was seen in dams given 10 ml/kg/day during gestation. Triethylene Glycol was not mutagenic or genotoxic in Ames-type assays, the Chinese hamster ovary mutation assay, and the sister chromatid exchange assays. PEG-4 is a humectant and solvent in cosmetic products, with a maximum concentration of use of 20% in the ""other manicuring preparations"" product category. This ingredient, with an oral LD50 in rats of 32.77 g/kg, has low acute toxicity. Rats given up to 50,000 ppm PEG-4 in drinking water for 5 days showed no permanent signs of toxicity. Rats given daily oral doses up to 2 g/kg/day of PEG-4 for 33 days showed no signs of toxicity. Undiluted PEG-4 produced only minimal injury to the rabbit eye. PEG-4 was not mutagenic in Ames-type assays, did not induce chromosome aberration in an in vivo bone marrow assay, and was negative for genotoxicity in a dominant lethal assay using rats. Other PEG compounds, which have previously been reviewed by the Cosmetic Ingredient Review (CIR) Expert Panel, e.g., PEG-6, are mixtures that likely include Triethylene Glycol and PEG-4, so these data were also considered. PEG-6 and PEG-8 were not dermal irritants in several rabbit studies. PEG-2 Stearate had a potential for slight irritation in rabbits but was not a sensitizer in guinea pigs. PEG-2 Cocamine was a moderate irritant in rabbits, producing severe erythema. In one dermal study, PEG-2 Cocamine was determined to be corrosive to rabbit skin, causing eschar and necrosis. PEG-6 and PEG-8 caused little to no ocular irritation. PEG-8 was not mutagenic or genotoxic in a Chinese hamster ovary assay, a sister-chromatid exchange assay, and in an unscheduled DNA synthesis assay. In clinical studies on normal skin, PEG-6 and PEG-8 caused mild cases of immediate hypersensitivity; PEG-8 was not a sensitizer; PEG-2 Stearate was not an irritant, a sensitizer, or a photosensitizer; and PEG-6 Stearate was not an irritant or sensitizer. In damaged skin, cases of systemic toxicity and contact dermatitis in burn patients were attributed to a PEG-based topical ointment. The CIR Expert Panel acknowledged the lack of dermal sensitization data for Triethylene Glycol and dermal irritation and sensitization data for PEG-4. That PEG-6, PEG-8, and PEG-2 Stearate were not irritants or sensitizers suggested that Triethylene Glycol and PEG-4 also would not be irritants or sensitizers, and the absence of any reported reactions in the case literature and the professional experience of the Expert Panel further supported the absence of any significant sensitization potential. The need for additional data to demonstrate the safety of PEGs Cocamine was related to the Cocamine moiety and is not relevant here. The Panel reminded formulators of cosmetic products that, as with other PEG compounds, Triethylene Glycol and PEG-4 should not be used on damaged skin because of cases of systemic toxicity and contact dermatitis in burn patients have been attributed to a PEG-based topical ointment. Based on its consideration of the available information, the CIR Expert Panel concluded that Triethylene Glycol and PEG-4 are safe as cosmetic ingredients in the present practices and concentrations of use as described in this safety assessment.",https://pubmed.ncbi.nlm.nih.gov/17090481/,2026-07-12
PMID:21771099,21771099,10.1111/j.1600-0625.2011.01336.x,PubMed,21771099,Hydrating effect of potassium lactate is caused by increasing the interaction between water molecules and the serine residue of the stratum corneum protein.,Experimental dermatology,Journal Article,Noriaki Nakagawa; Satoru Naito; Masafumi Yakumaru; Shingo Sakai,"Natural moisturizing factors (NMFs) play an important role in maintaining the physical properties of the stratum corneum (SC). The relationship between SC water content and NMFs has long been investigated. Recently, we demonstrated that potassium lactate as an NMF increased SC water content more than sodium lactate did. The details of the moisturizing mechanism of NMFs, however, were not revealed. We, therefore, investigated the cause of the SC moisturizing effect of potassium lactate in comparison with sodium lactate. Using differential scanning calorimetry, we found that potassium lactate increased the bound water content of plantar SC more than what sodium lactate did. We also found, however, that the bound water content of the potassium lactate solution was less than that of the sodium lactate solution, suggesting that potassium lactate increased the water molecules interacting with SC components. Moreover, potassium lactate increased the ratio of hydrogen/deuterium exchange at 1340/cm, which represents the OH bending mode, of plantar SC spectra obtained by the attenuated total reflectance infrared spectroscopy. We assign this band to the OH group of the serine residue. These results suggest that potassium lactate increases the water-holding capacity of the SC by increasing interaction between water molecules and the OH group of serine in SC keratin.",https://pubmed.ncbi.nlm.nih.gov/21771099/,2026-07-12
PMID:22061305,22061305,10.1016/s0309-1740(96)00108-8,PubMed,22061305,Sodium lactate and protective culture effects on quality characteristics and shelf-life of low-fat frankfurters produced with olive oil.,Meat science,Journal Article,J G Bloukas; E D Paneras; G C Fournitzis,"Low-fat frankfurters (9% fat, 13% protein) were produced with olive oil and four levels of sodium lactate (0, 1, 2, 3%). The level of sodium lactate affected (p < 0.05) moisture and ash content, processing yield, skin strength and saltiness of low-fat frankfurters. Sodium lactate at 2% level appeared to be more beneficial for the production of low-fat frankfurters with olive oil. It had the highest score for flavour intensity and did not negatively affect skin strength, lextural and sensory properties or the colour of frankfurters. Low-fat frankfurters (9% fat, 13% protein) with olive oil, produced with 0% and 2% sodium lactate (SL) and protective culture (PC) and stored under vacuum at 4 °C, were compared with high-fat frankfurters (27% all animal fat, 11% protein). Low-fat frankfurters with olive oil had higher (p < 0.05) moisture and lower (p < 0.05) brine concentration than high-fat frankfurters. PC extended shelf-life of low-fat frankfurters with olive oil from 3 to 4 weeks. 2% SL kept the pH of frankfurters almost constant and extended shelf-life up to 6 weeks compared with 3 and 4 weeks shelf-life for low-fat and high-fat control frankfurters, respectively.",https://pubmed.ncbi.nlm.nih.gov/22061305/,2026-07-12
PMID:22464763,22464763,10.1016/j.jdermsci.2012.02.011,PubMed,22464763,Decreased lactate and potassium levels in natural moisturizing factor from the stratum corneum of mild atopic dermatitis patients are involved with the reduced hydration state.,Journal of dermatological science,Journal Article,Tomoko Sugawara; Katsuko Kikuchi; Hachiro Tagami; Sestuya Aiba; Shingo Sakai,"BACKGROUND: Atopic dermatitis (AD) shows dry skin. Water-soluble, low molecular weight components, collectively known as natural moisturizing factor (NMF), play an important role in maintaining the stratum corneum (SC) hydration. Previous studies focused on reduced levels of free amino acids (FAAs) in NMF from AD skin. It remains unknown, however, whether other NMF components are also altered in AD. OBJECTIVE: To characterize the levels of various NMF components in the SC of healthy subjects and in mild AD adult patients. METHODS: NMF components were extracted from three sequential tape-stripped SC samples obtained from the volar forearm. NMF components which were decreased in AD skin were topically applied to examine their contribution to SC moisturization in AD skin. RESULTS: We found that although FAAs levels were not remarkably reduced, levels of pyrrolidone carboxylic acid (PCA), lactate, urea, sodium and potassium were significantly decreased in NMF from mild AD skin. Among those components, only the topical application of potassium lactate effectively increased skin surface hydration indicating that reductions of lactate and potassium influence dry skin in mild AD patients. Unlike the distribution of filaggrin-derived FAAs and PCA, lactate, urea, potassium and sodium were abundant in the surface layer of the SC compared with the inner layer of the SC. Such findings strongly suggest that those components are supplied from outside the SC, i.e. they originate from sweat. CONCLUSION: The reduced levels of sweat-derived NMF components in mild AD patients suggests that impaired sweat function might in part result in the SC dryness.",https://pubmed.ncbi.nlm.nih.gov/22464763/,2026-07-12
PMID:29731432,29731432,,PubMed,29731432,Investigation of the effects of Achillea millefolium extract in diabetic rats with second-degree burns.,Pakistan journal of pharmaceutical sciences,Journal Article,Tulay Diken Allahverdi; Ertugrul Allahverdi; Pınar Aksu Kilicle; Hasan Ozen,"Our aim was to investigate the effects of Achillea millefolium on wound healing in second-degree burns formed in diabetic rats. This study was conducted at the Kafkas University Experimental Research Center. 20 Sprague Dawley rats were divided into 2 groups. Group I (n=10 rats) was the Control group and contained the diabetic rats with burn injury. Group II (n=10 rats) was the group where burn injury was created and Achillea millefolium was administered to diabetic rats. The backs of the rats were shaved so as to include 30% of the body area. A 10% lanolin extract was administered for 14 days after the burn injury was created. Tissue was obtained from the burn area of the rats sacrificed. No significant difference was found in Group II in terms of the severity of the dermatitis and inflammatory cell reactions when compared to Group I. No significant difference was observed between FGFR1immunoreactivity in the epidermis and dermis in Group I. While FGFR1immunoreactivity in 3 rats in Group II was similar to Group I, strong immunore activity that was more prominent in the epidermis was found in 7 rats in Group II. We believe that Achillea millefolium contributes to wound healing in burn injury due to its antioxidant and anti-inflammatory properties.",https://pubmed.ncbi.nlm.nih.gov/29731432/,2026-07-12
