portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,product_count,selection_policy,signal_strength,signal_functions,best_evidence_tier,best_signal_score,best_relation_scope,best_applicability,best_pmid,best_title,screening_status,review_status,score_change
1,bisabolol,비사보롤,Bisabolol,effect_brightening,미백·톤,2108,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
1,bisabolol,비사보롤,Bisabolol,effect_calming,진정,2108,direct_cosing_signal,high,SOOTHING,2,90,abstract_exact,human_topical,19537379,Treatment of pruritus in mild-to-moderate atopic dermatitis with a topical non-steroidal agent.,evidence_tier_2,candidate_unverified,none
2,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,effect_calming,진정,2637,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
2,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,effect_moisture_barrier,보습·장벽,2637,human_topical_pubmed_required,high,HUMECTANT,2,58,abstract_exact,combination_or_formulation,28915283,Clinical Evaluation of a Multi-Modal Facial Serum That Addresses Hyaluronic Acid Levels in Skin.,evidence_tier_2,candidate_unverified,none
3,glycerin,글리세린,Glycerin,effect_calming,진정,38427,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
3,glycerin,글리세린,Glycerin,effect_exfoliation,각질,38427,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
3,glycerin,글리세린,Glycerin,effect_moisture_barrier,보습·장벽,38427,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
4,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_calming,진정,16824,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
4,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_moisture_barrier,보습·장벽,16824,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
4,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_wrinkle,주름·탄력,16824,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
5,dimethicone,디메치콘,Dimethicone,effect_calming,진정,16684,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
5,dimethicone,디메치콘,Dimethicone,effect_moisture_barrier,보습·장벽,16684,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
6,panthenol,판테놀,Panthenol,effect_calming,진정,12738,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
6,panthenol,판테놀,Panthenol,effect_moisture_barrier,보습·장벽,12738,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
7,niacinamide,나이아신아마이드,Niacinamide,effect_acne_sebum,여드름·피지,10393,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
7,niacinamide,나이아신아마이드,Niacinamide,effect_brightening,미백·톤,10393,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
7,niacinamide,나이아신아마이드,Niacinamide,effect_calming,진정,10393,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
7,niacinamide,나이아신아마이드,Niacinamide,effect_moisture_barrier,보습·장벽,10393,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
7,niacinamide,나이아신아마이드,Niacinamide,effect_wrinkle,주름·탄력,10393,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
8,squalane,스쿠알란,Squalane,effect_moisture_barrier,보습·장벽,7887,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
9,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,effect_calming,진정,7056,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
9,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,effect_moisture_barrier,보습·장벽,7056,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
10,allantoin,알란토인,Allantoin,effect_calming,진정,5914,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
10,allantoin,알란토인,Allantoin,effect_moisture_barrier,보습·장벽,5914,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
11,adenosine,아데노신,Adenosine,effect_wrinkle,주름·탄력,5774,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
12,aha,AHA,Alpha Hydroxy Acids,effect_exfoliation,각질,5270,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
12,aha,AHA,Alpha Hydroxy Acids,effect_moisture_barrier,보습·장벽,5270,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
12,aha,AHA,Alpha Hydroxy Acids,effect_wrinkle,주름·탄력,5270,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
13,salicylic_acid_bha,살리실산/BHA,Salicylic Acid / BHA,effect_acne_sebum,여드름·피지,3956,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
13,salicylic_acid_bha,살리실산/BHA,Salicylic Acid / BHA,effect_exfoliation,각질,3956,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
14,peptides,펩타이드,Peptides,effect_wrinkle,주름·탄력,3343,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
15,green_tea,녹차,Green Tea,effect_acne_sebum,여드름·피지,3296,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
15,green_tea,녹차,Green Tea,effect_calming,진정,3296,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
15,green_tea,녹차,Green Tea,effect_wrinkle,주름·탄력,3296,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
16,ceramides,세라마이드,Ceramides,effect_calming,진정,3270,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
16,ceramides,세라마이드,Ceramides,effect_moisture_barrier,보습·장벽,3270,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
17,ascorbic_acid,비타민C,Ascorbic Acid,effect_brightening,미백·톤,2627,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
17,ascorbic_acid,비타민C,Ascorbic Acid,effect_wrinkle,주름·탄력,2627,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
18,beta_glucan,베타-글루칸,Beta-Glucan,effect_moisture_barrier,보습·장벽,1920,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
19,phytosphingosine,피토스핑고신,Phytosphingosine,effect_acne_sebum,여드름·피지,1863,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
19,phytosphingosine,피토스핑고신,Phytosphingosine,effect_moisture_barrier,보습·장벽,1863,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
20,madecassoside,마데카소사이드,Madecassoside,effect_calming,진정,1855,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
20,madecassoside,마데카소사이드,Madecassoside,effect_moisture_barrier,보습·장벽,1855,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
20,madecassoside,마데카소사이드,Madecassoside,effect_wrinkle,주름·탄력,1855,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
21,pha,PHA,Polyhydroxy Acids,effect_calming,진정,1801,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
21,pha,PHA,Polyhydroxy Acids,effect_exfoliation,각질,1801,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
21,pha,PHA,Polyhydroxy Acids,effect_moisture_barrier,보습·장벽,1801,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
21,pha,PHA,Polyhydroxy Acids,effect_wrinkle,주름·탄력,1801,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
22,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_calming,진정,1678,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
22,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_moisture_barrier,보습·장벽,1678,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
22,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_wrinkle,주름·탄력,1678,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
23,urea,유레아,Urea,effect_calming,진정,1257,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
23,urea,유레아,Urea,effect_exfoliation,각질,1257,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
23,urea,유레아,Urea,effect_moisture_barrier,보습·장벽,1257,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
24,glutathione,글루타티온,Glutathione,effect_brightening,미백·톤,1081,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
25,retinol,레티놀,Retinol,effect_acne_sebum,여드름·피지,1027,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
25,retinol,레티놀,Retinol,effect_brightening,미백·톤,1027,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
25,retinol,레티놀,Retinol,effect_exfoliation,각질,1027,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
25,retinol,레티놀,Retinol,effect_wrinkle,주름·탄력,1027,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
26,zinc_pca,징크PCA,Zinc PCA,effect_acne_sebum,여드름·피지,772,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
26,zinc_pca,징크PCA,Zinc PCA,effect_moisture_barrier,보습·장벽,772,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
27,licorice_extract,감초추출물,Licorice Extract,effect_brightening,미백·톤,720,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
27,licorice_extract,감초추출물,Licorice Extract,effect_calming,진정,720,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
28,petrolatum_mineral_oil,페트롤라툼/미네랄오일,Petrolatum / Mineral Oil,effect_calming,진정,607,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
28,petrolatum_mineral_oil,페트롤라툼/미네랄오일,Petrolatum / Mineral Oil,effect_moisture_barrier,보습·장벽,607,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
29,tranexamic_acid,트라넥사믹애씨드,Tranexamic Acid,effect_brightening,미백·톤,436,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
30,colloidal_oatmeal,콜로이달오트밀,Colloidal Oatmeal,effect_calming,진정,270,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
30,colloidal_oatmeal,콜로이달오트밀,Colloidal Oatmeal,effect_moisture_barrier,보습·장벽,270,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
31,arbutin,알부틴,Arbutin,effect_brightening,미백·톤,251,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
32,retinal,레티날,Retinal,effect_brightening,미백·톤,192,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
32,retinal,레티날,Retinal,effect_exfoliation,각질,192,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
32,retinal,레티날,Retinal,effect_wrinkle,주름·탄력,192,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
33,kojic_acid,코직애씨드,Kojic Acid,effect_brightening,미백·톤,87,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
