ingredient_rank,ingredient_id,name_ko,name_en,product_count,sources_searched,sources_not_searched,raw_candidate_count,deduplicated_paper_count,representative_paper_count,primary_status,all_statuses,conflicting_evidence,candidate_effect_ids,new_effect_candidates,representative_paper_keys,full_text_gate,status_scope,review_status,runtime_score_change,policy_version
2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,pubmed|europe_pmc|crossref,openalex|kci|riss,80,73,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:35075174|PMID:27168163|PMID:36061480,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
3,butylene_glycol,부틸렌글라이콜,Butylene Glycol,26098,pubmed|europe_pmc|crossref,openalex|kci|riss,79,69,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:41625414|PMID:38885151|PMID:25182293,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
4,tocopherol,토코페롤,Tocopherol,25877,pubmed|europe_pmc|crossref,openalex|kci|riss,100,94,3,formulation_only,formulation_only|reject_wrong_scope,N,,wound_healing,PMID:36431167|DOI:10.20944/preprints202501.0285.v1|PMID:40642809,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
5,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,pubmed|europe_pmc|crossref,openalex|kci|riss,45,39,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:26876063|PMID:16759740|PMID:30548758,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
6,citric_acid,시트릭애씨드,Citric Acid,21835,pubmed|europe_pmc|crossref,openalex|kci|riss,98,92,3,formulation_only,formulation_only|reject_wrong_scope,N,,,PMID:28426572|DOI:10.47607/ijresm.2020.334|PMID:40636028,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
7,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,21124,pubmed|europe_pmc|crossref,openalex|kci|riss,41,34,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:42380076|PMID:38330048|DOI:10.1016/j.ijpharm.2019.118847,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
10,limonene,리모넨,Limonene,16657,pubmed|europe_pmc|crossref,openalex|kci|riss,100,94,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:34482547|PMID:39085322|PMID:36398898,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
11,linalool,리날룰,Linalool,16306,pubmed|europe_pmc|crossref,openalex|kci|riss,98,92,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:34482547|DOI:10.21203/rs.3.rs-1844440/v1|PMID:36678818,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
12,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,14591,pubmed|europe_pmc|crossref,openalex|kci|riss,76,68,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:35183744|PMID:35811489|DOI:10.25251/skin.6.4.8,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
13,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,14077,pubmed|europe_pmc|crossref,openalex|kci|riss,61,52,3,formulation_only,formulation_only|reject_wrong_scope,N,,,PMID:24969737|PMID:10680936|PMID:33656744,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
14,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,pubmed|europe_pmc|crossref,openalex|kci|riss,50,45,3,formulation_only,formulation_only|reject_wrong_scope,N,,,PMID:19514921|PMID:11301638|PMID:35509819,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
15,disodium_edta,다이소듐이디티에이,Disodium EDTA,13862,pubmed|europe_pmc|crossref,openalex|kci|riss,44,33,3,formulation_only,formulation_only|reject_wrong_scope,N,,,PMID:27374468|PMID:1609432|PMID:39046669,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
16,xanthan_gum,잔탄검,Xanthan Gum,13776,pubmed|europe_pmc|crossref,openalex|kci|riss,90,75,3,formulation_only,formulation_only|reject_wrong_scope,N,,,PMID:36835541|PMID:29020654|TITLE:xanthan gum hydrogel wound dressing enhances wound healing in a rat excisional injury model,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
17,tocopheryl_acetate,토코페릴아세테이트,Tocopheryl Acetate,13298,pubmed|europe_pmc|crossref,openalex|kci|riss,77,72,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:17121065|PMID:15238098|PMID:11479655,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
18,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13261,pubmed|europe_pmc|crossref,openalex|kci|riss,52,46,3,abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:27131753|PMID:37109405|PMID:35025234,not_applicable,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
