ingredient_id,paper_key,report_id,outcome_result_id,outcome_id_status,outcome_rank,study_id,comparison_id,pmid,doi,section,page_table_figure,evidence_span,arm_ids,ingredient_outcome_relation,effect_mapping_status,effect_id,mapped_effect_ids,raw_new_effect_candidate,new_effect_candidate,raw_outcome_name,outcome_concept_id,positive_direction,instrument,model,channel,parameter,unit,estimate_direction,outcome_direction,study_design,contrast_type,eligible_contrast,p_or_ci_in_span,p_value_operator,p_value,ci_low,ci_high,alpha,n_analyzed_by_arm,paired_analysis,multiplicity_adjusted,analysis_population,pre_post_comparison,objective_or_validated_measure,statistical_gate_status,statistical_support,statistical_conclusion,equivalence_supported,safety_signal,hedge_flag,hedge_span,explicit_result_available,intervention_arm,comparator_arm,timepoint,estimate,effect_estimate,estimate_type,estimate_unit,eligibility_status,verification_status,applicability_status,score_status,machine_signal_status,full_text_status,review_status,runtime_score_change,manifest_version,manifest_sha256,ingredient_dictionary_sha256,outcome_dictionary_sha256,direction_dictionary_sha256,policy_version
phenoxyethanol,PMID:27168163,PMID:27168163,outcome:d55f5ab9e8d0d43288d01e95,provisional_abstract,1,not_clustered,not_extracted,27168163,10.1111/ics.12340,not_extracted,not_extracted,Inhibition of TRPV1 prevented skin irritancy induced by phenoxyethanol. A preliminary in vitro and in vivo study.,not_extracted,direct,unmapped_outcome,not_applicable,,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,not_applicable,controlled_trial,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,formulation_not_isolated,abstract_only,not_applicable,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
phenoxyethanol,PMID:27168163,PMID:27168163,outcome:902bcb9f8083a5a598f073b9,provisional_abstract,2,not_clustered,not_extracted,27168163,10.1111/ics.12340,not_extracted,not_extracted,Our experiments demonstrated that phenoxyethanol induces skin misperception and uncomfortable skin sensations like itching and burning comparable to capsaicin via activating TRPV1.,not_extracted,contextual_mention,unmapped_outcome,not_applicable,,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,not_applicable,controlled_trial,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,formulation_not_isolated,abstract_only,not_applicable,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
butylene_glycol,PMID:39741562,PMID:39741562,outcome:6c2f6d61e09524ec01d10f35,provisional_abstract,1,not_clustered,not_extracted,39741562,10.1155/drp/3586393,not_extracted,not_extracted,"The addition of anti-inflammatory ingredients in the moisturizer, namely, shea butter, bacterial lysate, allantoin, bisabolol, Phragmites kharka extract, Poria cocos, and Mirabilis jalapa in a moisturizer containing occlusive (dimethicone), humectants (glycerin, saccharide, butylene glycol, and hyaluronic acid), and emollient (shea butter and squalane) was shown to be significantly better in improving skin hydration in patients with mild to moderate AD.",not_extracted,formulation_limited,unmapped_outcome,not_applicable,effect_moisture_barrier,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,positive,not_applicable,controlled_trial,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,Y,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,formulation_not_isolated,abstract_only,not_applicable,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
citric_acid,PMID:25922903,PMID:25922903,outcome:9fc0dbfed9ed4d03dc835067,provisional_abstract,1,not_clustered,not_extracted,25922903,10.1001/jamadermatol.2015.0381,not_extracted,not_extracted,"Evaluation of the Efficacy, Safety, and Tolerability of 3 Dose Regimens of Topical Sodium Nitrite With Citric Acid in Patients With Anogenital Warts",not_extracted,direct,unmapped_outcome,not_applicable,,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,not_applicable,controlled_trial,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,eligible,abstract_only,medical_context_limited,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
limonene,PMID:39085322,PMID:39085322,outcome:59fe4caa43202fe401bc971e,provisional_abstract,1,not_clustered,not_extracted,39085322,10.1038/s41598-024-65979-1,not_extracted,not_extracted,"Skin permeation of the mixture was enhanced with 15% dimethylsulfoxide (DMSO), 1% limonene, and rosemary oil.",not_extracted,formulation_limited,unmapped_outcome,not_applicable,,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,not_applicable,controlled_trial,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,formulation_not_isolated,abstract_only,not_applicable,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
tocopheryl_acetate,PMID:15238098,PMID:15238098,outcome:2f75f19a56fe26e631e274bb,provisional_abstract,1,not_clustered,not_extracted,15238098,10.1111/j.1600-0781.2004.00103.x,not_extracted,not_extracted,"In our randomized, double-blind, placebo-controlled clinical study, we compared the efficacy of a new topical formulation, consisting of 0.25%alpha-glucosylrutin (AGR) (a natural, modified flavonoid), 1% tocopheryl acetate (vitamin E) and a broad-spectrum, highly UVA-protective sunscreen (SPF 15) in a hydrodispersion gel vehicle, to a sunscreen-only gel and vehicle.",not_extracted,direct,unmapped_outcome,not_applicable,,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,not_applicable,controlled_trial,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,formulation_not_isolated,abstract_only,not_applicable,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
caprylic_capric_triglyceride,PMID:37109405,PMID:37109405,outcome:45de6f5def9a16a38d113123,provisional_abstract,1,not_clustered,not_extracted,37109405,10.3390/life13040876,not_extracted,not_extracted,"The in vivo tests corroborated with the UCA data obtained ex vivo, since we found an increase in the superficial skin hydration with respective reduction of the TEWL, probably occurring by the occlusion performed by the emollient emulsion containing 15.0% w/w of caprylic/capric triglyceride.",not_extracted,contextual_mention,unmapped_outcome,not_applicable,effect_moisture_barrier,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,not_applicable,observational_or_nonrandomized,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,Y,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,formulation_not_isolated,abstract_only,not_applicable,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
propanediol,PMID:34771112,PMID:34771112,outcome:9232f8b2a7b7b8274af4ecb9,provisional_abstract,1,not_clustered,not_extracted,34771112,10.3390/molecules26216704,not_extracted,not_extracted,Propanediol (and) Caprylic Acid (and) Xylitol as a New Single Topical Active Ingredient against Acne: In Vitro and In Vivo Efficacy Assays,not_extracted,formulation_limited,unmapped_outcome,not_applicable,,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,not_applicable,observational_or_nonrandomized,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,eligible,abstract_only,medical_context_limited,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
sodium_chloride,DOI:10.1159/000056331,DOI:10.1159/000056331,outcome:bef732a3bdd469328004cf33,provisional_abstract,1,not_clustered,not_extracted,,10.1159/000056331,not_extracted,not_extracted,Do Urea and Sodium Chloride together Increase the Efficacy of Moisturisers for Atopic Dermatitis Skin?,not_extracted,direct,unmapped_outcome,not_applicable,,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,not_applicable,controlled_trial,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,not_applicable_not_direct_mapped_outcome,N,not_supported_or_not_extracted,not_extracted,not_extracted,N,,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,formulation_not_isolated,abstract_only,not_applicable,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
sodium_chloride,DOI:10.1159/000056331,DOI:10.1159/000056331,outcome:589847edda7bfa7b6e8cb21b,provisional_abstract,2,not_clustered,not_extracted,,10.1159/000056331,not_extracted,not_extracted,"Our findings suggest that a moisturiser containing both urea and sodium chloride seems somewhat more effective than the same moisturiser without sodium chloride, at least concerning the ability to reverse impedance indices of atopic skin towards normal, an effect ascribed mainly to changes in hydration of the stratum corneum.",not_extracted,direct,mapped_existing,effect_moisture_barrier,effect_moisture_barrier,,,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unclear,unclear,controlled_trial,not_extracted,N,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,N,N,failed_missing_eligible_contrast,N,not_supported_or_not_extracted,not_extracted,not_extracted,Y,suggest,N,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unknown,unknown,formulation_not_isolated,abstract_only,not_applicable,not_scoreable,abstract_insufficient,not_checked,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
