ingredient_id,paper_key,pmid,doi,title,journal,publication_date,publication_types,sources,evidence_tier,evidence_kind,relation_scope,applicability,primary_status,all_statuses,mapped_effect_ids,new_effect_candidates,directions,statistical_support,correction_flag,full_text_status,evidence_spans,status_scope,review_status,runtime_score_change,policy_version
phenoxyethanol,PMID:35075174,35075174,10.1038/s41598-022-05351-3,Investigation of actual exposure to facial sheet mask preceding its risk assessment.,Scientific reports,2022-01-24,Journal Article; Randomized Controlled Trial,pubmed,2,human_topical_rct,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
phenoxyethanol,PMID:27168163,27168163,10.1111/ics.12340,Inhibition of TRPV1 prevented skin irritancy induced by phenoxyethanol. A preliminary in vitro and in vivo study.,International journal of cosmetic science,2016-06-28,Journal Article; Randomized Controlled Trial,pubmed,2,human_topical_rct,title_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,Inhibition of TRPV1 prevented skin irritancy induced by phenoxyethanol. A preliminary in vitro and in vivo study. || Our experiments demonstrated that phenoxyethanol induces skin misperception and uncomfortable skin sensations like itching and burning comparable to capsaicin via activating TRPV1.,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
phenoxyethanol,PMID:36061480,36061480,,Effects of Cosmetic Preservatives on Healthy Facial Skin Microflora.,The Journal of clinical and aesthetic dermatology,2022-Aug,Journal Article,pubmed,4,human_topical_observational_or_use_test,unconfirmed,human_topical,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
butylene_glycol,PMID:41625414,41625414,10.1159/000550279,Topical Cetirizine in Androgenetic Alopecia: A Preliminary Study.,Skin appendage disorders,2025-12-31,Journal Article,pubmed,2,human_topical_rct,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
butylene_glycol,PMID:38885151,38885151,10.1089/derm.2024.0092,Allergic Contact Dermatitis to Topical Preparations Containing Minoxidil: A Systematic Review and Individual Participant Data Meta-Analysis.,"Dermatitis : contact, atopic, occupational, drug",2024-06-17,Journal Article; Systematic Review; Meta-Analysis,pubmed,1,human_topical_systematic_review,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
butylene_glycol,PMID:25182293,25182293,10.1111/1346-8138.12603,"Case of allergic contact dermatitis due to 1,3-butylene glycol.",The Journal of dermatology,2014-Sep,Case Reports; Journal Article,pubmed,4,human_topical_observational_or_use_test,title_exact,human_topical,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
tocopherol,PMID:36431167,36431167,10.3390/jcm11226690,"Combining Topical and Oral Botanicals for Skin Redness, Pigmentation, Sleep, and Mood: A Randomized Controlled Study.",Journal of clinical medicine,2022-11-11,Journal Article,pubmed,2,human_topical_rct,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
tocopherol,DOI:10.20944/preprints202501.0285.v1,,10.20944/preprints202501.0285.v1,Efficacy of Tocopherol vs Chlorhexidine in the Management of Oral Biopsy Site: A Randomized Clinical Trial,,2025-01-08,Preprint,europe_pmc,2,human_topical_rct,title_exact,route_mismatch,reject_wrong_scope,reject_wrong_scope,,wound_healing,,N,N,not_checked,This randomized clinical trial aimed to compare the efficacy of topical tocopherol acetate and 0.2% chlorhexidine in managing postoperative pain and wound healing following oral cavity biopsies.,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
tocopherol,PMID:40642809,40642809,10.1111/jocd.70306,"Application of Antioxidant Mixture Prevents Cutaneous ""Oxinflammaging"" in Subjects Exposed to Particulate Matter.",Journal of cosmetic dermatology,2025-Jul,Journal Article; Randomized Controlled Trial,pubmed,2,human_topical_rct,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
ethylhexylglycerin,PMID:26876063,26876063,10.1111/cod.12546,"Ethylhexylglycerin: a low-risk, but highly relevant, sensitizer in 'hypo-allergenic' cosmetics.",Contact dermatitis,2016-02-15,Journal Article,pubmed,4,human_topical_observational_or_use_test,title_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
