ingredient_id,paper_key,report_id,study_id,pmid,doi,title,journal,publication_date,publication_types,sources,retrieval_status,evidence_tier,evidence_kind,study_design,design,randomized,controlled,within_person,comparator_type,prospective,design_source_span,risk_of_bias_overall,relation_scope,raw_ingredient_term,entity_match_type,intervention_role,ingredient_match_span,ingredient_reject_reason,applicability,eligibility_status,verification_status,applicability_status,route,body_site,skin_condition,population_type,challenge_model,application_regimen,effect_mapping_status,outcome_direction,score_status,machine_signal_status,primary_status,all_statuses,all_machine_signal_statuses,mapped_effect_ids,new_effect_candidates,directions,statistical_support,preprint_flag,case_report_flag,safety_only_flag,medical_context_limited,experimental_challenge_limited,route_site_mismatch,formulation_isolation_status,test_arm_components,control_arm_components,target_concentration_by_arm,cointerventions_equal,isolation_status,isolation_evidence_span,correction_flag,retraction_flag,expression_of_concern_flag,duplicate_trial_status,retraction_status,validity_checked_at,validity_source,correction_id,correction_impact,funding,conflict_of_interest,full_text_status,evidence_spans,status_scope,review_status,runtime_score_change,manifest_version,manifest_sha256,ingredient_dictionary_sha256,outcome_dictionary_sha256,direction_dictionary_sha256,policy_version
phenoxyethanol,PMID:17553593,PMID:17553593,not_clustered,17553593,10.1016/j.jaad.2007.04.016,"Contact dermatitis of the hands: cross-sectional analyses of North American Contact Dermatitis Group Data, 1994-2004.",Journal of the American Academy of Dermatology,2007-06-05,"Journal Article|Research Support, N.I.H., Extramural",pubmed,retrieved_from_legacy_search_inputs,4,human_topical_observational_or_use_test,observational_or_nonrandomized,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,abstract_exact,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,,human_topical,eligible,abstract_only,medical_context_limited,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,abstract_insufficient,abstract_insufficient,,,,N,N,N,N,Y,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
phenoxyethanol,PMID:27168163,PMID:27168163,not_clustered,27168163,10.1111/ics.12340,Inhibition of TRPV1 prevented skin irritancy induced by phenoxyethanol. A preliminary in vitro and in vivo study.,International journal of cosmetic science,2016-06-28,Journal Article|Randomized Controlled Trial,pubmed,retrieved_from_legacy_search_inputs,3,human_topical_clinical,controlled_trial,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,title_exact,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,,combination_or_formulation,formulation_not_isolated,abstract_only,not_applicable,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unmapped_outcome,not_applicable,not_scoreable,formulation_only,formulation_only,formulation_only,formulation_only,,,,N,N,N,N,N,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,Inhibition of TRPV1 prevented skin irritancy induced by phenoxyethanol. A preliminary in vitro and in vivo study. || Our experiments demonstrated that phenoxyethanol induces skin misperception and uncomfortable skin sensations like itching and burning comparable to capsaicin via activating TRPV1.,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
phenoxyethanol,DOI:10.1159/000211162,DOI:10.1159/000211162,not_clustered,,10.1159/000211162,Embryotoxicity and Teratogenicity of Topical Retinoic Acid,Skin Pharmacology,2009-03-31,journal-article,crossref,retrieved_from_legacy_search_inputs,6,animal,case_report,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,unconfirmed,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,wrong_ingredient,mechanistic,wrong_ingredient,abstract_only,safety_only,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_mapped,not_applicable,not_scoreable,safety_only,reject_wrong_scope,reject_wrong_scope,safety_only,,,,N,N,Y,Y,N,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
butylene_glycol,PMID:41625414,PMID:41625414,not_clustered,41625414,10.1159/000550279,Topical Cetirizine in Androgenetic Alopecia: A Preliminary Study.,Skin appendage disorders,2025-12-31,Journal Article,pubmed,retrieved_from_legacy_search_inputs,2,human_topical_rct,controlled_trial,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,abstract_exact,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,,human_topical,eligible,abstract_only,general_skin,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,abstract_insufficient,abstract_insufficient,,,,N,N,N,N,N,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
butylene_glycol,PMID:39741562,PMID:39741562,not_clustered,39741562,10.1155/drp/3586393,The Role of Moisturizer Containing Anti-inflammatory on Skin Hydration in Mild-Moderate Atopic Dermatitis Patients.,Dermatology research and practice,2024-12-23,Journal Article,pubmed,retrieved_from_legacy_search_inputs,3,human_topical_clinical,controlled_trial,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,abstract_exact,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,,combination_or_formulation,formulation_not_isolated,abstract_only,not_applicable,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,unmapped_outcome,not_applicable,not_scoreable,formulation_only,formulation_only,formulation_only,formulation_only,,,,N,N,N,N,Y,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,"The addition of anti-inflammatory ingredients in the moisturizer, namely, shea butter, bacterial lysate, allantoin, bisabolol, Phragmites kharka extract, Poria cocos, and Mirabilis jalapa in a moisturizer containing occlusive (dimethicone), humectants (glycerin, saccharide, butylene glycol, and hyaluronic acid), and emollient (shea butter and squalane) was shown to be significantly better in improving skin hydration in patients with mild to moderate AD.",machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
butylene_glycol,PMID:25182293,PMID:25182293,not_clustered,25182293,10.1111/1346-8138.12603,"Case of allergic contact dermatitis due to 1,3-butylene glycol.",The Journal of dermatology,2014-Sep,Case Reports|Journal Article,openalex|pubmed,retrieved_from_legacy_search_inputs,4,human_topical_observational_or_use_test,case_report,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,title_exact,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,wrong_ingredient,human_topical,wrong_ingredient,abstract_only,safety_only,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_mapped,not_applicable,not_scoreable,safety_only,reject_wrong_scope,reject_wrong_scope,safety_only,,,,N,N,Y,Y,Y,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
tocopherol,PMID:8221479,PMID:8221479,not_clustered,8221479,,Why don't we use vitamin E in dermatology?,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,1993-Nov-01,Journal Article|Review,pubmed,retrieved_from_legacy_search_inputs,3,human_topical_clinical,controlled_trial,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,abstract_exact,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,,human_topical,eligible,abstract_only,medical_context_limited,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,abstract_insufficient,abstract_insufficient,,,,N,N,N,N,Y,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
tocopherol,PMID:18494887,PMID:18494887,not_clustered,18494887,10.1046/j.1467-2494.2002.00159.x,Role of topical and nutritional supplement to modify the oxidative stress *,International Journal of Cosmetic Science,2002-12-01,article,openalex,retrieved_from_legacy_search_inputs,2,human_topical_rct,controlled_trial,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,abstract_exact,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,,combination_or_formulation,formulation_not_isolated,abstract_only,not_applicable,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_mapped,not_applicable,not_scoreable,formulation_only,formulation_only,formulation_only,formulation_only,,,,N,N,N,N,N,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
tocopherol,DOI:10.1159/000211162,DOI:10.1159/000211162,not_clustered,,10.1159/000211162,Embryotoxicity and Teratogenicity of Topical Retinoic Acid,Skin Pharmacology,2009-03-31,journal-article,crossref,retrieved_from_legacy_search_inputs,6,animal,case_report,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,unconfirmed,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,wrong_ingredient,mechanistic,wrong_ingredient,abstract_only,safety_only,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_mapped,not_applicable,not_scoreable,safety_only,reject_wrong_scope,reject_wrong_scope,safety_only,,,,N,N,Y,Y,N,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
ethylhexylglycerin,PMID:26876063,PMID:26876063,not_clustered,26876063,10.1111/cod.12546,"Ethylhexylglycerin: a low-risk, but highly relevant, sensitizer in 'hypo-allergenic' cosmetics.",Contact dermatitis,2016-02-15,Journal Article,pubmed,retrieved_from_legacy_search_inputs,4,human_topical_observational_or_use_test,observational_or_nonrandomized,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_checked,title_exact,not_extracted,machine_name_match_unverified,not_extracted,not_extracted,,human_topical,eligible,abstract_only,medical_context_limited,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_extracted,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,abstract_insufficient,abstract_insufficient,,,,N,N,N,N,Y,N,N,not_checked,not_extracted,not_extracted,not_extracted,not_checked,not_checked,not_extracted,N,N,N,not_checked,not_checked,not_checked,not_checked,not_extracted,not_applicable,not_extracted,not_extracted,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
