source,ingredient_id,name_en,search_query,raw_hit_count,returned_count,request_status,error_message,pipeline_version
crossref,1_2_hexanediol,"1,2-Hexanediol","""1,2-Hexanediol"" skin topical",439884,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,3_o_ethyl_ascorbic_acid,3-O-Ethyl Ascorbic Acid,"""3-O-Ethyl Ascorbic Acid"" skin topical",1698450,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,acacia_senegal_gum,Acacia Senegal Gum,"""Acacia Senegal Gum"" skin topical",492447,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,acetic_acid,Acetic Acid,"""Acetic Acid"" skin topical",1641935,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,acetyl_glucosamine,Acetyl Glucosamine,"""Acetyl Glucosamine"" skin topical",475119,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,acetyl_hexapeptide_8,Acetyl Hexapeptide-8,"""Acetyl Hexapeptide-8"" skin topical",471433,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,acrylates_c10_30_alkyl_acrylate_crosspolymer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"""acrylates c10 30 alkyl acrylate crosspolymer"" skin topical",2697832,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,adenosine,Adenosine,"""Adenosine"" skin topical",493153,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,aha,Alpha Hydroxy Acids,"""Alpha Hydroxy Acids"" skin topical",1055503,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,alanine,Alanine,"""Alanine"" skin topical",457054,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,alcohol,Alcohol,"""Alcohol"" skin topical",717475,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,alcohol_denat,Alcohol Denat.,"""Alcohol Denat."" skin topical",718086,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,algae_extract,Algae Extract,"""Algae Extract"" skin topical",677146,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,algin,Algin,"""Algin"" skin topical",440065,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,allantoin,Allantoin,"""Allantoin"" skin topical",440174,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,aloe_barbadensis_leaf_extract,Aloe Barbadensis Leaf Extract,"""Aloe Barbadensis Leaf Extract"" skin topical",799579,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,aloe_barbadensis_leaf_juice,Aloe Barbadensis Leaf Juice,"""Aloe Barbadensis Leaf Juice"" skin topical",657476,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,aloe_barbadensis_leaf_juice_powder,Aloe Barbadensis Leaf Juice Powder,"""Aloe Barbadensis Leaf Juice Powder"" skin topical",882109,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,alpha_isomethyl_ionone,Alpha-Isomethyl Ionone,"""Alpha-Isomethyl Ionone"" skin topical",615831,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,alumina,Alumina,"""Alumina"" skin topical",496352,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,aluminum_hydroxide,Aluminum Hydroxide,"""Aluminum Hydroxide"" skin topical",649583,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,aluminum_starch_octenylsuccinate,Aluminum Starch Octenylsuccinate,"""Aluminum Starch Octenylsuccinate"" skin topical",692641,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,aminomethyl_propanol,Aminomethyl Propanol,"""Aminomethyl Propanol"" skin topical",449836,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ammonium_polyacryloyldimethyl_taurate,Ammonium Polyacryloyldimethyl Taurate,"""Ammonium Polyacryloyldimethyl Taurate"" skin topical",497908,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,amodimethicone,Amodimethicone,"""Amodimethicone"" skin topical",439402,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,amyl_cinnamal,Amyl Cinnamal,"""Amyl Cinnamal"" skin topical",440975,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,anhydroxylitol,Anhydroxylitol,"""Anhydroxylitol"" skin topical",439406,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,arachidyl_alcohol,Arachidyl Alcohol,"""Arachidyl Alcohol"" skin topical",717488,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,argania_spinosa_kernel_oil,Argania Spinosa Kernel Oil,"""Argania Spinosa Kernel Oil"" skin topical",1144704,25,ok,,mwbl-ingredient-multisource-discovery-v1
