source,ingredient_id,name_en,search_query,raw_hit_count,returned_count,request_status,error_message,pipeline_version
europe_pmc,1_2_hexanediol,"1,2-Hexanediol","(TITLE_ABS:""1,2-Hexanediol"" OR TITLE_ABS:""1 2 hexanediol"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",1,1,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,3_o_ethyl_ascorbic_acid,3-O-Ethyl Ascorbic Acid,"(TITLE_ABS:""3-O-Ethyl Ascorbic Acid"" OR TITLE_ABS:""3 o ethyl ascorbic acid"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",1,1,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,acacia_senegal_gum,Acacia Senegal Gum,"(TITLE_ABS:""Acacia Senegal Gum"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,acetic_acid,Acetic Acid,"(TITLE_ABS:""Acetic Acid"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",109,25,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,acetyl_glucosamine,Acetyl Glucosamine,"(TITLE_ABS:""Acetyl Glucosamine"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",2,2,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,acetyl_hexapeptide_8,Acetyl Hexapeptide-8,"(TITLE_ABS:""Acetyl Hexapeptide-8"" OR TITLE_ABS:""acetyl hexapeptide 8"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,acrylates_c10_30_alkyl_acrylate_crosspolymer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"(TITLE_ABS:""Acrylates/C10-30 Alkyl Acrylate Crosspolymer"" OR TITLE_ABS:""acrylates c10 30 alkyl acrylate crosspolymer"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,acrylates_copolymer,Acrylates Copolymer,"(TITLE_ABS:""Acrylates Copolymer"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,adenosine,Adenosine,"(TITLE_ABS:""Adenosine"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",61,25,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,aha,Alpha Hydroxy Acids,"(TITLE_ABS:""Alpha Hydroxy Acids"" OR TITLE_ABS:""Alpha Hydroxy Acid"" OR TITLE_ABS:""Alpha-Hydroxy Acid"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",1,1,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,alanine,Alanine,"(TITLE_ABS:""Alanine"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",85,25,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,alcohol,Alcohol,"() AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,alcohol_denat,Alcohol Denat.,"(TITLE_ABS:""Alcohol Denat."" OR TITLE_ABS:""alcohol denat"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,algae_extract,Algae Extract,"(TITLE_ABS:""Algae Extract"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,ok,,mwbl-ingredient-multisource-discovery-v1
europe_pmc,algin,Algin,"(TITLE_ABS:""Algin"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"" OR TITLE_ABS:""cutaneous"" OR TITLE_ABS:""dermatology"" OR TITLE_ABS:""cosmetic"") AND NOT SRC:MED AND NOT SRC:PAT",0,0,ok,,mwbl-ingredient-multisource-discovery-v1
