source,ingredient_id,name_ko,name_en,product_count,source_id,pmid,pmcid,doi,title,journal,publication_date,publication_types,authors,abstract,source_url,search_query,review_status,runtime_score_change,pipeline_version
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W1968726553,23895342,,10.3109/01676830.2013.812124,Demodex Folliculitis Presenting as Periocular Vesiculopustular Rash,Orbit,2013-07-29,article,Samuel Yun; Flora Levin; Javier Servat,"PURPOSE: To report an unusual case of Demodex folliculitis presenting as periocular vesiculopustular rash. DESIGN: Case report. RESULTS: A 68 year-old woman presented with a unilateral periocular rash that was initially treated by her primary ophthalmologist with topical steroids and antivirals. Slit-lamp examination revealed severe bilateral blepharitis, right greater than left, with waxy sleeves around the eyelashes. The diagnosis of Demodex infestation was considered. Treatment with daily lid scrub with polyhexamethylene biguanide (PHMB), 1,2-hexanediol and 1,2-octanediol (OCuSOFT PLUS) and erythromycin ointment twice a day resulted in complete resolution of the symptoms after 4 weeks. CONCLUSIONS: Ophthalmologists should be aware of Demodex and consider it in the differential diagnosis of periocular skin lesions.",https://openalex.org/W1968726553,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2014378406,12526827,,10.1016/s0168-3659(02)00416-9,Influence of ion pairing on topical delivery of retinoic acid from microemulsions,Journal of Controlled Release,2003-01-01,article,Michele Trotta; Elena Ugazio; Elena Peira; Caterina Pulitano,,https://openalex.org/W2014378406,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2030180459,,,10.4236/jcdsa.2011.13012,A Dead Sea Water-Enriched Body Cream Improves Skin Severity Scores in Children with Atopic Dermatitis,Journal of Cosmetics Dermatological Sciences and Applications,2011-01-01,article,Meital Portugal‐Cohen; Miriam Oron; Efrat Merrik; Ze’evi Ma’or; Dan Ben‐Amitai; Hagai Yogev; Alex Zvulunov,"Dead Sea (DS) mud and water are known for their unique composition of minerals, and for their therapeutic properties on inflammatory skin diseases. The objective of the study was to evaluate the efficacy of an emollient cream enriched with DS water in children with atopic dermatitis (AD). Eighty six AD children were randomized in a double-blind controlled study to receive twice-daily topical treatment with a body cream enriched with DS minerals (TP) compared to two types of control: 1) DM, DS minerals with lower DS water concentrations than TP, and 2) an emollient (E) with no DS minerals. Efficacy was assessed by a change in clinical skin severity scores: SCORing Atopic Dermatitis (SCORAD), investigator’s global assessment (IGA) and patient global assessment (PGA) as well as by objective physiological parameters: transepidermal water loss (TEWL), stratum corneum hydration (SCH), affected body surface area (BSA) and Objective Severity Assessment of Atopic Dermatitis (OSAAD). The total length of the trial was 12 weeks divided to 6 visits at weeks 0, 2, 4, 6, 8, 12. The study showed that both TP and DM creams improved OSAAD scores. Only TP improved TEWL and SCH. TP was the most effective regarding TEWL, SCH and OSAAD compared to DM and E. Treatment with E decreased more significantly IGA score compared to TP. Although within each treatment group significant improvements in SCH, BSA, SCORAD, IGA and PGA were observed, the reduction in BSA, SCORAD and PGA was not significantly different among the groups. Our results clearly show the benefits of TP as a leave on-skin emulsion enrich with DS water in terms of skin barrier function. Thus, TP can serve as an effective adjuvant treatment for AD skin as well as for its maintenance.",https://openalex.org/W2030180459,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2041332288,23456759,,10.1007/s40268-013-0004-x,Acceptability and Efficacy of an Emollient Containing Ceramide-Precursor Lipids and Moisturizing Factors for Atopic Dermatitis in Pediatric Patients,Drugs in R&D,2013-03-01,article,Kam‐Lun Ellis Hon; Nga Hin Pong; Shuxin Susan Wang; Vivian Lee; N. M. Luk; Ting Fan Leung,"BACKGROUND: Atopic eczema or dermatitis (AD) is associated with atopy and is characterized by reduced skin hydration and an impaired skin barrier in the epidermis. We investigated the patient acceptability and efficacy of an emollient containing ceramide-precursor lipids and moisturizing factors (LMF) in AD. METHODS: Consecutive AD patients were recruited. Swabs and cultures were obtained from the right antecubital fossa and the worst-affected eczematous area, and disease severity [according to the SCORing Atopic Dermatitis (SCORAD) Index], skin hydration, and transepidermal water loss (TEWL) were measured prior to and after 2 weeks' use of the LMF moisturizer. The general acceptability of treatment was documented as being 'very good', 'good', 'fair', or 'poor'. RESULTS: Twenty-four AD patients [mean age 13.8 (standard deviation 5.7) years] were recruited. Two thirds of the patients reported very good or good acceptability of the LMF moisturizer, whereas one third reported fair or poor acceptability. There were no inter-group differences in the pre-use clinical parameters of age, objective SCORAD score, pruritus score, sleep disturbance score, skin hydration, TEWL, topical corticosteroid use, oral antihistamine use, or acceptability of previously used proprietary emollients. However, patients in the fair/poor acceptability group were more likely to have Staphylococcus aureus colonization and to be female (odds ratio 13, 95 % confidence interval 1.7-99.4; p = 0.021). Following use of the LMF moisturizer, the objective SCORAD score, pruritus score, and sleep disturbance score were lower in the very good/good acceptability group than in the fair/poor acceptability group. The mean objective SCORAD score improved (from 31.5 to 25.7; p = 0.039) and skin hydration improved [from 30.7 arbitrary units (a.u.) to 36.0 a.u.; p = 0.021] in the very good/good acceptability group. When the data were analyzed for the strength of the agreement of the rating of acceptability, the κ values were 0.338 (fair) for use of body wash and 0.118 (poor) for use of emollients before and after the trial. CONCLUSION: The LMF moisturizer was considered acceptable by two thirds of the patients with AD. It seems that patients who found the moisturizer acceptable were less likely to be female or to be colonized by S. aureus before switching to the product, and they had less severe eczema, less pruritus, and less sleep disturbance after its use than patients who did not find the product acceptable. Gender and S. aureus colonization may have influenced the patient acceptability and clinical efficacy of the LMF moisturizer. The lack of agreement with regard to the acceptability of the moisturizer implies that there is room for parent/patient education to improve compliance.",https://openalex.org/W2041332288,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2047354537,,,10.1007/s11051-014-2505-0,"Development of ketoconazole nanovesicular system using 1,2-hexanediol and 1,4-cyclohexanediol for dermal targeting delivery: physicochemical characterization and in vitro/in vivo evaluation",Journal of Nanoparticle Research,2014-06-30,article,Jinping Wang; Fang Guo; Man Ma; Nan Li; Fengping Tan,,https://openalex.org/W2047354537,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2059261587,21669264,,10.1016/j.ijpharm.2011.05.069,"Synergistic effect of 1,4-cyclohexanediol and 1,2-hexanediol on percutaneous absorption and penetration of metronidazole",International Journal of Pharmaceutics,2011-06-13,article,Nan Li; Weibu Jia; Yan Zhang; Fengping Tan; Jerry Zhang,,https://openalex.org/W2059261587,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2166556144,21585401,,10.1111/j.1468-2494.2011.00646.x,"The influence of alkane chain length on the skin irritation potential of 1,2-alkanediols",International Journal of Cosmetic Science,2011-05-17,article,Eunyoung Lee; Susun An; S.-A. Cho; Yujuan Yun; Juhee Han; Yoon Kyun Hwang; H. K. Kim; Tae Ryong Lee,"Several studies have reported that 1,2-alkanediols show increasing anti-microbial activity as their alkane chain length increases. However, there are no reports on the influence of alkane chain length on the skin irritation potential of 1,2-alkanediols. To investigate the influence of alkane chain length on the skin irritation potential of 1,2-alkanediols. The objective and subjective (sensory) skin irritation potentials of five 1,2-alkanediols - 1,2-butanediol, 1,2-pentanediol, 1,2-hexanediol, 1,2-octanediol and 1,2-decanediol - were evaluated. We also estimated percutaneous absorption by measuring in vitro skin penetration using a Franz diffusion cell system. Like anti-microbial activity, sensory irritation potential increased as alkane chain length increased, most likely due to increasing membrane interference and/or intrinsic toxicity of 1,2-alkanediols. 1,2-Hexanediol showed the lowest objective skin irritation potential, which increased when the alkane chain length decreased or increased. Furthermore, percutaneous absorption negatively correlated with the alkane chain length of 1,2-alkanediols. These results show that a lower skin absorption potential is not indicative of a low skin irritation potential. Our results suggest that the factors and processes involved in skin irritation potential are complex and that skin irritation potential is influenced by intrinsic toxicity and the potential for penetration or integration in the lipid bilayer.",https://openalex.org/W2166556144,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2314840981,24329579,,10.3109/10717544.2013.869276,"Topical skin targeting effect of penetration modifiers on hairless mouse skin, pig abdominal skin and pig ear skin",Drug Delivery,2013-12-13,article,Meng Yu; Fang Guo; Ying Ling; Nan Li; Fengping Tan,"Objective: This study was to investigate the topical skin targeting effects and mechanism of combination penetration modifiers of 1,2-hexanediol (or 1,2-heptanediol) and 1,4-cyclohexanediol on transdermal absorption of metronidazole (MTZ) in different skin models.Methods: Six formulations were applied to pig abdominal skin and pig ear skin models, respectively, and the results were compared with the previous data on hairless mouse skin worked out by our laboratory. Four parameters (flux, Tlag, Q24 and targeting ratio) were used to evaluate permeability and targeting effect in skin.Results: The combined penetration modifiers played a general role on decreasing permeability without reducing skin retention. The most significant skin permeability decrement to MTZ was pig abdominal skin (permeability decrement was ∼20% for hairless mouse skin, 60% for pig abdominal skin and 40% for pig ear skin, respectively) while the strongest skin targeting effect appeared in hairless mouse skin (targeting ratios were 1.79 for hairless mouse skin, 1.24 for pig abdominal skin and 1.05 for pig ear skin, respectively) under the role of penetration modifiers.Conclusions: Thickness of stratum corneum (SC) was the major factor impact on skin targeting effect. Selection criteria of skin models also have been discussed in this study.",https://openalex.org/W2314840981,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2924037301,30893873,,10.3390/pharmaceutics11030131,Design and Characterization of a New Quercus Suber-Based Pickering Emulsion for Topical Application,Pharmaceutics,2019-03-19,article,Catarina Carriço; Pedro Contreiras Pinto; Angélica Graça; Lídia Gonçalves; Helena Margarida Ribeiro; Joana Marto,"Quercus Suber Bark from Quercus suber L. is a natural, renewable and biodegradable biomaterial with multifunctional proprieties. In this study, we used it as solid particles to stabilize a Pickering emulsion. The main goal was to produce an optimized topical formulation using biocompatible organic particles as stabilizers of the emulsion instead of the common surfactants, whilst benefiting from Quercus suber L. proprieties. In this work, a Quality by Design (QbD) approach was successfully applied to the production of this emulsion. A screening design was conducted, identifying the critical variables of the formula and process, affecting the critical quality attributes of the emulsion (droplet size distribution). The optimization of the production was made through the establishment of the design space. The stability was also investigated during 30 days, demonstrating that Quercus Suber Bark-stabilized emulsions are stable since the droplet size distribution lowers. In vitro studies were performed to assess antioxidant and antiaging efficacy, which revealed that the formulation had indeed antioxidant proprieties. A physicochemical characterization demonstrated that the formulation presents a shear-thinning fluid, ideal for topical administration. The in vivo compatibility study confirmed that the final formulation is not skin irritant, being safe for human use. A sensorial analysis was also performed, using a simple sensory questionnaire, revealing very positive results. Thus, the use of Quercus Suber Bark particles as a multifunctional solid ingredient contributed to achieve a stable, effective and innovative Pickering emulsion with a meaningful synergistic protection against oxidative stress.",https://openalex.org/W2924037301,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
openalex,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,W2962867828,31517290,,10.1016/j.ijpx.2019.100025,3-O-ethyl-l-ascorbic acid: Characterisation and investigation of single solvent systems for delivery to the skin,International Journal of Pharmaceutics X,2019-07-19,article,Fotis Iliopoulos; Bruno C. Sil; David J. Moore; Robert A. Lucas; Majella E. Lane,"l-ascorbic acid (AA), commonly known as vitamin C, has been widely used in topical formulations for many years as an antioxidant and anti-aging ingredient. However, the physicochemical properties of AA are not optimal for skin uptake and the molecule is also unstable, readily undergoing oxidation on exposure to air. The compound 3-o-ethyl-l-ascorbic acid (EA) has been developed as a stable vitamin C derivative and has been used in topical products. The aims of this work were to conduct a comprehensive characterisation of physicochemical properties of EA as well as to investigate the influence of various neat solvents on EA skin delivery. Nuclear magnetic resonance (NMR), mass spectroscopy, differential scanning calorimetry (DSC) and thermogravimetric analysis (TGA) were used to characterise the molecule. The pKa of the compound and the partition coefficient logP(o/w) were experimentally determined. A new HPLC method for analysis of the molecule was also developed and validated. A number of solvents for topical preparations were selected based on their wide use as excipients in topical formulations, their potential to act as skin penetration enhancers and their favourable safety profiles. The solubility and stability of EA was examined. Skin permeation of the molecule in full thickness porcine skin in vitro was investigated using Franz-type diffusion cells. The melting point, log P(o/w) value and pKa value of EA were determined to be 114.39 ± 0.5 °C, −1.07 ± 0.03 and 7.72 ± 0.01 respectively. Skin penetration of EA was evident for the following vehicles 1,2 hexanediol (HEX), glycerol (GLY), propylene glycol (PG), 1,2 pentanediol (1-2P), isopropyl alcohol (IPA), propylene glycol monolaurate (PGML) and propylene glycol monocaprylate (PGMC). Skin uptake but no permeation through the skin was observed for Transcutol® (TC) and dipropylene glycol (DiPG), while no penetration was observed for the solvents 1,5 pentanediol (1-5P) and tripropylene glycol (TriPG). The findings of the permeation experiments confirm the potential of simple formulations to deliver EA to the skin. Studies are ongoing to identify complex vehicles for synergistic enhancement of EA skin penetration. To our knowledge this is the first study to conduct a comprehensive characterization of EA and examine its skin uptake and permeation properties in porcine skin.",https://openalex.org/W2962867828,"""1,2-Hexanediol"" skin topical",candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1
