ingredient_id,name_ko,name_en,product_count,sources,paper_key,pmid,doi,title,journal,publication_date,publication_types,abstract_available,evidence_tier,evidence_kind,relation_scope,applicability,mapped_effect_ids,directions,evidence_spans,passed_stage_count,first_failed_filter,review_status,runtime_score_change
glycerin,글리세린,Glycerin,38427,pubmed,PMID:29737895,29737895,10.1080/09546634.2018.1473554,Treatment of seborrheic dermatitis: a comprehensive review.,The Journal of dermatological treatment,2018-05-24,Journal Article; Review,Y,8,review_or_reference,abstract_exact,reference_only,,,,1,human_skin_topical,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:18510666,18510666,10.1111/j.1365-2133.2008.08643.x,Glycerol and the skin: holistic approach to its origin and functions.,The British journal of dermatology,2008-07-01,Journal Article; Review,Y,8,review_or_reference,title_exact,combination_or_formulation,effect_moisture_barrier,positive,"The diverse actions of the polyol glycerol on the epidermis include improvement of stratum corneum hydration, skin barrier function and skin mechanical properties, inhibition of the stratum corneum lipid phase transition, protection against irritating stimuli, enhancement of desmosomal degradation, and acceleration of wound-healing processes. || Topical application of glycerol-containing products improves skin properties in diseases characterized by xerosis and impaired epidermal barrier function, such as atopic dermatitis. || The increase of epidermal hydration by glycerol is critical in skin conditions aggravated by dry and cold environmental conditions, e.g.",1,human_skin_topical,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:17524122,17524122,10.1111/j.1473-2165.2007.00300.x,Skin hydration: a review on its molecular mechanisms.,Journal of cosmetic dermatology,2007-Jun,Journal Article; Review,Y,8,review_or_reference,abstract_exact,reference_only,,,,1,human_skin_topical,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:31840548,31840548,10.1177/1091581819883820,Safety Assessment of Glycerin as Used in Cosmetics.,International journal of toxicology,2019,"Journal Article; Research Support, Non-U.S. Gov't; Review",Y,8,review_or_reference,title_exact,reference_only,,unclear,"Glycerin functions as a denaturant, fragrance ingredient, hair conditioning agent, humectant, oral care agent, oral health-care drug, skin protectant, skin conditioning agent-humectant, and viscosity-decreasing agent.",3,direct_existing_effect,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:31945604,31945604,10.1016/j.ijnurstu.2019.103509,Maintaining skin integrity in the aged: A systematic review.,International journal of nursing studies,2019-12-23,Journal Article; Systematic Review,Y,1,human_topical_systematic_review,abstract_exact,combination_or_formulation,,unclear,Formulations containing glycerin and petrolatum reduced the incidence of skin tears.,2,not_combination_product,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:37595033,37595033,10.1126/sciadv.adg6262,Commensal Cutibacterium acnes induce epidermal lipid synthesis important for skin barrier function.,Science advances,2023-08-18,Journal Article,Y,6,animal,abstract_exact,mechanistic,,,,3,direct_existing_effect,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:15290859,15290859,10.1023/b:pham.0000033006.11619.07,Rheological characterization of topical carbomer gels neutralized to different pH.,Pharmaceutical research,2004-Jul,Comparative Study; Journal Article,Y,8,review_or_reference,abstract_exact,reference_only,,,,1,human_skin_topical,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:40231699,40231699,10.1111/ijd.17790,Restoring Skin Hydration and Barrier Function: Mechanistic Insights Into Basic Emollients for Xerosis Cutis.,International journal of dermatology,2025-04-15,Journal Article; Review,Y,8,review_or_reference,abstract_exact,combination_or_formulation,effect_moisture_barrier,positive,"Regardless of the underlying cause, basic emollients are recommended for the treatment of xerosis cutis and are typically formulated with humectants to improve skin hydration and water-holding capacity (e.g., glycerol, urea, lactic acid) and occludents to restore the epidermal barrier (e.g., petrolatum, liquid paraffin).",1,human_skin_topical,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:39551973,39551973,10.1111/ijd.17546,One Acne™: A holistic management approach to improve overall skin quality and treatment outcomes in acne with or without sensitive skin.,International journal of dermatology,2024-11-17,Journal Article; Review,Y,8,review_or_reference,abstract_exact,combination_or_formulation,effect_moisture_barrier,positive,"Adjunctive use of cleansers, moisturizers, and photoprotection-containing ingredients such as vitamin B3, glycerin, or pro-vitamin B3 may also complement drug/corrective treatments to reduce skin irritation and risk of scarring, as well as improve skin hydration, tone, and overall appearance.",2,not_combination_product,candidate_unverified,none
glycerin,글리세린,Glycerin,38427,pubmed,PMID:40265493,40265493,10.1111/ijd.17793,Basic Emollients for Xerosis Cutis in Atopic Dermatitis: A Review of Clinical Studies.,International journal of dermatology,2025-04-23,Journal Article; Review,Y,8,review_or_reference,abstract_exact,combination_or_formulation,effect_moisture_barrier,unclear,"Topical emollients restore skin hydration and barrier function through the physicochemical properties of their nonactive constituents (e.g., glycerol, urea, lactic acid, liquid paraffin, petrolatum) and represent the mainstay of basic therapy for xerosis cutis associated with AD.",2,not_combination_product,candidate_unverified,none
