ingredient_rank,paper_rank,ingredient_id,name_ko,name_en,product_count,paper_key,pmid,doi,title,journal,publication_date,publication_types,authors,abstract,evidence_tier,evidence_kind,relation_scope,applicability,evidence_roles,selection_reason,selection_score,outcome_count,review_status,score_change
1,1,glycerin,글리세린,Glycerin,38427,PMID:24527279,24527279,10.1089/wound.2011.0288,Glycerin-Based Hydrogel for Infection Control.,Advances in wound care,2012-Feb,Journal Article,Edward I Stout; Angie McKessor,"PROBLEM: Infection is a major problem in the health and wellbeing of patients in hospitals, nursing homes, and other medical facilities as well as the homecare patients and the general public. According to Scientia Advisors, wound care costs the healthcare system over $7 billion in 2009. After adding the cost associated with potential complications such as infections, extended physician care, and lengthy hospital stays, the annual wound care expenditures well exceeded over $20 billion.1 There are 20 million reported cases of diabetes per year and more every day. Because of the fact that leg ulcers are the number one health problem of men coupled with the rise in drug resistance of infections, the importance of providing the professional and the public with relatively simple and affordable wound care is of extreme importance. Often the wounds can become chronic wounds, which then result in long-term nursing expense in time and supplies or, worse yet, can result in expensive amputations ranging from $5000 to $40,000 per patient. SOLUTION: There are many dressing options now available for treating wounds with components such as glycerin, honey, salt, and many other natural products, with some dressings being more appropriate than others. In 1988, a patented glycerin-based dressing was introduced to the market, called Elasto-Gel™.2. NEW TECHNOLOGY: Elasto-Gel™ is a glycerin-based gel sheet (65%) combined with a hydrophilic polymer that causes the sheet to absorb the exudate from the wound and simultaneously release the glycerin from the gel, which adds many benefits to the wound for excellent healing outcomes. The gel sheet is 1/8th of an inch thick with a four-way stretch backing. It has the ability to absorb 3-4 times its own weight of fluids. The dressing will not dry out or allow the exudate to dry out, thus keeping the dressing from becoming bonded to the wound or the surrounding tissue. It does not have adhesive properties and, therefore, will not cause damage to the wound bed or periwound area upon dressing removal. Because of the thickness, the product provides excellent cushion and padding support. It has been also proven to be bacteriostatic/fungistatic. (Bacteriostatic is the ability to restrain the development or reproduction of bacteria.3). PRODUCT TECHNOLOGY: Glycerin is a huamectant by definition and has been recognized by the U.S. Food and Drug Administration (FDA). Humectants attract, bind, and hold moisture to the site of application. The actual concentration of glycerin in a wound dressing is indicative of the ability to absorb excess moisture. Exudate management is an important function of topical treatment. The ability to absorb drainage and prevent pooling of exudate in the wound or on the surrounding skin are attributes specific to high glycerin content. Perhaps, the most significant advantage of the glycerin-based hydrogel sheet is its impact on wound bioburden and pathogenic organisms.4 Glycerin is a simple three-carbon tri-alcohol and is a natural humectant. It is used as a carrier in many medicines and as plasticizer in gelatin gel capsules. Glycerin is a component of cosmetics, conditioners, soaps, foods, and other common products. It is a component of mono-, di-, and triglycerides naturally occurring in the body. These glycerides and glycerin are constantly reacted with each other by the natural enzymes and reversed with the natural metabolic processes already present in the body. Any glycerin that may be absorbed into the body fluid is rapidly diluted in these fluids and is no longer toxic but is metabolized as another component of the food chain. It is well known that glycerin in high concentration will exhibit dehydrating effect on many systems including living cells by the commonly known process of osmosis. (Osmosis: the flow or diffusion that takes place through a semipermable membrane, as of living cell, typically separating a solvent such as water, thus bringing about equilibrium conditions.5) It has been shown that glycerin at high concentration will be cytotoxic to all cells that have been tested if they are exposed long enough. These properties of glycerin have been recognized by the European Skin Bank, where they use 85% glycerin solutions to store cadaver skin at ∼42F, and can be used for potential wound coverings. The cadaver skin that has been prepared by this method has been available since 1994.6 The concern for safety resulted in a three-day international synmposium7 with emphasis on glycerin-preserved cadaver skin providing healthy environment for the preserved skin to be successfully accepted without rejection, having no complications of infection and providing excellent healing outcomes and minimal scaring. Additional research by Dr. David P. Mackie of the Red Cross Hospital, The Netherlands, reported that using 85% glycerin solutions had slow bactericidal effects and also showed virocidal activity on several types of viruses.8 Dr. Hoekstra has observed that within 2 hours after application of Elasto-Gel™, the inflammatory reaction is reduced.9 Vandeputte, Belgium, showed that wounds covered with Elasto-Gel™ had fewer myofibroblasts than those covered with hydrocolloid.10 It has been proposed that myofibroblasts in high concentrations contribute to the formation of hypertrophic and keloid scars. As noted earlier, there is less scar formation when glycerin-based gel sheets are used. The data sited here have shown that glycerin and glycerin-based products are effective antimicrobial agents with less side effects. Many verbal reports along with personal communications have indicated that applying glycerin-based gel sheets to stalled wounds, some 15-20-year-old chronic wounds, resulted in healing in 1-20 weeks (data/case studies on file). INDICATIONS FOR USE: Elasto-Gel™ has been approved for all types of wounds, that is, pressure ulcers, acute and chronic wounds, diabetic wounds, traumatic wounds, dermatology wounds, cancer tumors, and first- and second-degree burns, to name a few. Because of the product's features and benefits, it may be used on a variety of wounds. Because of its padding properties, it may be also used as a preventative product over bony prominence areas so that wounds do not occur. The glycerin properties act as a skin substitute and may also be used for scar reduction. CAUTION: Elasto-Gel™ is not approved for third-degree burns as no dressing has been approved by the FDA for this type of wound.",4,human_topical_observational_or_use_test,title_exact,combination_or_formulation,formulation_evidence,formulation_evidence,67,2,candidate_unverified,none
1,2,glycerin,글리세린,Glycerin,38427,PMID:31840548,31840548,10.1177/1091581819883820,Safety Assessment of Glycerin as Used in Cosmetics.,International journal of toxicology,2019,"Journal Article; Research Support, Non-U.S. Gov't; Review",Lillian C Becker; Wilma F Bergfeld; Donald V Belsito; Ronald A Hill; Curtis D Klaassen; Daniel C Liebler; James G Marks; Ronald C Shank; Thomas J Slaga; Paul W Snyder; Lillian J Gill; Bart Heldreth,"This is a safety assessment of glycerin as used in cosmetics. Glycerin functions as a denaturant, fragrance ingredient, hair conditioning agent, humectant, oral care agent, oral health-care drug, skin protectant, skin conditioning agent-humectant, and viscosity-decreasing agent. The Cosmetic Ingredient Review Expert Panel (Panel) reviewed relevant animal and human data. The Panel concluded that glycerin is safe as a cosmetic ingredient in the practices of use and concentration described in this safety assessment.",8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,1,candidate_unverified,none
2,1,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,PMID:27168163,27168163,10.1111/ics.12340,Inhibition of TRPV1 prevented skin irritancy induced by phenoxyethanol. A preliminary in vitro and in vivo study.,International journal of cosmetic science,2016-06-28,Journal Article; Randomized Controlled Trial,D-G Li; H-Y Du; S Gerhard; M Imke; W Liu,"BACKGROUND: Phenoxyethanol is a widely used preservative in personal care products. Transient receptor potential vanilloid 1 (TRPV1) on cell membrane is activated by TRPV1 agonist capsaicin resulting in an opening of the channel for calcium influx, which is linked with neurosensory sensations characterized by itching, burning and stinging of skin. Whether uncomfortable skin sensations caused by phenoxyethanol claimed by people having sensitive skin are also due to activation of TRPV1 has not been reported in the literature. OBJECTIVE: The aim of this study was to evaluate whether the TRPV1 is involved in the induction of itching and burning sensation by phenoxyethanol. METHODS AND MATERIALS: The effect of phenoxyethanol on TRPV1 was assessed in vitro on HaCaT cells. The activation of TRPV1 and its inhibition by a TRPV1 antagonist were evaluated by cellular calcium influx. TRPV1 protein expression was also investigated by Western blot. In vivo in a split-face study, phenoxyethanol formulated at 1% was compared to a formulation additionally containing a TRPV1 antagonist. By applying the formulations to the nasolabial fold, the scores of phenoxyethanol-induced sensations were compared to those of the TRPV1 antagonist. RESULTS: In vitro phenoxyethanol induced calcium influx in HaCaT cells in a dose-dependent manner after 20 min. This effect was abolished by a solution containing the TRPV1 antagonist trans-tert-butyl cyclohexanol (ID1609). Phenoxyethanol had no effect on the expression of TRPV1, whereas capsaicin caused a significant downregulation of this receptor in the same experiment. In vivo 1% phenoxyethanol induced a skin burning and itching sensation in a cohort of 60 of 243 Chinese female subjects being sensitive to phenoxyethanol discomfort. The uncomfortable skin sensations were significantly inhibited by ID1609. CONCLUSIONS: Different to capsaicin, phenoxyethanol did not downregulate the expression of TRPV1 in HaCaT cells, suggesting that different regulatory mechanisms may exist for capsaicin and phenoxyethanol. Our experiments demonstrated that phenoxyethanol induces skin misperception and uncomfortable skin sensations like itching and burning comparable to capsaicin via activating TRPV1. The stimulation was inhibited by blocking TRPV1 with ID1609. The present data strengthened hitherto studies that TRPV1 plays a critical role in sensitive skin.",2,human_topical_rct,title_exact,combination_or_formulation,formulation_evidence,formulation_evidence,87,2,candidate_unverified,none
2,2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,PMID:34921565,34921565,10.1111/cod.14029,"Allergic contact dermatitis to phenoxyethanol: A rare, but possible cause of hand dermatitis.",Contact dermatitis,2021-12-30,Journal Article,Michaela Kolodziej; Alexander Kiewert; Christoph Skudlik; Richard Brans,,8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
3,1,butylene_glycol,부틸렌글라이콜,Butylene Glycol,26098,PMID:32342510,32342510,10.1111/cod.13581,Allergic contact dermatitis due to butylene glycol in cosmetics.,Contact dermatitis,2020-05-20,Case Reports; Journal Article,Maria Blomberg; Jeanne D Johansen,,8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
5,1,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:26876063,26876063,10.1111/cod.12546,"Ethylhexylglycerin: a low-risk, but highly relevant, sensitizer in 'hypo-allergenic' cosmetics.",Contact dermatitis,2016-02-15,Journal Article,Olivier Aerts; Lien Verhulst; An Goossens,"BACKGROUND: Ethylhexylglycerin is a relatively new cosmetic ingredient that is used for its surfactant, emollient, skin-conditioning and antimicrobial properties. Since 2002, it has been occasionally reported as a contact allergen. OBJECTIVES: To report on 13 patients who presented with allergic contact dermatitis caused by ethylhexylglycerin, evaluated at two Belgian university patch test clinics during the period 1990-2015. PATIENTS AND METHODS: The patients were patch tested with the European baseline series, a cosmetic series, and - if indicated - additional series. Both the cosmetic products used and their single ingredients were patch tested. RESULTS: All but one of the ethylhexylglycerin-allergic patients were female, with a median age of 43 years (range: 29-81 years), most often suffering from dermatitis on the face, and sometimes on the hands and/or axillae. As the culprit products, leave-on cosmetics were identified, including a high number of proclaimed 'hypo-allergenic' and 'preservative-free' facial creams, sun protection creams, and deodorants. CONCLUSIONS: Ethylhexylglycerin is a rare, but highly relevant, cosmetic sensitizer, even in those products advertised to be safe for consumers. Targeted patch testing with ethylhexylglycerin 5% pet. is very useful, and routine patch testing in a cosmetic series may be considered. Higher test concentrations might be indicated in selected cases.",4,human_topical_observational_or_use_test,title_exact,human_topical,safety_evidence,safety_evidence,115,0,candidate_unverified,none
7,1,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,21124,PMID:32468581,32468581,10.1111/cod.13628,"Allergic contact dermatitis to caprylyl glycol: A novel ""para-preservative"" allergen.",Contact dermatitis,2020-06-29,Journal Article,Firas C Kreeshan; Jason D L Williams,,8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
8,1,hyaluronic_acid,히알루론산,Hyaluronic Acid,16824,PMID:37004799,37004799,10.1016/j.jconrel.2023.03.049,Hyaluronic acid and HA-modified cationic liposomes for promoting skin penetration and retention.,Journal of controlled release : official journal of the Controlled Release Society,2023-04-18,"Journal Article; Research Support, Non-U.S. Gov't",Chang Ni; Zijun Zhang; Yuling Wang; Zhenhai Zhang; Xueping Guo; Huixia Lv,"Hyaluronic acid (HA) has been widely used in cosmetics and topical preparations owing to its favorable moisturizing property and potential in enhancing drugs' skin permeability. Here, the influencing factors and underlying mechanism of HA on skin penetration were carefully investigated, and HA-modified Undecylenoyl-Phenylalanine (UP) liposomes (HA-UP-LPs) were designed as a proof of principle for efficacious transdermal drug delivery strategy to enhance the skin penetration and retention. An in vitro penetration test (IVPT) of HA with different molecular weights showed that low molecular weight HA (LMW-HA, 5 kDa and 8 kDa) could pass through the stratum corneum (SC) barrier and enter into the epidermis and dermis layers, whereas its high molecular counterparts (HMW-HA) were trapped on the SC surface. Mechanistic studies revealed that LMW-HA could interact with keratin and lipid in the SC meanwhile exerted a substantial skin hydration effect, which may partially contribute to the SC penetration benefit. In addition, the surface decoration of HA drove an energy-dependent caveolae/lipid raft-mediated endocytosis of the liposomes through direct binding to the CD44 receptors widely expressed on skin cell membranes. Notably, IVPT showed a 1.36-fold and 4.86-fold increase in skin retention of UP and a 1.62-fold and 5.41-fold increase in skin penetration of UP with HA-UP-LPs over UP-LPs and free UP at 24 h, respectively. As a result, the anionic HA-UP-LPs (-30.0 mV) showed enhanced drug skin penetration and retention compared with conventional cationic bared UP-LPs (+21.3 mV) on both in vitro mini-pig skin as well as in vivo mouse skin. Overall, the usage of LMW-HA might offer opportunities in developing novel topical preparations and skin care products with improved transdermal penetration and retention.",6,animal,title_exact,mechanistic,mechanism_evidence,mechanism_evidence,55,2,candidate_unverified,none
9,1,dimethicone,디메치콘,Dimethicone,16684,PMID:28628678,28628678,,Assessment of Efficacy and Irritation of Ingenol Mebutate Gel 0.015% Used With or Without Dimethicone Lotion for Treatment of Actinic Keratosis on the Face.,Journal of drugs in dermatology : JDD,2017-May-01,Comparative Study; Journal Article,Shelbi C Jim On; Peter W Hashim; John K Nia; Mark G Lebwohl,"<p>Background: Ingenol mebutate gel 0.015% provides high clearance rates for actinic keratosis (AK) on the face and scalp but causes transient local skin responses (LSRs).</p> <p>Objective: This study sought to determine whether the application of 1% dimethicone would decrease ingenol mebutate-associated LSRs and/or affect efficacy during the treatment of multiple AKs on the face.</p> <p>Methods: Ingenol mebutate gel 0.015% was applied for 3 days to two 25 cm2 areas, each containing 3 to 8 AKs on the face of each subject, followed by application of 1% dimethicone lotion in an investigator-blinded manner to one randomly selected AK-containing area until LSRs were no longer present.</p> <p>Results: In total, 20 subjects were enrolled and completed the study. Topical 1% dimethicone lotion applied during and after treatment of facial AK with ingenol mebutate gel 0.015% reduced mean total LSR scores at days 8 and 15 compared with ingenol mebutate gel only, although the difference was not statistically significant. Efficacy was equivalent between the two treatment arms.</p> <p>Limitations: The study evaluated a relatively small number of subjects, all of whom were white.</p> <p>Conclusions: The application of 1% dimethicone following ingenol mebutate gel 0.015% produced a trend toward lower severity of some LSRs, with no difference in efficacy.</p> <p><em>J Drugs Dermatol. 2017;16(5):432-436.</em></p>.",3,human_topical_clinical,title_exact,combination_or_formulation,formulation_evidence,formulation_evidence,79,2,candidate_unverified,none
9,2,dimethicone,디메치콘,Dimethicone,16684,PMID:24861370,24861370,10.1177/1091581814524963,Safety Assessment of Dimethicone Crosspolymers as Used in Cosmetics.,International journal of toxicology,2014-05-26,Journal Article,Lillian C Becker; Wilma F Bergfeld; Donald V Belsito; Ronald A Hill; Curtis D Klaassen; Daniel C Liebler; James G Marks; Ronald C Shank; Thomas J Slaga; Paul W Snyder; F Alan Andersen,"The Cosmetic Ingredient Review Expert Panel (Panel) reviewed the safety of 62 dimethicone crosspolymer ingredients as used in cosmetics. These ingredients function mostly as absorbents, bulking agents, film formers, hair-conditioning agents, emollient skin-conditioning agents, slip modifiers, surface modifiers, and nonaqueous viscosity-increasing agents. The Panel reviewed available animal and human data related to these polymers and addressed the issue of residual monomers. The Panel concluded that these dimethicone crosspolymer ingredients are safe in the practices of use and concentration as given in this safety assessment.",8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
