ingredient_rank,paper_rank,outcome_rank,ingredient_id,paper_key,pmid,evidence_span,ingredient_outcome_relation,mapping_status,mapped_effect_ids,new_effect_candidate,mechanism_label,direction,direction_by_effect_json,direction_conflict,direction_policy_version,evidence_tier,relation_scope,applicability,review_status,score_change
1,1,1,glycerin,PMID:24527279,24527279,The ability to absorb drainage and prevent pooling of exudate in the wound or on the surrounding skin are attributes specific to high glycerin content.,contextual_mention,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,4,title_exact,combination_or_formulation,candidate_unverified,none
1,1,2,glycerin,PMID:24527279,24527279,"The cadaver skin that has been prepared by this method has been available since 1994.6 The concern for safety resulted in a three-day international synmposium7 with emphasis on glycerin-preserved cadaver skin providing healthy environment for the preserved skin to be successfully accepted without rejection, having no complications of infection and providing excellent healing outcomes and minimal scaring.",formulation_limited,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,4,title_exact,combination_or_formulation,candidate_unverified,none
1,2,1,glycerin,PMID:31840548,31840548,"Glycerin functions as a denaturant, fragrance ingredient, hair conditioning agent, humectant, oral care agent, oral health-care drug, skin protectant, skin conditioning agent-humectant, and viscosity-decreasing agent.",contextual_mention,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,8,title_exact,reference_only,candidate_unverified,none
2,1,1,phenoxyethanol,PMID:27168163,27168163,Inhibition of TRPV1 prevented skin irritancy induced by phenoxyethanol. A preliminary in vitro and in vivo study.,direct,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,2,title_exact,combination_or_formulation,candidate_unverified,none
2,1,2,phenoxyethanol,PMID:27168163,27168163,Our experiments demonstrated that phenoxyethanol induces skin misperception and uncomfortable skin sensations like itching and burning comparable to capsaicin via activating TRPV1.,contextual_mention,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,2,title_exact,combination_or_formulation,candidate_unverified,none
8,1,1,hyaluronic_acid,PMID:37004799,37004799,Hyaluronic acid and HA-modified cationic liposomes for promoting skin penetration and retention.,direct,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,6,title_exact,mechanistic,candidate_unverified,none
8,1,2,hyaluronic_acid,PMID:37004799,37004799,Hyaluronic acid (HA) has been widely used in cosmetics and topical preparations owing to its favorable moisturizing property and potential in enhancing drugs' skin permeability.,direct,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,6,title_exact,mechanistic,candidate_unverified,none
9,1,1,dimethicone,PMID:28628678,28628678,"<p>Background: Ingenol mebutate gel 0.015% provides high clearance rates for actinic keratosis (AK) on the face and scalp but causes transient local skin responses (LSRs).</p> <p>Objective: This study sought to determine whether the application of 1% dimethicone would decrease ingenol mebutate-associated LSRs and/or affect efficacy during the treatment of multiple AKs on the face.</p> <p>Methods: Ingenol mebutate gel 0.015% was applied for 3 days to two 25 cm2 areas, each containing 3 to 8 AKs on the face of each subject, followed by application of 1% dimethicone lotion in an investigator-blinded manner to one randomly selected AK-containing area until LSRs were no longer present.</p> <p>Results: In total, 20 subjects were enrolled and completed the study.",direct,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,3,title_exact,combination_or_formulation,candidate_unverified,none
9,1,2,dimethicone,PMID:28628678,28628678,"Topical 1% dimethicone lotion applied during and after treatment of facial AK with ingenol mebutate gel 0.015% reduced mean total LSR scores at days 8 and 15 compared with ingenol mebutate gel only, although the difference was not statistically significant.",direct,unclear,,,,null,{},N,mwbl-effect-direction-v1,3,title_exact,combination_or_formulation,candidate_unverified,none
9,3,1,dimethicone,PMID:23710417,23710417,In this pilot study dimethicone had no significant effect on clinical signs and transepidermal water loss in canine atopic dermatitis.,direct,mechanism_only,effect_moisture_barrier,,,null,"{""effect_moisture_barrier"":{""conflict"":false,""direction"":""null"",""outcomes"":[{""conflict"":false,""cue"":""negated result"",""cue_id"":""rule_negated_result"",""direction"":""null"",""effect_id"":""effect_moisture_barrier"",""expected_direction"":""decrease"",""observed_change"":""null"",""outcome_concept_id"":""tewl"",""outcome_term"":""transepidermal water loss"",""reason"":""negated_result_scope"",""token_distance"":0}]}}",N,mwbl-effect-direction-v1,6,title_exact,mechanistic,candidate_unverified,none
10,1,1,limonene,PMID:42020135,42020135,RESULTS: ToF-SIMS analysis showed that limonene hydroperoxide and linalool hydroperoxide remain mainly confined to the stratum corneum.,contextual_mention,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,5,title_exact,mechanistic,candidate_unverified,none
11,1,1,linalool,PMID:42020135,42020135,RESULTS: ToF-SIMS analysis showed that limonene hydroperoxide and linalool hydroperoxide remain mainly confined to the stratum corneum.,contextual_mention,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,5,title_exact,mechanistic,candidate_unverified,none
12,2,1,sodium_benzoate,PMID:16864596,16864596,"Caffeine and caffeine sodium benzoate have a sunscreen effect, enhance UVB-induced apoptosis, and inhibit UVB-induced skin carcinogenesis in SKH-1 mice.",direct,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,6,title_exact,mechanistic,candidate_unverified,none
12,2,2,sodium_benzoate,PMID:16864596,16864596,Topical application of caffeine sodium benzoate (caffeine-SB) immediately after UVB irradiation of SKH-1 mice enhanced UVB-induced apoptosis by a 2- to 3-fold greater extent than occurred after the topical application of an equimolar amount of caffeine.,direct,unclear,,,,unclear,{},N,mwbl-effect-direction-v1,6,title_exact,mechanistic,candidate_unverified,none
