ingredient_rank,ingredient_id,name_ko,name_en,product_count,search_terms,search_query,raw_pubmed_hit_count,selected_paper_count,catalog_status,review_status,score_change,searched_on,pipeline_version
1,glycerin,글리세린,Glycerin,38427,Glycerin|Glycerol,"(""Glycerin""[Title/Abstract] OR ""Glycerol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,Phenoxyethanol,"(""Phenoxyethanol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
3,butylene_glycol,부틸렌글라이콜,Butylene Glycol,26098,Butylene Glycol,"(""Butylene Glycol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",49,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
4,tocopherol,토코페롤,Tocopherol,25877,Tocopherol,"(""Tocopherol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
5,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,Ethylhexylglycerin,"(""Ethylhexylglycerin""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",20,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
6,citric_acid,시트릭애씨드,Citric Acid,21835,Citric Acid,"(""Citric Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",48,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
7,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,21124,Caprylyl Glycol,"(""Caprylyl Glycol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",16,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
8,hyaluronic_acid,히알루론산,Hyaluronic Acid,16824,Hyaluronic Acid,"(""Hyaluronic Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
9,dimethicone,디메치콘,Dimethicone,16684,Dimethicone,"(""Dimethicone""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,3,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
10,limonene,리모넨,Limonene,16657,Limonene,"(""Limonene""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
