ingredient_rank,ingredient_id,name_ko,name_en,product_count,pubmed_raw_hit_count,exclusion_reason,scope
36,helianthus_annuus_sunflower_seed_oil,해바라기씨오일,Helianthus Annuus (Sunflower) Seed Oil,7098,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
38,butyrospermum_parkii_shea_butter,시어버터,Butyrospermum Parkii (Shea) Butter,7024,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
45,pentaerythrityl_tetra_di_t_butyl_hydroxyhydrocinnamate,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나 메이트,Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,6228,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
124,leuconostoc_radish_root_ferment_filtrate,류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,2611,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
126,ammonium_acryloyldimethyltaurate_vp_copolymer,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,Ammonium Acryloyldimethyltaurate/VP Copolymer,2544,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
160,acrylates_copolymer,아크릴레이트코폴리머,Acrylates Copolymer,1981,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
187,iron_oxide_red,적색산화철,Iron Oxide Red,1739,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
290,glycereth_26,글리세레스-26,Glycereth-26,1140,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
321,rosa_canina_fruit_oil,로즈힙열매오일,Rosa Canina Fruit Oil,1019,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
363,sodium_c14_16_olefin_sulfonate,소듐C14-16올레핀설포네이트,Sodium C14-16 Olefin Sulfonate,877,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
369,dicaprylyl_ether,다이카프릴릴에터,Dicaprylyl Ether,861,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
403,melaleuca_alternifolia_tea_tree_leaf_oil,티트리잎오일,Melaleuca Alternifolia (Tea Tree) Leaf Oil,773,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
408,zingiber_officinale_ginger_root_extract,생강추출물,Zingiber Officinale (Ginger) Root Extract,768,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
427,vp_hexadecene_copolymer,브이피/헥사데센코폴리머,VP/Hexadecene Copolymer,724,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
442,tridecyl_trimellitate,트라이데실트라이멜리테이트,Tridecyl Trimellitate,692,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
453,cocamidopropyl_hydroxysultaine,코카미도프로필하이드록시설테인,Cocamidopropyl Hydroxysultaine,668,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
497,cocamide_mipa,코카마이드미파,Cocamide MIPA,609,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
500,vp_va_copolymer,브이피/브이에이코폴리머,VP/VA Copolymer,604,1,exact_ingredient_not_confirmed_in_pubmed_title_or_abstract,research_target_only_canonical_ingredient_retained
