portfolio_rank,selected_for_portfolio,ingredient_id,name_ko,name_en,product_count,current_runtime,effect_ids,best_evidence_tier,best_signal_score,best_relation_scope,best_applicability,best_pmid,best_title,evidence_component,product_component,function_component,portfolio_score,selection_reason,review_status,score_change
1,Y,bisabolol,비사보롤,Bisabolol,2108,Y,effect_brightening|effect_calming,2,90,abstract_exact,human_topical,19537379,Treatment of pruritus in mild-to-moderate atopic dermatitis with a topical non-steroidal agent.,45.0000,21.7514,20.0000,86.7514,existing_runtime,existing_runtime,none
2,Y,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,2637,Y,effect_calming|effect_moisture_barrier,2,58,abstract_exact,combination_or_formulation,28915283,Clinical Evaluation of a Multi-Modal Facial Serum That Addresses Hyaluronic Acid Levels in Skin.,29.0000,22.3874,20.0000,71.3874,existing_runtime,existing_runtime,none
3,Y,glycerin,글리세린,Glycerin,38427,Y,effect_calming|effect_exfoliation|effect_moisture_barrier,,0,,,,,0.0000,30.0000,20.0000,50.0000,existing_runtime,existing_runtime,none
4,Y,hyaluronic_acid,히알루론산,Hyaluronic Acid,16824,Y,effect_calming|effect_moisture_barrier|effect_wrinkle,,0,,,,,0.0000,27.6529,20.0000,47.6529,existing_runtime,existing_runtime,none
5,Y,dimethicone,디메치콘,Dimethicone,16684,Y,effect_calming|effect_moisture_barrier,,0,,,,,0.0000,27.6291,20.0000,47.6291,existing_runtime,existing_runtime,none
6,Y,panthenol,판테놀,Panthenol,12738,Y,effect_calming|effect_moisture_barrier,,0,,,,,0.0000,26.8623,20.0000,46.8623,existing_runtime,existing_runtime,none
7,Y,niacinamide,나이아신아마이드,Niacinamide,10393,Y,effect_acne_sebum|effect_brightening|effect_calming|effect_moisture_barrier|effect_wrinkle,,0,,,,,0.0000,26.2841,20.0000,46.2841,existing_runtime,existing_runtime,none
8,Y,squalane,스쿠알란,Squalane,7887,Y,effect_moisture_barrier,,0,,,,,0.0000,25.5001,20.0000,45.5001,existing_runtime,existing_runtime,none
9,Y,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,7056,Y,effect_calming|effect_moisture_barrier,,0,,,,,0.0000,25.1837,20.0000,45.1837,existing_runtime,existing_runtime,none
10,Y,allantoin,알란토인,Allantoin,5914,Y,effect_calming|effect_moisture_barrier,,0,,,,,0.0000,24.6821,20.0000,44.6821,existing_runtime,existing_runtime,none
11,Y,adenosine,아데노신,Adenosine,5774,Y,effect_wrinkle,,0,,,,,0.0000,24.6140,20.0000,44.6140,existing_runtime,existing_runtime,none
12,Y,aha,AHA,Alpha Hydroxy Acids,5270,Y,effect_exfoliation|effect_moisture_barrier|effect_wrinkle,,0,,,,,0.0000,24.3545,20.0000,44.3545,existing_runtime,existing_runtime,none
13,Y,salicylic_acid_bha,살리실산/BHA,Salicylic Acid / BHA,3956,Y,effect_acne_sebum|effect_exfoliation,,0,,,,,0.0000,23.5396,20.0000,43.5396,existing_runtime,existing_runtime,none
14,Y,peptides,펩타이드,Peptides,3343,Y,effect_wrinkle,,0,,,,,0.0000,23.0613,20.0000,43.0613,existing_runtime,existing_runtime,none
15,Y,green_tea,녹차,Green Tea,3296,Y,effect_acne_sebum|effect_calming|effect_wrinkle,,0,,,,,0.0000,23.0211,20.0000,43.0211,existing_runtime,existing_runtime,none
16,Y,ceramides,세라마이드,Ceramides,3270,Y,effect_calming|effect_moisture_barrier,,0,,,,,0.0000,22.9986,20.0000,42.9986,existing_runtime,existing_runtime,none
17,Y,ascorbic_acid,비타민C,Ascorbic Acid,2627,Y,effect_brightening|effect_wrinkle,,0,,,,,0.0000,22.3766,20.0000,42.3766,existing_runtime,existing_runtime,none
18,Y,beta_glucan,베타-글루칸,Beta-Glucan,1920,Y,effect_moisture_barrier,,0,,,,,0.0000,21.4860,20.0000,41.4860,existing_runtime,existing_runtime,none
19,Y,phytosphingosine,피토스핑고신,Phytosphingosine,1863,Y,effect_acne_sebum|effect_moisture_barrier,,0,,,,,0.0000,21.4004,20.0000,41.4004,existing_runtime,existing_runtime,none
20,Y,madecassoside,마데카소사이드,Madecassoside,1855,Y,effect_calming|effect_moisture_barrier|effect_wrinkle,,0,,,,,0.0000,21.3882,20.0000,41.3882,existing_runtime,existing_runtime,none
21,Y,pha,PHA,Polyhydroxy Acids,1801,Y,effect_calming|effect_exfoliation|effect_moisture_barrier|effect_wrinkle,,0,,,,,0.0000,21.3043,20.0000,41.3043,existing_runtime,existing_runtime,none
22,Y,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,1678,Y,effect_calming|effect_moisture_barrier|effect_wrinkle,,0,,,,,0.0000,21.1034,20.0000,41.1034,existing_runtime,existing_runtime,none
23,Y,urea,유레아,Urea,1257,Y,effect_calming|effect_exfoliation|effect_moisture_barrier,,0,,,,,0.0000,20.2830,20.0000,40.2830,existing_runtime,existing_runtime,none
24,Y,glutathione,글루타티온,Glutathione,1081,Y,effect_brightening,,0,,,,,0.0000,19.8547,20.0000,39.8547,existing_runtime,existing_runtime,none
25,Y,retinol,레티놀,Retinol,1027,Y,effect_acne_sebum|effect_brightening|effect_exfoliation|effect_wrinkle,,0,,,,,0.0000,19.7092,20.0000,39.7092,existing_runtime,existing_runtime,none
26,Y,zinc_pca,징크PCA,Zinc PCA,772,Y,effect_acne_sebum|effect_moisture_barrier,,0,,,,,0.0000,18.8990,20.0000,38.8990,existing_runtime,existing_runtime,none
