cohort,ingredient_id,name_ko,name_en,product_count,raw_pubmed_hit_count,representative_paper_count,benefit_candidate_count,uncertain_effect_count,conflict_or_zero_candidate_count,mechanism_support_count,risk_candidate_count,safety_signal_count,new_effect_candidate_count,formulation_paper_count,reference_paper_count,best_benefit_tier,candidate_effect_ids,candidate_new_effects,candidate_pmids,score_eligibility_decision,recommended_runtime_use,can_change_benefit_score_now,review_status,runtime_score_change
representative_180,glycerin,글리세린,Glycerin,38427,50,2,0,0,0,0,0,1,0,1,0,,,,31840548,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,50,2,0,0,0,0,0,2,0,1,0,,,,31588615|34921565,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,butylene_glycol,부틸렌글라이콜,Butylene Glycol,26098,49,1,0,0,0,0,0,1,0,0,0,,,,32342510,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,tocopherol,토코페롤,Tocopherol,25877,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,20,1,0,0,0,0,1,10,0,0,0,,,,12492553|17680873|19780779|24407069|26876063|26899807|34570737|35318977|38017612|40241678,full_text_risk_penalty_review,risk_only_after_full_text_and_human_approval,N,candidate_unverified,none
raw_hit_190,citric_acid,시트릭애씨드,Citric Acid,21835,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,21124,16,1,0,0,0,0,0,1,0,0,0,,,,32468581,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,hyaluronic_acid,히알루론산,Hyaluronic Acid,16824,50,1,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,dimethicone,디메치콘,Dimethicone,16684,50,3,0,0,0,0,0,2,0,2,0,,,,24861370|29430705,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,limonene,리모넨,Limonene,16657,50,1,0,0,0,0,0,3,0,0,0,,,,20163165|31433385|42020135,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,linalool,리날룰,Linalool,16306,50,1,0,0,0,0,0,5,0,0,0,,,,30098535|31313746|36890088|41713461|42020135,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,14591,50,2,0,0,0,0,0,1,0,0,0,,,,16867007,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,14077,32,1,0,0,0,0,0,2,0,1,0,,,,16128766|33656744,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,24,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,disodium_edta,다이소듐이디티에이,Disodium EDTA,13862,17,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,xanthan_gum,잔탄검,Xanthan Gum,13776,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,tocopheryl_acetate,토코페릴아세테이트,Tocopheryl Acetate,13298,50,1,0,0,0,0,0,0,0,2,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
representative_180,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13261,25,2,0,0,0,0,0,2,0,1,0,,,,32542693|34862627,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,propanediol,프로판다이올,Propanediol,12794,50,1,0,0,0,0,0,1,0,0,0,,,,29761730,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,panthenol,판테놀,Panthenol,12738,50,2,0,0,0,0,0,7,0,8,0,,,,35318981|36177798|36705646|38186043|39129125|39714944|40682399,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,silica,실리카,Silica,12318,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,sodium_chloride,소듐클로라이드,Sodium Chloride,11564,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,sodium_hydroxide,소듐하이드록사이드,Sodium Hydroxide,10880,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,niacinamide,나이아신아마이드,Niacinamide,10393,50,3,4,0,0,0,0,2,0,3,1,2,effect_brightening|effect_wrinkle,,12100180|16029679|16596767|26488693,full_text_benefit_score_review,possible_after_full_text_and_human_approval,N,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,20,1,0,0,0,0,0,9,0,0,0,,,,12755747|18186759|18559782|19780779|20546226|28483712|31840261|34455582|36125394,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,disteardimonium_hectorite,다이스테아다이모늄헥토라이트,Disteardimonium Hectorite,8426,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,citronellol,시트로넬올,Citronellol,8409,50,2,0,0,0,0,0,2,0,1,0,,,,20137738|35671905,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,mica,마이카,Mica,8184,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,8000,27,1,0,0,0,0,0,2,0,0,0,,,,10985638|27617733,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,carbomer,카보머,Carbomer,7987,50,2,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,geraniol,제라니올,Geraniol,7955,50,2,0,0,0,0,0,3,0,0,0,,,,20137738|23510343|31566752,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,squalane,스쿠알란,Squalane,7887,42,3,0,0,0,0,0,3,0,0,0,,,,19371265|37752766|41427219,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,aluminum_hydroxide,알루미늄하이드록사이드,Aluminum Hydroxide,7465,50,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,helianthus_annuus_sunflower_seed_oil,해바라기씨오일,Helianthus Annuus (Sunflower) Seed Oil,7098,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,7056,48,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,butyrospermum_parkii_shea_butter,시어버터,Butyrospermum Parkii (Shea) Butter,7024,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,Triethoxycaprylylsilane,7011,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,glyceryl_stearate,글리세릴스테아레이트,Glyceryl Stearate,6922,22,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,dipropylene_glycol,다이프로필렌글라이콜,Dipropylene Glycol,6761,37,1,0,0,0,0,0,2,0,0,0,,,,9686981|35320588,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,fragrance_perfume_parfum,향료,Fragrance|Perfume|Parfum,6642,50,1,0,0,0,0,0,3,0,0,0,,,,3884673|32445606|35014095,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,hydrogenated_lecithin,하이드로제네이티드레시틴,Hydrogenated Lecithin,6561,19,1,0,0,0,0,0,1,0,0,0,,,,11358109,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,hexyl_cinnamal,헥실신남알,Hexyl Cinnamal,6489,12,1,0,0,0,0,0,1,0,0,0,,,,24988491,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
