ingredient_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,effect_score,score_origin,score_basis,official_signal_strength,official_signal_functions,paper_evidence_class,paper_key,evidence_score,runtime_score_active,human_approval_gate_used,full_text_gate_used
0,niacinamide,나이아신아마이드,Niacinamide,effect_brightening,미백·톤,70,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:12100180,95,Y,N,N
0,niacinamide,나이아신아마이드,Niacinamide,effect_moisture_barrier,보습·장벽,65,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:10971324,85,Y,N,N
0,niacinamide,나이아신아마이드,Niacinamide,effect_acne_sebum,여드름·피지,50,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:16766489,70,Y,N,N
0,niacinamide,나이아신아마이드,Niacinamide,effect_wrinkle,주름·탄력,45,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:18492135,70,Y,N,N
0,niacinamide,나이아신아마이드,Niacinamide,effect_calming,진정,40,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:18492135,60,Y,N,N
0,salicylic_acid_bha,살리실산/BHA,Salicylic Acid / BHA,effect_acne_sebum,여드름·피지,70,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:32356369,78,Y,N,N
0,salicylic_acid_bha,살리실산/BHA,Salicylic Acid / BHA,effect_exfoliation,각질,60,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:salicylic_acid_bha:effect_exfoliation,76,Y,N,N
0,aha,AHA,Alpha Hydroxy Acids,effect_exfoliation,각질,65,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:8651713,78,Y,N,N
0,aha,AHA,Alpha Hydroxy Acids,effect_wrinkle,주름·탄력,42,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:8642081,62,Y,N,N
0,aha,AHA,Alpha Hydroxy Acids,effect_moisture_barrier,보습·장벽,42,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:8818186,60,Y,N,N
0,pha,PHA,Polyhydroxy Acids,effect_exfoliation,각질,55,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:15002657,66,Y,N,N
0,pha,PHA,Polyhydroxy Acids,effect_moisture_barrier,보습·장벽,48,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:pha:effect_moisture_barrier,60,Y,N,N
0,pha,PHA,Polyhydroxy Acids,effect_wrinkle,주름·탄력,42,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:15002656,54,Y,N,N
0,pha,PHA,Polyhydroxy Acids,effect_calming,진정,35,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:15002656,48,Y,N,N
0,zinc_pca,징크PCA,Zinc PCA,effect_acne_sebum,여드름·피지,48,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:3207614,50,Y,N,N
0,zinc_pca,징크PCA,Zinc PCA,effect_moisture_barrier,보습·장벽,32,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:zinc_pca:effect_moisture_barrier,42,Y,N,N
0,glycerin,글리세린,Glycerin,effect_moisture_barrier,보습·장벽,72,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:10598752,85,Y,N,N
0,glycerin,글리세린,Glycerin,effect_calming,진정,40,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:18510666,58,Y,N,N
0,glycerin,글리세린,Glycerin,effect_exfoliation,각질,30,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:glycerin:effect_exfoliation,48,Y,N,N
0,panthenol,판테놀,Panthenol,effect_moisture_barrier,보습·장벽,60,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:10965426,76,Y,N,N
0,panthenol,판테놀,Panthenol,effect_calming,진정,55,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:12113650,72,Y,N,N
0,ceramides,세라마이드,Ceramides,effect_moisture_barrier,보습·장벽,74,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:33984185,88,Y,N,N
0,ceramides,세라마이드,Ceramides,effect_calming,진정,40,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:40408261,60,Y,N,N
0,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,effect_moisture_barrier,보습·장벽,60,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:8618046,72,Y,N,N
0,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,effect_calming,진정,35,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:cholesterol_fatty_acids:effect_calming,52,Y,N,N
0,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_moisture_barrier,보습·장벽,68,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:hyaluronic_acid:effect_moisture_barrier,78,Y,N,N
0,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_wrinkle,주름·탄력,42,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:22052267,60,Y,N,N
0,hyaluronic_acid,히알루론산,Hyaluronic Acid,effect_calming,진정,38,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:hyaluronic_acid:effect_calming,55,Y,N,N
0,squalane,스쿠알란,Squalane,effect_moisture_barrier,보습·장벽,52,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:squalane:effect_moisture_barrier,48,Y,N,N
0,dimethicone,디메치콘,Dimethicone,effect_moisture_barrier,보습·장벽,52,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:dimethicone:effect_moisture_barrier,64,Y,N,N
0,dimethicone,디메치콘,Dimethicone,effect_calming,진정,33,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:dimethicone:effect_calming,52,Y,N,N
0,petrolatum_mineral_oil,페트롤라툼/미네랄오일,Petrolatum / Mineral Oil,effect_moisture_barrier,보습·장벽,72,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:1564142,80,Y,N,N
0,petrolatum_mineral_oil,페트롤라툼/미네랄오일,Petrolatum / Mineral Oil,effect_calming,진정,37,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:petrolatum_mineral_oil:effect_calming,56,Y,N,N
0,urea,유레아,Urea,effect_moisture_barrier,보습·장벽,66,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:urea:effect_moisture_barrier,76,Y,N,N
0,urea,유레아,Urea,effect_exfoliation,각질,52,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:urea:effect_exfoliation,70,Y,N,N
0,urea,유레아,Urea,effect_calming,진정,37,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:urea:effect_calming,56,Y,N,N
0,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_calming,진정,60,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:27168678,72,Y,N,N
0,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_wrinkle,주름·탄력,44,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:18503551,56,Y,N,N
0,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_moisture_barrier,보습·장벽,44,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,PMID:27168678,54,Y,N,N
0,madecassoside,마데카소사이드,Madecassoside,effect_calming,진정,58,existing_34_unchanged,historical_manual_score_preserved,,,existing_runtime,LEGACY:madecassoside:effect_calming,72,Y,N,N
