ingredient_rank,ingredient_id,name_ko,name_en,product_count,cohort_source,score_status,active_effect_count,active_effect_ids,min_effect_score,max_effect_score,score_origins,human_approval_gate_used,full_text_gate_used
0,adenosine,아데노신,Adenosine,5774,existing_34,score_active_existing,1,effect_wrinkle,55,55,existing_34_unchanged,N,N
0,aha,AHA,Alpha Hydroxy Acids,5270,existing_34,score_active_existing,3,effect_exfoliation|effect_moisture_barrier|effect_wrinkle,42,65,existing_34_unchanged,N,N
0,allantoin,알란토인,Allantoin,5914,existing_34,score_active_existing,2,effect_calming|effect_moisture_barrier,40,50,existing_34_unchanged,N,N
0,arbutin,알부틴,Arbutin,251,existing_34,score_active_existing,1,effect_brightening,60,60,existing_34_unchanged,N,N
0,ascorbic_acid,비타민C,Ascorbic Acid,2627,existing_34,score_active_existing,2,effect_brightening|effect_wrinkle,45,62,existing_34_unchanged,N,N
0,beta_glucan,베타-글루칸,Beta-Glucan,1920,existing_34,score_active_existing,1,effect_moisture_barrier,52,52,existing_34_unchanged,N,N
0,bisabolol,비사보롤,Bisabolol,2108,existing_34,score_active_existing,1,effect_brightening,58,58,existing_34_unchanged,N,N
0,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,1678,existing_34,score_active_existing,3,effect_calming|effect_moisture_barrier|effect_wrinkle,44,60,existing_34_unchanged,N,N
0,ceramides,세라마이드,Ceramides,3270,existing_34,score_active_existing,2,effect_calming|effect_moisture_barrier,40,74,existing_34_unchanged,N,N
0,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,7056,existing_34,score_active_existing,2,effect_calming|effect_moisture_barrier,35,60,existing_34_unchanged,N,N
0,colloidal_oatmeal,콜로이달오트밀,Colloidal Oatmeal,270,existing_34,score_active_existing,2,effect_calming|effect_moisture_barrier,46,58,existing_34_unchanged,N,N
0,dimethicone,디메치콘,Dimethicone,16684,existing_34,score_active_existing,2,effect_calming|effect_moisture_barrier,33,52,existing_34_unchanged,N,N
0,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,2637,existing_34,score_active_existing,1,effect_calming,52,52,existing_34_unchanged,N,N
0,glutathione,글루타티온,Glutathione,1081,existing_34,score_active_existing,1,effect_brightening,50,50,existing_34_unchanged,N,N
0,glycerin,글리세린,Glycerin,38427,existing_34,score_active_existing,3,effect_calming|effect_exfoliation|effect_moisture_barrier,30,72,existing_34_unchanged,N,N
0,green_tea,녹차,Green Tea,3296,existing_34,score_active_existing,3,effect_acne_sebum|effect_calming|effect_wrinkle,42,52,existing_34_unchanged,N,N
0,hyaluronic_acid,히알루론산,Hyaluronic Acid,16824,existing_34,score_active_existing,3,effect_calming|effect_moisture_barrier|effect_wrinkle,38,68,existing_34_unchanged,N,N
0,kojic_acid,코직애씨드,Kojic Acid,87,existing_34,score_active_existing,1,effect_brightening,50,50,existing_34_unchanged,N,N
0,licorice_extract,감초추출물,Licorice Extract,720,existing_34,score_active_existing,2,effect_brightening|effect_calming,42,55,existing_34_unchanged,N,N
0,madecassoside,마데카소사이드,Madecassoside,1855,existing_34,score_active_existing,3,effect_calming|effect_moisture_barrier|effect_wrinkle,44,58,existing_34_unchanged,N,N
0,niacinamide,나이아신아마이드,Niacinamide,10393,existing_34,score_active_existing,5,effect_acne_sebum|effect_brightening|effect_calming|effect_moisture_barrier|effect_wrinkle,40,70,existing_34_unchanged,N,N
0,panthenol,판테놀,Panthenol,12738,existing_34,score_active_existing,2,effect_calming|effect_moisture_barrier,55,60,existing_34_unchanged,N,N
0,peptides,펩타이드,Peptides,3343,existing_34,score_active_existing,1,effect_wrinkle,52,52,existing_34_unchanged,N,N
0,petrolatum_mineral_oil,페트롤라툼/미네랄오일,Petrolatum / Mineral Oil,607,existing_34,score_active_existing,2,effect_calming|effect_moisture_barrier,37,72,existing_34_unchanged,N,N
0,pha,PHA,Polyhydroxy Acids,1801,existing_34,score_active_existing,4,effect_calming|effect_exfoliation|effect_moisture_barrier|effect_wrinkle,35,55,existing_34_unchanged,N,N
0,phytosphingosine,피토스핑고신,Phytosphingosine,1863,existing_34,score_active_existing,2,effect_acne_sebum|effect_moisture_barrier,42,55,existing_34_unchanged,N,N
0,retinal,레티날,Retinal,192,existing_34,score_active_existing,3,effect_brightening|effect_exfoliation|effect_wrinkle,43,72,existing_34_unchanged,N,N
0,retinol,레티놀,Retinol,1027,existing_34,score_active_existing,4,effect_acne_sebum|effect_brightening|effect_exfoliation|effect_wrinkle,40,70,existing_34_unchanged,N,N
