ingredient_id,name_ko,name_en,effect_id,effect_name,evidence_class,legacy_effect_score,evidence_score,paper_key,paper_title,evidence_sentence,reason_ko,source_url,screening_pass,score_origin,external_claim_use
acetyl_glucosamine,아세틸글루코사민,Acetyl Glucosamine,effect_brightening,미백·톤,primary,70,50,PMID:17348991,Reduction in the appearance of facial hyperpigmentation by topical N-acetyl glucosamine.,"In the target-only-difference split-face trial, 2% N-acetyl glucosamine plus 4% niacinamide reduced image-analyzed facial hyperpigmentation more than 4% niacinamide alone (p=0.043).",이중눈가림 좌우 무작위 split-face 시험에서 양쪽 모두 4% niacinamide를 사용하고 한쪽에만 2% N-acetyl glucosamine을 추가해 목표 성분의 증분효과를 분리했다. 영상분석 과색소침착이 대조측보다 유의하게 감소했다(p=0.043).,https://pubmed.ncbi.nlm.nih.gov/17348991/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_acne_sebum,여드름·피지,limited_medical,35,25,DOI:10.58837/chula.the.2023.814,Evaluation of skin irritation and anti-acne efficacy of asiatic acid loaded solid lipid microparticle in patients with mild-to-moderate acne vulgaris,"Compared with placebo, the asiatic-acid microparticle formulation significantly improved inflamed acne count, porphyrin intensity, TEWL, hydration, melanin index, and erythema index across assessed facial areas.",12명 여성 여드름 환자의 대조 split-face 시험에서 asiatic acid 제형이 placebo 대비 염증성 병변·porphyrin·TEWL·수분·melanin·erythema를 유의하게 개선했다. 여드름 환자의 소규모 pilot이므로 limited_medical을 적용했다.,https://doi.org/10.58837/chula.the.2023.814,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_brightening,미백·톤,limited_medical,35,25,PMID:38158144,"Asiatic acid-entrapped transfersomes for the treatment of hypertrophic scars: In vitro appraisal, bioactivity evaluation, and clinical study.","In the placebo-controlled split-skin study, asiatic-acid gel significantly reduced melanin index and increased net skin elasticity at weeks 2, 4, and 8 in hypertrophic scars.",8주 이중눈가림 placebo 대조 split-skin 임상에서 asiatic acid gel이 비대성 반흔의 melanin index를 낮추고 net elasticity를 높였다. 비대성 반흔 질환 문맥이므로 limited_medical을 적용했다.,https://pubmed.ncbi.nlm.nih.gov/38158144/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_calming,진정,limited_medical,35,25,DOI:10.58837/chula.the.2023.814,Evaluation of skin irritation and anti-acne efficacy of asiatic acid loaded solid lipid microparticle in patients with mild-to-moderate acne vulgaris,"Compared with placebo, the asiatic-acid microparticle formulation significantly improved inflamed acne count, porphyrin intensity, TEWL, hydration, melanin index, and erythema index across assessed facial areas.",12명 여성 여드름 환자의 대조 split-face 시험에서 asiatic acid 제형이 placebo 대비 염증성 병변·porphyrin·TEWL·수분·melanin·erythema를 유의하게 개선했다. 여드름 환자의 소규모 pilot이므로 limited_medical을 적용했다.,https://doi.org/10.58837/chula.the.2023.814,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_moisture_barrier,보습·장벽,limited_medical,35,25,DOI:10.58837/chula.the.2023.814,Evaluation of skin irritation and anti-acne efficacy of asiatic acid loaded solid lipid microparticle in patients with mild-to-moderate acne vulgaris,"Compared with placebo, the asiatic-acid microparticle formulation significantly improved inflamed acne count, porphyrin intensity, TEWL, hydration, melanin index, and erythema index across assessed facial areas.",12명 여성 여드름 환자의 대조 split-face 시험에서 asiatic acid 제형이 placebo 대비 염증성 병변·porphyrin·TEWL·수분·melanin·erythema를 유의하게 개선했다. 여드름 환자의 소규모 pilot이므로 limited_medical을 적용했다.,https://doi.org/10.58837/chula.the.2023.814,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
asiatic_acid,아시아틱애씨드,Asiatic Acid,effect_wrinkle,주름·탄력,limited_medical,35,25,PMID:38158144,"Asiatic acid-entrapped transfersomes for the treatment of hypertrophic scars: In vitro appraisal, bioactivity evaluation, and clinical study.","In the placebo-controlled split-skin study, asiatic-acid gel significantly reduced melanin index and increased net skin elasticity at weeks 2, 4, and 8 in hypertrophic scars.",8주 이중눈가림 placebo 대조 split-skin 임상에서 asiatic acid gel이 비대성 반흔의 melanin index를 낮추고 net elasticity를 높였다. 비대성 반흔 질환 문맥이므로 limited_medical을 적용했다.,https://pubmed.ncbi.nlm.nih.gov/38158144/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
asiaticoside,아시아티코사이드,Asiaticoside,effect_wrinkle,주름·탄력,primary,70,50,RISS:3c639e159ba37097ffe0bdc3ef48d419,Asiaticoside의 입술 주름 개선 효과,"At weeks 4 and 8, the 0.2% asiaticoside group had a significantly greater reduction in replica-measured lip wrinkle area than the control group (p<0.05; overall group difference p<0.01).",54명 인체에서 0.2% asiaticoside 도포군과 대조군을 비교했고 skin replica 영상분석의 주름 면적이 군간 유의하게 감소했다. 목표 성분 독립효과·객관지표·군간 p값을 모두 확인했다.,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3c639e159ba37097ffe0bdc3ef48d419,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
bakuchiol,바쿠치올,Bakuchiol,effect_acne_sebum,여드름·피지,limited_medical,35,25,PMID:33683079,A Clinical Study Evaluating the Efficacy of Topical Bakuchiol (UP256) Cream on Facial Acne.,Open-label monotherapy with 0.5% bakuchiol significantly reduced inflammatory acne lesions over 12 weeks.,0.5% bakuchiol 단독요법 공개 파일럿에서 염증성 여드름 병변이 유의하게 감소했으나 소규모 질환군·무대조 근거다.,https://pubmed.ncbi.nlm.nih.gov/33683079/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
bakuchiol,바쿠치올,Bakuchiol,effect_brightening,미백·톤,primary,70,50,DOI:10.1111/jocd.71000,"Prospective, Double‐Blind, Vehicle‐Controlled Assessment of Topical Bakuchiol on Photoaging in a Chinese Population","Bakuchiol improved wrinkle severity versus vehicle (p<.001 and p=.023) and hyperpigmentation (p=.025, p=.025, and p=.046).",전문에서 Bakuchiol 대 vehicle 무작위 이중맹검의 군간 주름·과색소 개선과 p값을 확인했다.,https://doi.org/10.1111/jocd.71000,initial_164_ai,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
bakuchiol,바쿠치올,Bakuchiol,effect_wrinkle,주름·탄력,primary,70,50,DOI:10.1111/jocd.71000,"Prospective, Double‐Blind, Vehicle‐Controlled Assessment of Topical Bakuchiol on Photoaging in a Chinese Population","Bakuchiol improved wrinkle severity versus vehicle (p<.001 and p=.023) and hyperpigmentation (p=.025, p=.025, and p=.046).",전문에서 Bakuchiol 대 vehicle 무작위 이중맹검의 군간 주름·과색소 개선과 p값을 확인했다.,https://doi.org/10.1111/jocd.71000,initial_164_ai,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
