query_id,source,ingredient_rank,ingredient_id,name_ko,canonical_name_en,approved_search_terms,term_provenance_json,search_query,query_sha256,query_version,started_at_utc,completed_at_utc,total_hit_count,raw_hit_count,retrieval_cap,retrieved_count,returned_count,pagination_status,retrieval_complete,pagination_complete,searched_at,request_status,request_attempt_count,retry_count,error_type,error_message,api_endpoint,sort_order,query_contract_status,rerun_required,http_status,elapsed_ms,review_status,runtime_score_change,pipeline_version,manifest_sha256
crossref:phenoxyethanol:11df1b3040c9649e,crossref,2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,Phenoxyethanol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Phenoxyethanol""}]","(""Phenoxyethanol"") skin topical",11df1b3040c9649e9518ae94b6cd95cdd36784f0125393e56c4d1a835b4d315c,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:07+00:00,2026-07-13T06:26:12+00:00,439777,439777,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:12+00:00,success,2,1,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,5570,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:butylene_glycol:c6c8f47d3fc3da27,crossref,3,butylene_glycol,부틸렌글라이콜,Butylene Glycol,Butylene Glycol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Butylene Glycol""}]","(""Butylene Glycol"") skin topical",c6c8f47d3fc3da2703670e92fa4ef9a9e07be4d8e6d05da47f759593cffc4f46,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:07+00:00,2026-07-13T06:26:10+00:00,494253,494253,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:10+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2940,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:tocopherol:511032aee15d1204,crossref,4,tocopherol,토코페롤,Tocopherol,Tocopherol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Tocopherol""}]","(""Tocopherol"") skin topical",511032aee15d1204248d9c5ebdf5682487f957b90a738d116c9dd803af8a94ce,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:07+00:00,2026-07-13T06:26:10+00:00,449590,449590,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:10+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2946,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:ethylhexylglycerin:982ef0290fc7d6ef,crossref,5,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,Ethylhexylglycerin,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Ethylhexylglycerin""}]","(""Ethylhexylglycerin"") skin topical",982ef0290fc7d6ef80c9af2ca2dc2034024dfe1cc6180f3588d829b8cfbee382,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:07+00:00,2026-07-13T06:26:10+00:00,439446,439446,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:10+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3460,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:citric_acid:e71cd655c93a6cec,crossref,6,citric_acid,시트릭애씨드,Citric Acid,Citric Acid,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Citric Acid""}]","(""Citric Acid"") skin topical",e71cd655c93a6cec3d83806af784f5187b3b45279dad9e6387e7acf35bd9c46f,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:10+00:00,2026-07-13T06:26:13+00:00,1639129,1639129,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:13+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3148,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:caprylyl_glycol:8b5bdf29c5f84fcf,crossref,7,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,Caprylyl Glycol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Caprylyl Glycol""}]","(""Caprylyl Glycol"") skin topical",8b5bdf29c5f84fcf0f72bf0d8c3e9fde7108a478db39e4147057b12841a90bc0,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:10+00:00,2026-07-13T06:26:13+00:00,488533,488533,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:13+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,3659,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:limonene:3dcd94a7f0a82a37,crossref,10,limonene,리모넨,Limonene,Limonene,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Limonene""}]","(""Limonene"") skin topical",3dcd94a7f0a82a3714bce87afee673ebad734d4b909ec402f6ead88efc524289,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:10+00:00,2026-07-13T06:26:20+00:00,442737,442737,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:20+00:00,success,3,2,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,9953,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:linalool:b1c749b1d235b921,crossref,11,linalool,리날룰,Linalool,Linalool,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Linalool""}]","(""Linalool"") skin topical",b1c749b1d235b9214497096d216651343b85964a5ae498164ae00554856764a4,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:12+00:00,2026-07-13T06:26:15+00:00,440894,440894,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:15+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2612,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:sodium_benzoate:c756bcaa37115b5c,crossref,12,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,Sodium Benzoate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Sodium Benzoate""}]","(""Sodium Benzoate"") skin topical",c756bcaa37115b5c663b1e8f920889b9a9725680ff68ebd0efc6548bafae92f8,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:13+00:00,2026-07-13T06:26:15+00:00,721101,721101,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:15+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,2599,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
crossref:potassium_sorbate:ecd413bffefe1648,crossref,13,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,Potassium Sorbate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Potassium Sorbate""}]","(""Potassium Sorbate"") skin topical",ecd413bffefe16480812820b7e054de869f93b691a4a657d709814c404166cdb,mwbl-ingredient-evidence-query-v1.1,2026-07-13T06:26:13+00:00,2026-07-13T06:26:18+00:00,560172,560172,50,50,50,capped_at_retrieval_limit,N,N,2026-07-13T06:26:18+00:00,success,1,0,,,https://api.crossref.org/works,relevance,approved_terms_only,N,200,4183,candidate_unverified,none,mwbl-ingredient-multisource-discovery-v1.1-fresh,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d
