query_id,source,ingredient_rank,ingredient_id,name_ko,canonical_name_en,approved_search_terms,search_query,query_sha256,query_version,request_status,total_hit_count,raw_hit_count,retrieval_cap,retrieved_count,returned_count,pagination_complete,pagination_status,searched_at,query_contract_status,rerun_required,error_type,error_message,robots_url,robots_fetched_at_utc,robots_sha256,robots_rule,review_status,runtime_score_change,pipeline_version
kci:phenoxyethanol:476082ebb2de7a8f,kci,2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,Phenoxyethanol,"[""\""Phenoxyethanol\"" skin""]",476082ebb2de7a8f89d372bab86f15b6600c66fb40ca9c65e72ba0ae9c06f911,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:butylene_glycol:b35d390fd4800597,kci,3,butylene_glycol,부틸렌글라이콜,Butylene Glycol,Butylene Glycol,"[""\""Butylene Glycol\"" skin""]",b35d390fd4800597b56f4353cfefcca8b51b598d8ed0141eb2e628478bc5a3d6,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:tocopherol:7b94adbdb6f92142,kci,4,tocopherol,토코페롤,Tocopherol,Tocopherol,"[""\""Tocopherol\"" skin""]",7b94adbdb6f92142e6ef9bd3ed6445e5af63c298c35ac8be948c60b1dd7aa29a,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:ethylhexylglycerin:0596fe37d6969432,kci,5,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,Ethylhexylglycerin,"[""\""Ethylhexylglycerin\"" skin""]",0596fe37d6969432dff9503eae3e215b527f81499712384d4558febc7cbde2ed,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:citric_acid:25e68e7a4526dedb,kci,6,citric_acid,시트릭애씨드,Citric Acid,Citric Acid,"[""\""Citric Acid\"" skin""]",25e68e7a4526dedbbf01f2fde492c0219d067ad60cc80564faa8e368185fe4af,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:caprylyl_glycol:151462222401a01c,kci,7,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,Caprylyl Glycol,"[""\""Caprylyl Glycol\"" skin""]",151462222401a01ccc6c42180dfeecc3a8593b9a6496f969a97c6e8ca9de14a6,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:limonene:6e2c517146e5783e,kci,10,limonene,리모넨,Limonene,Limonene,"[""\""Limonene\"" skin""]",6e2c517146e5783e25ee9743ccab7ad71854a0c940ef0a4f54d53ca92d9f878c,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:linalool:25c7684df666f4b3,kci,11,linalool,리날룰,Linalool,Linalool,"[""\""Linalool\"" skin""]",25c7684df666f4b3a5406aa02f69188c24e708ca9507412a8db91bc2409226f5,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:sodium_benzoate:e015f7183b62a0c6,kci,12,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,Sodium Benzoate,"[""\""Sodium Benzoate\"" skin""]",e015f7183b62a0c60a82c3ee1b17761fc68fd8c7ebab57d7b03f9984e4a836fa,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:potassium_sorbate:d6b85e131dcb3480,kci,13,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,Potassium Sorbate,"[""\""Potassium Sorbate\"" skin""]",d6b85e131dcb34801a3c706c4263ff8bff2656d17eb6f3de564501dc186adf52,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:1_2_hexanediol:fd6752b1d1e42e1a,kci,14,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol","1,2-Hexanediol","[""\""1,2-Hexanediol\"" skin""]",fd6752b1d1e42e1a16cadd3eee889ae52a74d1827bf9cd42297881d685a003e2,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
