query_id,source,ingredient_rank,ingredient_id,name_ko,canonical_name_en,approved_search_terms,term_provenance_json,search_query,query_sha256,query_version,started_at_utc,completed_at_utc,total_hit_count,raw_hit_count,retrieval_cap,retrieved_count,returned_count,pagination_status,retrieval_complete,pagination_complete,searched_at,request_status,request_attempt_count,retry_count,error_type,error_message,api_endpoint,sort_order,query_contract_status,rerun_required,review_status,runtime_score_change,pipeline_version
pubmed:phenoxyethanol:5a2e6caab8360007,pubmed,2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,Phenoxyethanol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Phenoxyethanol""}]","(""Phenoxyethanol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",5a2e6caab83600075962ff1ed513e2a82f4cebf0e3c28617963afd4359985127,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:13Z,2026-07-13T06:21:15Z,167,167,100,100,100,capped_at_retrieval_limit,N,N,2026-07-13T06:21:15Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:butylene_glycol:b17c45e88adf18a9,pubmed,3,butylene_glycol,부틸렌글라이콜,Butylene Glycol,Butylene Glycol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Butylene Glycol""}]","(""Butylene Glycol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",b17c45e88adf18a91a32c2a843971119ccfca0639d5b2c88df439250f4c4a0df,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:15Z,2026-07-13T06:21:15Z,49,49,100,49,49,complete,Y,Y,2026-07-13T06:21:15Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:tocopherol:db1d26f839130c7a,pubmed,4,tocopherol,토코페롤,Tocopherol,Tocopherol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Tocopherol""}]","(""Tocopherol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",db1d26f839130c7a9a1b196c2efd19e31148049e5c5881499475cac983b96e50,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:15Z,2026-07-13T06:21:16Z,1012,1012,100,100,100,capped_at_retrieval_limit,N,N,2026-07-13T06:21:16Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:ethylhexylglycerin:d7db591b64644f0e,pubmed,5,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,Ethylhexylglycerin,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Ethylhexylglycerin""}]","(""Ethylhexylglycerin""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",d7db591b64644f0eb8c6ef6e81ba50f52a0ed2f63da7f9e2786122aebcde9a7f,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:16Z,2026-07-13T06:21:17Z,20,20,100,20,20,complete,Y,Y,2026-07-13T06:21:17Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:citric_acid:2f1533fe57dcd144,pubmed,6,citric_acid,시트릭애씨드,Citric Acid,Citric Acid,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Citric Acid""}]","(""Citric Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2f1533fe57dcd14488686cdc42e084a381e53b134deb4b30c20e14e90f7e525b,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:17Z,2026-07-13T06:21:18Z,583,583,100,100,100,capped_at_retrieval_limit,N,N,2026-07-13T06:21:18Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:caprylyl_glycol:c70283f4a237e07a,pubmed,7,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,Caprylyl Glycol,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Caprylyl Glycol""}]","(""Caprylyl Glycol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",c70283f4a237e07ad244fd8ce6134a5de136154bf63cc5eb0ab07051ae4518d7,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:18Z,2026-07-13T06:21:19Z,16,16,100,16,16,complete,Y,Y,2026-07-13T06:21:19Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:limonene:16137c154935f39a,pubmed,10,limonene,리모넨,Limonene,Limonene,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Limonene""}]","(""Limonene""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",16137c154935f39a5ba049acc485d4707910e60f1995ac2e48a9fa1259501657,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:19Z,2026-07-13T06:21:20Z,660,660,100,100,100,capped_at_retrieval_limit,N,N,2026-07-13T06:21:20Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:linalool:24c564463c094893,pubmed,11,linalool,리날룰,Linalool,Linalool,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Linalool""}]","(""Linalool""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",24c564463c094893e5240bbc46e308c49a2f9e5bc989dab412edf7c663ecd4b4,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:20Z,2026-07-13T06:21:20Z,376,376,100,100,100,capped_at_retrieval_limit,N,N,2026-07-13T06:21:20Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:sodium_benzoate:db5f91f0556251e0,pubmed,12,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,Sodium Benzoate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Sodium Benzoate""}]","(""Sodium Benzoate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",db5f91f0556251e0195de082a9c6415a122cc455882bf34a1d19e96c4a055940,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:20Z,2026-07-13T06:21:21Z,86,86,100,86,86,complete,Y,Y,2026-07-13T06:21:21Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
pubmed:potassium_sorbate:11bf6f4c75df3cc8,pubmed,13,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,Potassium Sorbate,"[{""alias_type"":"""",""origin"":""canonical_name_en"",""source"":""https://kcia.or.kr/cid/main/"",""term"":""Potassium Sorbate""}]","(""Potassium Sorbate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",11bf6f4c75df3cc8b01be74875f209a93908c614f33090f16f46ffda7056242d,mwbl-pubmed-ingredient-skin-context-v1.1,2026-07-13T06:21:21Z,2026-07-13T06:21:22Z,32,32,100,32,32,complete,Y,Y,2026-07-13T06:21:22Z,success,1,0,,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,relevance,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed
