doc_id,source_type,source_id,text
doc_prod_oy_a000000203564,product,prod_oy_a000000203564,"상품명: [슬로에이징/영양탄력] 닥터지 블랙스네일 토너 150ml
브랜드: 닥터지
카테고리: TONER
주요 전성분: 정제수, 달팽이점액여과물, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 감초뿌리추출물, 쇠비름추출물, 진흙버섯추출물, 참마뿌리추출물"
doc_prod_oy_a000000254908,product,prod_oy_a000000254908,"상품명: [NEW] 에스트라 아토베리어365 캡슐 토너 300ml
브랜드: 에스트라
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 프로필렌글라이콜, 1,2-헥산다이올, 글루코노락톤, 에틸헥실글리세린, 칼슘클로라이드, 만니톨, 셀룰로오스"
doc_prod_oy_a000000218549,product,prod_oy_a000000218549,"상품명: 에스트라 에이시카365 수분토너 pH4.5 200ml
브랜드: 에스트라
카테고리: TONER
주요 전성분: 정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 글루코노락톤, 트로메타민, 잔탄검, 에틸헥실글리세린, 레시틴"
doc_prod_oy_a000000213097,product,prod_oy_a000000213097,"상품명: [모공/진정케어] 조선미녀 맑은쌀채운 토너 150ml
브랜드: 조선미녀
카테고리: TONER
주요 전성분: 정제수, 메틸프로판다이올, 프로판다이올, 1,2-헥산다이올, 글리세린, 글리세레스-26, 폴리메틸메타크릴레이트, 쌀추출물0.1%, 황련뿌리추출물, 당느릅나무뿌리추출물"
doc_prod_oy_a000000184790,product,prod_oy_a000000184790,"상품명: [민감진정] 라운드랩 소나무 진정 시카 토너 250ml
브랜드: 라운드랩
카테고리: TONER
주요 전성분: 정제수, 프로판다이올, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 소나무잎추출물5,010ppm, 에틸헥실글리세린"
doc_prod_oy_a000000249581,product,prod_oy_a000000249581,"상품명: [6월 올영픽][저자극 각질 케어] 제로이드 핌프로브 토너 200ml
브랜드: 제로이드
카테고리: TONER
주요 전성분: 정제수, 메틸프로판다이올, 1,2-헥산다이올, 글리세린, 카프릴로일살리실릭애씨드, 글라이콜릭애씨드, 락틱애씨드, 시트릭애씨드, 판테놀, 하이드롤라이즈드하이알루로닉애씨드"
doc_prod_oy_a000000252696,product,prod_oy_a000000252696,"상품명: [NEW/리뉴얼] 아누아 어성초 77 히알루론산 수분 진정 토너 350ml
브랜드: 아누아
카테고리: TONER
주요 전성분: 약모밀꽃/잎/줄기수77%, 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린"
doc_prod_oy_a000000199405,product,prod_oy_a000000199405,"상품명: [속보습] 마녀공장 판테토인 에센스 토너 200ml
브랜드: 마녀공장
카테고리: TONER
주요 전성분: 정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 메틸프로판다이올, 네오펜틸글라이콜다이에틸헥사노에이트, 부틸렌글라이콜, 펜틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 베타인"
doc_prod_oy_a000000116659,product,prod_oy_a000000116659,"상품명: [수분장벽토너] 유리아쥬 제모스 토너 500ml
브랜드: 유리아쥬
카테고리: TONER
주요 전성분: 정제수, 온천수*, 글리세린, 부틸렌글라이콜, 페녹시에탄올, 소듐하이알루로네이트, 피브이피, 벤조익애씨드, 트로메타민*1, 500,000ppm"
doc_prod_oy_a000000200039,product,prod_oy_a000000200039,"상품명: [흔적미백] 넘버즈인 5번 글루타치온씨 비타수액 에센셜 토너 200ml
브랜드: 넘버즈인
카테고리: TONER
주요 전성분: 정제수, 다이프로필렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 부틸렌글라이콜, 폴리글리세린-3, 비타민나무수, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민"
