run_id,implementation_stage,stage_label,stage_order,measurement_schema,git_sha,started_at,finished_at,dataset,product_count,target_product_count,user_type,query_id,vus,duration,cache_state,candidate_pool_limit,run_dir
recommendation-1000-full-personalized-20260714-230648,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:07:10.9374456Z,2026-07-14T14:10:13.8518613Z,1000,1000,1000,full-personalized,all,1,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-1000-full-personalized-20260714-230648
recommendation-1000-full-personalized-20260714-231027,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:10:46.3108997Z,2026-07-14T14:13:49.1907160Z,1000,1000,1000,full-personalized,all,3,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-1000-full-personalized-20260714-231027
recommendation-1000-full-personalized-20260714-231359,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:14:18.1454738Z,2026-07-14T14:17:21.0456232Z,1000,1000,1000,full-personalized,all,5,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-1000-full-personalized-20260714-231359
recommendation-1000-full-personalized-20260714-231740,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:17:59.5239927Z,2026-07-14T14:21:07.2110441Z,1000,1000,1000,full-personalized,all,8,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-1000-full-personalized-20260714-231740
recommendation-1000-full-personalized-20260714-232152,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:22:13.7453241Z,2026-07-14T14:25:17.5933263Z,1000,1000,1000,full-personalized,all,10,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-1000-full-personalized-20260714-232152
recommendation-5000-full-personalized-20260714-232527,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:25:46.6376964Z,2026-07-14T14:28:50.3532649Z,5000,5000,5000,full-personalized,all,1,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-5000-full-personalized-20260714-232527
recommendation-5000-full-personalized-20260714-232859,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:29:19.3677431Z,2026-07-14T14:32:22.1546123Z,5000,5000,5000,full-personalized,all,3,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-5000-full-personalized-20260714-232859
recommendation-5000-full-personalized-20260714-233232,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:32:51.1734049Z,2026-07-14T14:35:55.2833522Z,5000,5000,5000,full-personalized,all,5,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-5000-full-personalized-20260714-233232
recommendation-5000-full-personalized-20260714-233604,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:36:22.6341442Z,2026-07-14T14:39:26.4969610Z,5000,5000,5000,full-personalized,all,8,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-5000-full-personalized-20260714-233604
recommendation-5000-full-personalized-20260714-233949,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:40:11.7415730Z,2026-07-14T14:43:17.2400188Z,5000,5000,5000,full-personalized,all,10,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-5000-full-personalized-20260714-233949
recommendation-10000-full-personalized-20260714-234326,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:43:45.5887729Z,2026-07-14T14:46:48.1567408Z,10000,10000,10000,full-personalized,all,1,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-10000-full-personalized-20260714-234326
recommendation-10000-full-personalized-20260714-234703,opt1-es-retrieval,Opt1 ES retrieval,1,intent-detail-v2,unknown,2026-07-14T14:47:22.9029152Z,2026-07-14T14:50:26.1743453Z,10000,10000,10000,full-personalized,all,3,3m,cold,500,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-10000-full-personalized-20260714-234703
