after_stage,avg_after_ms,avg_before_ms,avg_reduction_ms,avg_reduction_pct,before_stage,component,component_label,optimization,p95_after_ms,p95_before_ms,p95_reduction_ms,p95_reduction_pct
opt1-es-retrieval,39.86,114.25,74.39,65.11159737417942,baseline-v1,user_context_load_ms,User profile,Opt1,111.96,368.58,256.62,69.62396223343643
opt1-es-retrieval,92.41,278.98,186.57000000000002,66.87576170334792,baseline-v1,skin_test_context_load_ms,Skin test,Opt1,339.81,920.08,580.27,63.06734197026345
opt1-es-retrieval,477.92,1167.47,689.55,59.06361619570524,baseline-v1,behavior_context_load_ms,Behavior context,Opt1,1015.98,2201.65,1185.67,53.853700633615695
opt1-es-retrieval,1039.43,21932.32,20892.89,95.26073849004574,baseline-v1,intent_parse_ms,Intent parse,Opt1,2486.43,35250.7,32764.269999999997,92.9464379430763
opt1-es-retrieval,160.41,278.33,117.91999999999999,42.36697445478389,baseline-v1,run_save_ms,Run save,Opt1,461.37,812.39,351.02,43.20831127906547
opt1-es-retrieval,871.29,2182.72,1311.4299999999998,60.082374285295415,baseline-v1,candidate_pool_ms,Candidate retrieval,Opt1,1778.51,3800.41,2021.8999999999999,53.20215450438241
opt1-es-retrieval,203.96,403.89,199.92999999999998,49.50110178513951,baseline-v1,search_match_ms,Search match,Opt1,621.13,1129.12,507.9899999999999,44.98990364177412
opt1-es-retrieval,417.45,759.95,342.50000000000006,45.0687545233239,baseline-v1,search_candidate_save_ms,Candidate save,Opt1,1007.3,2024.71,1017.4100000000001,50.24966538417848
opt1-es-retrieval,3699.74,6969.28,3269.54,46.9135979613389,baseline-v1,scoring_ms,Personalized scoring,Opt1,6560.77,14105.42,7544.65,53.487595548377854
opt1-es-retrieval,303.33,517.25,213.92000000000002,41.357177380376996,baseline-v1,result_save_ms,Result save,Opt1,697.53,1130.2,432.6700000000001,38.28260484869935
opt1-es-retrieval,46.7,94.02,47.31999999999999,50.329717081472026,baseline-v1,commit_ms,Commit,Opt1,219.16,424.01,204.85,48.312539798589654
opt1-es-retrieval,518.67,1117.08,598.41,53.569126651627464,baseline-v1,response_load_ms,Response load,Opt1,1024.97,2468.58,1443.61,58.479368705895695
opt2-precomputed-features,31.47,39.86,8.39,21.048670346211743,opt1-es-retrieval,user_context_load_ms,User profile,Opt2,87.89,111.96,24.069999999999993,21.498749553411926
opt2-precomputed-features,68.3,92.41,24.11,26.09024997294665,opt1-es-retrieval,skin_test_context_load_ms,Skin test,Opt2,219.39,339.81,120.42000000000002,35.437450339895825
opt2-precomputed-features,43.59,477.92,434.33000000000004,90.87922664881151,opt1-es-retrieval,behavior_context_load_ms,Behavior context,Opt2,126.35,1015.98,889.63,87.56373156951909
opt2-precomputed-features,822.92,1039.43,216.5100000000001,20.829685500707125,opt1-es-retrieval,intent_parse_ms,Intent parse,Opt2,1797.23,2486.43,689.1999999999998,27.718455777962774
opt2-precomputed-features,128.21,160.41,32.19999999999999,20.07356149865968,opt1-es-retrieval,run_save_ms,Run save,Opt2,387.77,461.37,73.60000000000002,15.952489325270394
opt2-precomputed-features,737.33,871.29,133.95999999999992,15.374903878157667,opt1-es-retrieval,candidate_pool_ms,Candidate retrieval,Opt2,1342.22,1778.51,436.28999999999996,24.53120870841322
opt2-precomputed-features,168.86,203.96,35.099999999999994,17.209256717003328,opt1-es-retrieval,search_match_ms,Search match,Opt2,413.36,621.13,207.76999999999998,33.45032440873891
