backend_log_sha256,error_rate,k6_summary_sha256,latency_avg_ms,latency_p95_ms,manifest_sha256,measurement_schema,pipeline_event_count,recommendation_rps,run_dir,run_id,stage_id
4eaa2674d14e172ca0fdacbbcbf9d836dd21b9758ef0213c1f348ae214e2466f,0.02,77a2e979459fa2ce38935311bf0192221f2773ed858abf1816e8400b36684167,37550.92909799999,52010.038409999994,d005178fb853cb56ee3007c5457c0fcea26626fc14bf80640404c6e0d771f167,pipeline-v1,50,0.2568866297429231,perf-runs/stages/baseline-v1/runs/scale-sweep/recommendation-80000-full-personalized-20260714-053424,recommendation-80000-full-personalized-20260714-053424,baseline-v1
2858e572bf7cb75a472680f0ca356df1be896188810c5c7888c328a1602fb9b4,0.0,85a09576eb908b1fe4b5de8b36e9b5ec3ae1749db9f669eae3dcc879dddd29d5,11677.480301273885,22767.997359999998,ec5a72559bfa036030f183e2aecf1a6110b416d4e70040abd9ff159084f53f1e,intent-detail-v2,159,0.8321232622471119,perf-runs/stages/opt1-es-retrieval/runs/scale-sweep/recommendation-80000-full-personalized-20260714-225808,recommendation-80000-full-personalized-20260714-225808,opt1-es-retrieval
c47efca7928c2170bfe1d39e7a8ac851ed56e6f3aac090a8fe128c069c455fe8,0.0,002be3d21df17406005b28785adfa1cac99f2b9d14b0ecf787ce99bc6db2fe95,8885.382071770344,12417.033239999999,326b9f73672f7c51496c015cfdaf62c4720e6adc0a484386c51bc2f708f7726e,intent-detail-v2,209,1.0989271550134367,perf-runs/stages/opt1-es-retrieval/runs/headline-repeats/recommendation-80000-full-personalized-20260715-001631,recommendation-80000-full-personalized-20260715-001631,opt1-es-retrieval
627cdc31bbf36e778c826fe621a52f5731efbe62e3f7da2b66cd99ff021f3554,0.0,9de55634976e704e28d38c8f1789602a6483fc78406f6e88b637bd98f9e0ecda,9053.230653694573,12796.036619999995,fd09ea6f0ae24e7b9dc8b9ab56fce44ace50eae14f39b2ee334ada2f0d1ead5c,scoring-detail-v3,203,1.0818806299012806,perf-runs/stages/opt1-es-retrieval/runs/diagnostics/scoring/recommendation-80000-full-personalized-20260715-004324,recommendation-80000-full-personalized-20260715-004324,opt1-es-retrieval
e45d8dcd7df34f2defc1a9519296aa4ec8f31952a517c4466a65059dd8d8b34d,0.0,cd4c11e0968918796a345641770945ec808dc81f3638347fc6f193fb29a31778,5916.900467313915,7976.696599999999,2595e6cc3db945b59c6479a299a6cd195aab9566c3891b627b8b7fc880464266,scoring-detail-v3,309,1.6638421949256328,perf-runs/stages/opt2-precomputed-features/runs/headline-repeats/recommendation-80000-full-personalized-20260715-053752,recommendation-80000-full-personalized-20260715-053752,opt2-precomputed-features
211559a0e8b46b7db30dac6d1b4342ed938bec1df4e7e9501fdbf3475962fd69,0.0,3c3895fe0bd288077e916bb736523f54a3a6fbd3c553e68f5ca2d98ac326ae3e,5788.491455379745,7766.8737,3774bfdecec0d55a946481c7788dae316e0e968054bcc970784dcf57622d4ef3,scoring-detail-v3,316,1.6949858892558816,perf-runs/stages/opt2-precomputed-features/runs/headline-repeats/recommendation-80000-full-personalized-20260715-054137,recommendation-80000-full-personalized-20260715-054137,opt2-precomputed-features
ae381c56b82950d1458f9b7df5b929412a2f81e12da01c227a6d6fe2c9c00095,0.0,0e5f6de4d8c2281d719a387e4679a7231f800b44a2ebfad8832009a8f75394c2,5717.045956874997,7302.25643,53b9d0ae26ca66b3818bdbda2f02ba4bf9398b5d93397ce7879227061e4c2a7b,scoring-detail-v3,320,1.7239636583719915,perf-runs/stages/opt2-precomputed-features/runs/headline-repeats/recommendation-80000-full-personalized-20260715-054517,recommendation-80000-full-personalized-20260715-054517,opt2-precomputed-features
d1e715140d3eceb6f2d8bd1e447e4e9b815f3c6771425cc6ac49d20ace70944e,0.0,dcc06b8fa8d023f40faeec1de9dcfafb0c46aa6dae780177bcc3f3cc7a7364d9,5821.559428617356,7785.62215,225b47d5eb31a460799732b721aed19a3b29aea154f6e66514a19c02cd2c2d40,bulk-prefetch-v4,311,1.687000032859072,perf-runs/stages/opt3-bulk-prefetch/runs/headline-repeats/recommendation-80000-full-personalized-20260715-092247,recommendation-80000-full-personalized-20260715-092247,opt3-bulk-prefetch
f2689dd64c4b0c8ffc78c3def65c0650beab78849291befb631ce093734cfb5d,0.0,013395107957f597d2f5ee23c8a1b69bb1ab86b6fa8cdae3fd579128993ec0d5,5669.518439318883,7380.35638,02ed9c4a87d2ba907df69d12cff1fdae4bba1d2f929eeda16caba058dd1ceae5,bulk-prefetch-v4,323,1.7360612252917713,perf-runs/stages/opt3-bulk-prefetch/runs/headline-repeats/recommendation-80000-full-personalized-20260715-092634,recommendation-80000-full-personalized-20260715-092634,opt3-bulk-prefetch
54261a54f85908ef3c862999805f8fcc2d1fa4b08e0bb24674bfc4e7b70a80ca,0.0,6613707fae2257db66f2d613bb4de6a7861ad2e7c7eb3a0ce24ce7672e105067,5561.992833027521,7211.48404,b5a93483a80bab1c340837645bb7b02720ada65f9b99ab38b43a07577b34185d,bulk-prefetch-v4,327,1.7776612782053034,perf-runs/stages/opt3-bulk-prefetch/runs/headline-repeats/recommendation-80000-full-personalized-20260715-093021,recommendation-80000-full-personalized-20260715-093021,opt3-bulk-prefetch
